22171: ACIM,"Remedial Math"
22172: ACIM,"Remedial Reading"
22173: ACIM,"Remedial Writing"
22174: ANTH,"Anthropology"
22175: ANTH,"Anthropology of Health & Heal"
22176: ANTH,"Cultures and Peoples of Asia"
22177: ANTH,"North American Indians"
22178: ANTH,"Peoples & Cultures of Caribbea"
22179: ANTH,"Sex & Gendr In Cross-Cultural"
22180: ARAB,"Elementary Arabic I"
22181: ARAB,"Elementary Arabic II"
22182: ARAB,"Intermediate Arabic I"
22183: ARCH,"Advanced Architectrl Modeling"
22184: ARCH,"Architectural Design I"
22185: ARCH,"Architectural Design II"
22186: ARCH,"Architectural Design III"
22187: ARCH,"Building Technology I"
22188: ARCH,"Building Technology II"
22189: ARCH,"Environmental Systems"
22190: ARCH,"Structures I"
22191: ARCH,"Surveying and Site Planning"
22192: ARCH,"Visualization I"
22193: ARCH,"Visualization II"
22194: ART,"Great Music"
22195: ARTH,"American Art"
22196: ARTH,"Art Curating"
22197: ARTH,"Art Institutions & Business"
22198: ARTH,"Contemporary Art"
22199: ARTH,"Gallery Internship I"
22200: ARTH,"Gallery Internship II"
22201: ARTH,"History of African Arts"
22202: ARTH,"History of Art I"
22203: ARTH,"History of Art II"
22204: ARTH,"History of Asian Art"
22205: ARTH,"History of Graphic Design"
22206: ARTH,"History of Photography"
22207: ARTH,"Intro Gallery & Museum Studies"
22208: ARTH,"Introductory Survey of Art"
22209: ARTH,"Modern Art"
22210: ARTP,"Advn Dsgn & Multimed"
22211: ARTP,"Art Conservation"
22212: ARTP,"Interior Design and Decoration"
22213: ARTS,"Advanced Photographic Skills"
22214: ARTS,"Art Methods for K-8 Curric I"
22215: ARTS,"Art Methods for K-8 Curric II"
22216: ARTS,"Artist Apprentice Internship I"
22217: ARTS,"Artist Apprentice Internshp II"
22218: ARTS,"Ceramics I"
22219: ARTS,"Ceramics II"
22220: ARTS,"Color Photography"
22221: ARTS,"Color Theory"
22222: ARTS,"Creating the Documentary Image"
22223: ARTS,"Design for Motion Graphics"
22224: ARTS,"Digital Animation"
22225: ARTS,"Digital Design I"
22226: ARTS,"Digital Design II"
22227: ARTS,"Digital Imaging"
22228: ARTS,"Digital Photography"
22229: ARTS,"Drawing I"
22230: ARTS,"Drawing II"
22231: ARTS,"Illustration"
22232: ARTS,"Illustration & Fashion Photo"
22233: ARTS,"Introduction to Art Therapy"
22234: ARTS,"Introduction to Photography"
22235: ARTS,"Introduction to Video"
22236: ARTS,"Lg Format & St Photography"
22237: ARTS,"Painting I"
22238: ARTS,"Painting II"
22239: ARTS,"Painting III"
22240: ARTS,"Photographing People"
22241: ARTS,"Photography As Fine Art"
22242: ARTS,"Portfolio Project Studio Art"
22243: ARTS,"Printmaking II"
22244: ARTS,"Printmaking: Intaglio"
22245: ARTS,"Printmaking: Relief Stencil"
22246: ARTS,"Sculpture"
22247: ARTS,"Sculpture: Three Dmnsnl Dsgn"
22248: ARTS,"Special Problems Studio Art I"
22249: ARTS,"Special Problems Studio Art II"
22250: ARTS,"Two-Dimensional Design"
22251: ASAP,"ASAP Seminar I"
22252: ASAP,"ASAP Seminar II"
22253: ASAP,"ASAP Seminar III"
22254: BIOL,"Anat& Physio 1 Lab"
22255: BIOL,"Anat& Physio 2 Lab"
22256: BIOL,"Anatomy and Physiology I"
22257: BIOL,"Anatomy and Physiology II"
22258: BIOL,"Applied Biostatistics"
22259: BIOL,"Asst Med Off Lab"
22260: BIOL,"Asst Medical Office: Clin Proc"
22261: BIOL,"Asst Medical Office: Med Proc"
22262: BIOL,"Bio Research Lab"
22263: BIOL,"Bioinformatics/Comptationl Bio"
22264: BIOL,"Biology Seminar"
22265: BIOL,"Biotech Lab"
22266: BIOL,"Biotechnology"
22267: BIOL,"Cell Biology"
22268: BIOL,"Clinical Chem Lab"
22269: BIOL,"Coop Ed in Health Professions"
22270: BIOL,"Current Environmental Issues"
22271: BIOL,"Ecology"
22272: BIOL,"Ekg Lab"
22273: BIOL,"Electrocardiogram Technology"
22274: BIOL,"Envirn Hea Sci Lb"
22275: BIOL,"Environmental Health Science"
22276: BIOL,"Environmental Lab"
22277: BIOL,"Environmental Science"
22278: BIOL,"Evolution and Man"
22279: BIOL,"Field Exp in Medical Assisting"
22280: BIOL,"Fld Exp Med Ass"
22281: BIOL,"Foundations of Biology"
22282: BIOL,"Foundations of Biology: Lab"
22283: BIOL,"Fundamentals of Life Science"
22284: BIOL,"Gen Biology 1 Lab"
22285: BIOL,"Gen Biology 2 Lab"
22286: BIOL,"General Biology I"
22287: BIOL,"General Biology II"
22288: BIOL,"General Epidemiology"
22289: BIOL,"General Micro Lab"
22290: BIOL,"General Microbiology"
22291: BIOL,"Health Sciences Internship"
22292: BIOL,"Hematlgy  Urin Lab"
22293: BIOL,"Hematology and Urinalysis"
22294: BIOL,"Human Anatomy"
22295: BIOL,"Human Phsyolgy Lab"
22296: BIOL,"Human Physiology"
22297: BIOL,"Humn Anat Lb"
22298: BIOL,"Immune Sys in Heath & Disease"
22299: BIOL,"Intro Bio For Science Majors"
22300: BIOL,"Intro to Biological Research"
22301: BIOL,"Introduction to Human Biology"
22302: BIOL,"Introduction to Public Health"
22303: BIOL,"Kinesiology"
22304: BIOL,"Kinesiology Lab"
22305: BIOL,"Laboratory: Plants and People"
22306: BIOL,"Medical Terminology"
22307: BIOL,"Microbiology"
22308: BIOL,"Microbiology Lab"
22309: BIOL,"Myology"
22310: BIOL,"Myology Lab"
22311: BIOL,"Neurophysiology"
22312: BIOL,"Org & Delivery of Health Care"
22313: BIOL,"Pathophysiology"
22314: BIOL,"Patient Care Coordination"
22315: BIOL,"Pharmacology"
22316: BIOL,"Phlebotomy Practice"
22317: BIOL,"Phlebotomy Tch Lb"
22318: BIOL,"Phlebotomy Technology"
22319: BIOL,"Plants and People"
22320: BIOL,"Prin Of Bio. Lab"
22321: BIOL,"Principles Of Genetics"
22322: BIOL,"Principles of Biology"
22323: BIOL,"Principles of Endocrinology"
22324: BIOL,"Prof Physician Asst"
22325: BIOL,"Public Hea Sci Lb"
22326: BIOL,"Public Health Biology"
22327: BIOL,"Research Laboratory Internship"
22328: BUSI,"Admin Office Procedures"
22329: BUSI,"Advanced Microsoft Office"
22330: BUSI,"Advn Type/Kyboard"
22331: BUSI,"BU 500’s  -go to CIS courses"
22332: BUSI,"Business Internships"
22333: BUSI,"Business Law I"
22334: BUSI,"Business Law II"
22335: BUSI,"Business Mathematics"
22336: BUSI,"Business Org & Management"
22337: BUSI,"Business Prgm In C"
22338: BUSI,"Business Wild Card"
22339: BUSI,"Case St In Entrep"
22340: BUSI,"Co-op Ed In Bus: OAT"
22341: BUSI,"Cobol Programming"
22342: BUSI,"Comp Applicatns in Accounting"
22343: BUSI,"Consumer Behavior"
22344: BUSI,"Coop Ed: Acct"
22345: BUSI,"Coop Edu in Business:Mangment"
22346: BUSI,"Coop Educ in Bus: CIS"
22347: BUSI,"Corresponding in Digital World"
22348: BUSI,"Cost Accounting"
22349: BUSI,"Credit Management"
22350: BUSI,"Ed Pro Of Sch Sec II"
22351: BUSI,"Ed Pro Of Sch Seci"
22352: BUSI,"Elements of Marketing"
22353: BUSI,"Elements of Retailing"
22354: BUSI,"Elements of Salesmanship"
22355: BUSI,"Ent I:Start Your Own Business"
22356: BUSI,"Ent II:Manage Bus"
22357: BUSI,"Fund of Microsoft Windows"
22358: BUSI,"Graphic Power Point"
22359: BUSI,"Healthcare Info Management"
22360: BUSI,"Income Taxation"
22361: BUSI,"Insurance I"
22362: BUSI,"Insurance II"
22363: BUSI,"Integrated Marketing Comm"
22364: BUSI,"Intermediate Accounting I"
22365: BUSI,"Intermediate Accounting II"
22366: BUSI,"International Trade"
22367: BUSI,"Intro Manag’L Acct"
22368: BUSI,"Investment Analysis"
22369: BUSI,"Issues In Health Care Admin"
22370: BUSI,"Legal Office Procedures"
22371: BUSI,"Legal Shorthand (Gregg)"
22372: BUSI,"Legal Shorthand (Pitman)"
