"cuny_subject","short_title"
"ACCT","ACC 2203 Lecture"
"ACCT","ACC 3200 Lecture"
"ACCT","Accounting Honors I"
"ACCT","Accounting Information Systems"
"ACCT","Accounting Internship"
"ACCT","Accounting Practicum"
"ACCT","Accounting Practicum I"
"ACCT","Accounting Practicum II"
"ACCT","Accounting Practicum III"
"ACCT","Acct Audt Aspt Comp"
"ACCT","Advanced Accounting"
"ACCT","Advanced Auditing"
"ACCT","Advanced Cost Accounting"
"ACCT","Advanced Financial Accounting"
"ACCT","Advanced Managerial Accounting"
"ACCT","Auditing"
"ACCT","Auditing And Acc Info Systems"
"ACCT","Basic Accounting The"
"ACCT","Budget Accounting"
"ACCT","Communicatn Workout"
"ACCT","Contmp Topics In Acc"
"ACCT","Cost Accounting"
"ACCT","Cost Accounting I"
"ACCT","Cost Cont&Cost Reduc"
"ACCT","Cur Accy Theory/Prac"
"ACCT","Current Topics In Financial Ac"
"ACCT","Data Analytics in Accounting"
"ACCT","Federal Income Taxation"
"ACCT","Fin & Mgt Accounting"
"ACCT","Fin Acc: Intensive"
"ACCT","Fin Analysis & Valuation III"
"ACCT","Fin Anls & Valutn I"
"ACCT","Fin Anls & Valutn II"
"ACCT","Fin Statement Analys"
"ACCT","Fin Statement Analysis III"
"ACCT","Fin Stmnt Analsis II"
"ACCT","Financ Stat Analys & Reporting"
"ACCT","Financial Accounting I"
"ACCT","Financial Accounting II"
"ACCT","Financial Accounting III"
"ACCT","Financial Reporting"
"ACCT","Fsa Holder"
"ACCT","Fund Of Managerl Acc"
"ACCT","Govt & Non-Profit Acctng & Aud"
"ACCT","Hca Accounting & Fin"
"ACCT","Hon Acct Info Sys"
"ACCT","Hon Financl ACC I"
"ACCT","Hon Financl ACC II"
"ACCT","Hon Prin Of Auditing"
"ACCT","Hon Prin Of Mang ACC"
"ACCT","Honors - Cost Accounting"
"ACCT","Honors Accounting III"
"ACCT","Honors Financial Accounting"
"ACCT","Honors Prin of Acctng I"
"ACCT","Honors/Accounting II"
"ACCT","Independent Study ACC II"
"ACCT","Independent Study ACC III"
"ACCT","Independent Study Accounting I"
"ACCT","Intermediate Fin Acc"
"ACCT","Intl Acct & Controls"
"ACCT","Intrnl Aud:App & Prc"
"ACCT","Intrnl Audt:Risk Mgt"
"ACCT","Manag Acc Theory Prc"
"ACCT","Management Control"
"ACCT","Managerial Accounting"
"ACCT","Mgt Acc-Entrepr&Bus"
"ACCT","Mngr Acc & App To Hc"
"ACCT","Ms Fsa"
"ACCT","Personal Financial Planning"
"ACCT","Prin Mag ACC Nonmajo"
"ACCT","Prin Of Account I"
"ACCT","Prin Of Auditing"
"ACCT","Principal Of Accounting II A"
"ACCT","Principal of Accounting II B"
"ACCT","Principles of Accounting"
"ACCT","Principles of Auditing"
"ACCT","Res Method For Sem"
"ACCT","Res Seminar In Acc"
"ACCT","Research Methodology"
"ACCT","Seminar in Cost Accounting"
"ACCT","Special Topics In  Accountancy"
"ACCT","Special Topics in Accountancy"
"ACCT","Tax Income Concepts, Business"
"ACCT","Thesis"
"ACCT","Topics in Internal Auditing"
"ACIM","Study Lab  SOC  1005"
"ACIM","Study Lab In Writing"
"ACIM","Study Lab Psychology 1001"
"ACIM","Study Lab in BUS 1000"
"AMST","Topics in American Studies"
"ANTH","Anthropological Analysis"
"ANTH","Anthropology & Con World Issue"
"ANTH","Anthropology of Business"
"ANTH","Archaeology & Prehistory"
"ANTH","Cuban Culture and Society"
"ANTH","Cult & Peo India"
"ANTH","Cult/People So.Pacif"
"ANTH","Cultures & Ppl of S Pacific Is"
"ANTH","Cultures and Peoples of India"
"ANTH","Hon City Care Forgot"
"ANTH","Hon Sel Top In Ant"
"ANTH","Hon Writers & Their Spiritual"
"ANTH","Honors - Anthropology I"
"ANTH","Honors II"
"ANTH","Honors Reading and Research"
"ANTH","Honors-Intro to Cul Anthro"
"ANTH","Independent Study ANT I"
"ANTH","Independent Study ANT II"
"ANTH","Intro to Cultural Anthropology"
"ANTH","Intro to Human Geography"
"ANTH","Language, Culture, and Society"
"ANTH","Magic Witchcraft Rel"
"ANTH","Magic,Witchcraft,Rel"
"ANTH","Native Americans"
"ANTH","New York: The Global City"
"ANTH","North Amer Indians"
"ANTH","Passing, Covering & Soc Stigma"
"ANTH","People and Culture of Haiti"
"ANTH","People/Cult Mediterr"
"ANTH","Power and Conflict"
"ANTH","Race and Ethnic Relation"
"ANTH","Religious Worlds of New York"
"ANTH","Res Mth Socio/Anthro"
"ANTH","Sel Topics Ant/Soc"
"ANTH","Semi On The Ant Of Peace & War"
"ANTH","Social Communication"
"ANTH","Sociological Theory"
"ANTH","Sociology of Health and Illnes"
"ANTH","Sociology of the Family"
"ANTH","South Asian Religion"
"ANTH","The Lives of Hinduism"
"ANTH","The Religion of Everyday Life"
"ANTH","The Remaking Of New York"
"ANTH","The Tradition of Islam"
"ANTH","The U.S. and Mexican Border"
"ANTH","Tran Btwn Worlds: Lit & Ant"
"ANTH","Urban Anthropology"
"ANTH","Women&Culture/Society"
"ANTH","Women, Culture, and Society"
"ANTH","World Regional Geography"
"ARAB","Elementary Arabic"
"ARAD","Adv Mgt & Strategy"
"ARAD","Adv Principles"
"ARAD","Advertising Res"
"ARAD","Advt Copy Technqs"
"ARAD","Broadcast Advt Probs"
"ARAD","Campaigns & Media"
"ARAD","Contmpory Issus Advt"
"ARAD","Direct Mail Prob"
"ARAD","Media Plan & Analys"
"ARAD","Publicity & Promotn"
"ARAD","Radio & Tel Advert"
"ARAD","Res Mthd For Thesis"
"ARAD","Res Sem I"
"ARAD","Res Sem II"
"ARAD","Thesis"
"ARFP","Adv Prac in RD for the Arts"
"ARFP","Arts Administration Internship"
"ARFP","Arts, Culture, & the Civic Env"
"ARFP","Audience Development and Membe"
"ARFP","Capstone: Arts In NYC"
"ARFP","Cultural Policy and the Arts"
"ARFP","Devel & Mgmt of Art Edu Prgms"
"ARFP","FIN/Per Arts Req Met"
"ARFP","FIN/Per Gen Ed Req M"
"ARFP","FPA Honors I"
"ARFP","FPA Honors II"
"ARFP","FPA Honors III"
"ARFP","Fine & Perfor Arts Honors I"
"ARFP","Hon Capstone Arts In NYC"
"ARFP","Honors - Arts in New York City"
"ARFP","Independent Study FPA I"
"ARFP","Independent Study FPA II"
"ARFP","Independent Study FPA III"
"ARFP","Independent Study FPA IV"
"ARFP","Independent Study in AA"
"ARFP","Intro Arts Administ"
"ARFP","Managing in Arts Environments"
"ARFP","Marketing the Arts"
"ARFP","Prof Consultancy/Thesis in AA"
"ARFP","Prof Internship in Arts Admin"
"ARFP","Selected Topics in Arts Admin"
"ARFP","Spc Top In Med & Art"
"ARFP","Spec Topics in Mus & Glry Mgt"
"ARFP","Spec Topics in Theatre Mgt"
"ARFP","Touring & Presentation of Arts"
"ARNM","Animation and Motion Graphics"
"ARNM","Art Games and Virtual Worlds"
"ARNM","Digital Interactivity"
"ARNM","Digital Photography"
"ARNM","Introduction to New Media Arts"
"ARNM","NMA In Theory and Practice"
"ARNM","Performing with New Media"
"ARNM","Special Topic In Media  & Arts"
"ARNM","Video I"
"ART","African Art"
"ART","Animation and Motion Graphics"
"ART","Architecture and the City"
"ART","Art Advanced Elec"
"ART","Art History Survey I"
"ART","Art History Survey II"
"ART","Art Honors III"
"ART","Art Of The 19th Cent"
"ART","Art Survey"
"ART","Art of the United States"
"ART","Asian Art"
"ART","Baroque and Rococo Art"
"ART","Basic Drawing"
"ART","Basic Graphic Commun"
"ART","Basic Painting"
"ART","Basic Photography"
"ART","Basic Sculpture"
"ART","Capstone: Design/Pho"
"ART","Computer Based Image"
"ART","Computer-Based Graphic Design"
"ART","Corporate Design"
"ART","Corporate Design II"
"ART","Digital Photography"
"ART","Graph Comm: Illustra"
"ART","Graphic Comm Int II"
"ART","Graphic Communic Int"
"ART","Greek and Roman Art"
"ART","History of Modern Architecture"
"ART","History of Modern Design"
"ART","History of Photography"
"ART","Honors - Art History Survey I"
"ART","Honors Art History Survey II"
"ART","Honors Art II"
"ART","Honors Digital Photo"
"ART","Honors Special Topics in Art H"
"ART","Honors in Art I"
"ART","Honors- Special Topics in Art"
"ART","Independent Study Art I"
"ART","Independent Study Art II"
"ART","Independent Study Art III"
"ART","Independent Study Art IV"
"ART","Independent Study Art V"
"ART","Intermediate Drawing"
"ART","Intermediate Graphic Communica"
"ART","Intermediate Photography"
"ART","Intro Arts Administ"
"ART","Intro Design Visual"
"ART","Islamic Art"
"ART","Medieval Art"
"ART","Modern Latin American Art"
"ART","Museums and Gallery Studies"
"ART","Native Art of the Americas"
"ART","Photojournalism"
"ART","Principles of Internet Design"
"ART","Principles of Visual Art (2D)"
"ART","Principles of Visual Art (3D)"
"ART","Print Production"
"ART","Renaissance Art"
"ART","Senior Seminar"
"ART","Spec Tops In Art His"
"ART","Special Topics in Art (Studio)"
"ART","The Art Market"
"ART","Twentieth-Century Art"
"ART","Typography:His & App"
"ART","Typogrphy His & Appl"
"ART","Visual Arts On Film"
"ARTX","Arts Administr Intrn"
"ASAM","A Survey of Asian History"
"ASAM","Advanced Japanese: Learning th"
"ASAM","Asian American History"
