"cuny_subject","short_title"
"ACCT","Accounting Information Systems"
"ACCT","Fundamental Accounting I"
"ACCT","Fundamental Accounting II"
"ACCT","Intermediate Accounting"
"ACCT","Princ of Intermdte Accountg"
"ACCT","Principles of Accounting I"
"ACCT","Principles of Accounting II"
"ACIM","Plato Workshop"
"ACIM","Plato Workshop 2"
"ANCM","Acm Internship"
"ANCM","Animal Care & Management"
"ANTH","Introduction to Anthropology"
"ARAB","Beginning Arabic I"
"ARAB","Beginning Arabic II"
"ARAB","Introduction to Arabic I"
"ARAB","Introduction to Arabic II"
"ART","Art Survey"
"ART","Ceramics: Handbuilding"
"ART","Ceramics: Wheel Throwing"
"ART","Design Basics"
"ART","Design Portfolio"
"ART","Digital Illustration"
"ART","Digital Imaging"
"ART","Digital Photo & Motion Graphic"
"ART","Drawing"
"ART","Drawing II"
"ART","Graphic Design Principles"
"ART","Graphic Design Project"
"ART","Graphics I"
"ART","History of Graphic Design"
"ART","Illustration"
"ART","Intro Art Hist: Afr, Ame, Asia"
"ART","Intro to 3D Graphc Animation"
"ART","Introduction to Art History"
"ART","Modern Art"
"ART","Oriental Art"
"ART","Painting"
"ART","Painting II"
"ART","Photography"
"ART","Printmaking"
"ART","Publication Design"
"ART","Typographic Design"
"ART","Typography and Layout"
"ART","User Interface Design"
"ART","Web Design Project"
"ART","Web Interactivity"
"ART","Web Portfolio"
"ASAP","Asap Crit Think Workshop"
"ASAP","Asap Math Workshop"
"ASAP","Asap Review Session"
"ASAP","Asap Seminar I"
"ASAP","Asap Seminar Ii"
"ASAP","Asap Workshop I"
"ASAP","Asap Writing Wkshop"
"ASTR","Lab Exercises In Stellar Astro"
"ASTR","Planetary Astronomy"
"ASTR","Stellar Astronomy"
"AUTE","ACS Technology Internship"
"AUTE","Advanced Vehicle Diagnostics"
"AUTE","Air Brakes and Suspension"
"AUTE","Alternative Fuel Technology"
"AUTE","Auto Transmis & Axle"
"AUTE","Automatic/Manual Transmission"
"AUTE","Brake Systems"
"AUTE","Diesel Engine Performance"
"AUTE","Diesel Technology"
"AUTE","Electrical Systems"
"AUTE","Engine Performance"
"AUTE","Engine Repair"
"AUTE","Heating and Air  Conditioning"
"AUTE","Hybrid/Electric Vehicles"
"AUTE","Intro To Auto Tech"
"AUTE","Manual Drive Train and Axle"
"AUTE","Steering &Suspension Systems"
"BIOL","Anatomy and Physiology II"
"BIOL","Aspects of Human Sexuality"
"BIOL","Bio 23 Prep Workshop"
"BIOL","Biofuels and Bioproducts"
"BIOL","Biology, Bioethics And Law"
"BIOL","Biology, Bioethics and Law"
"BIOL","Biomedical Research I"
"BIOL","Cell and Molecular Biology"
"BIOL","Clin Techniques II"
"BIOL","Clin Techniques for Medical 1"
"BIOL","Clinical Instrumentation"
"BIOL","Food, Sex And Death"
"BIOL","General Biology I"
"BIOL","General Biology II"
"BIOL","Genetics"
"BIOL","Human Anatomy and Physiology I"
"BIOL","Human Biology"
"BIOL","Immunology"
"BIOL","Intro- Behavioral Neuroscience"
"BIOL","Lab Experience in Bio Research"
"BIOL","Laboratory Concepts in Biology"
"BIOL","MLT Summer Review Workshop"
"BIOL","Medical Terminology"
"BIOL","Microbio/Inf Control"
"BIOL","Microbiology"
"BIOL","Sustainability, Energy & Econ"
"BIOL","The Human Body"
"BIOL","Zoology"
"BOTA","Basic Botany"
"BOTA","Conifers"
"BOTA","Entomolgy"
"BOTA","Fall Trees and Shrubs"
"BOTA","Plant Form and Function"
"BOTA","Plant Kingdom"
"BOTA","Spring Trees/Shrubs"
"BUCO","Business Communications"
"BUIS","Client-Side Programming"
"BUIS","Multimedia Theory"
"BUIS","Server-Side Programming"
"BUIS","Website Development"
"BUSI","Appl of Mathematics for Bus"
