"cuny_subject","short_title"
"ACCT","Accnt Reqs Of Sec"
"ACCT","Accounting Elective Reviewed"
"ACCT","Accounting Information Systems"
"ACCT","Accounting Internship"
"ACCT","Accounting Internship 2"
"ACCT","Acct & Audit Non-Profits II"
"ACCT","Acct & Audit for Non-Profits 1"
"ACCT","Acct Reqs SEC & Reg Agency"
"ACCT","Adv Managerial Accounting"
"ACCT","Advanced Accounting Theory"
"ACCT","Advanced Financial Accounting"
"ACCT","Advanced Managerial Accounting"
"ACCT","Advanced Topics in Auditing"
"ACCT","Audit Concepts & Acct Research"
"ACCT","Audit:Public Envir"
"ACCT","Auditing"
"ACCT","Auditing Concepts"
"ACCT","Auditing in Public Environment"
"ACCT","Business Law I"
"ACCT","Business Law II"
"ACCT","Compt &Mngrl Acctg"
"ACCT","Comptrollership&Managerial Acc"
"ACCT","Cons Nonprofit Entit"
"ACCT","Consolidate&Nonprofit Entities"
"ACCT","Contemporary Accounting Topics"
"ACCT","Cost Accounting"
"ACCT","Cost Managerial Acct"
"ACCT","Cost and Managerial Accounting"
"ACCT","Elem"
"ACCT","Federal Taxation"
"ACCT","Finance & Manag Acct"
"ACCT","Financial & Managerial Acctng"
"ACCT","Financial Statement Analysis"
"ACCT","Fraud Report/Forensic Fin Anal"
"ACCT","Fraud Reptg/Forensic"
"ACCT","Income Taxation"
"ACCT","Independent Reading"
"ACCT","Interm Fin Accnt 1"
"ACCT","Interm Fin Accnt 2"
"ACCT","Intermediate Financial Acct I"
"ACCT","Intermediate Financial Acct II"
"ACCT","International Accounting"
"ACCT","International Tax"
"ACCT","Intr Manager Accnt"
"ACCT","Intro to Managerial Accounting"
"ACCT","Introduction to  Auditing"
"ACCT","Introduction to Auditing"
"ACCT","Introductory Accounting"
"ACCT","Iss Acct&Aud Nonpro1"
"ACCT","Iss Acct&Aud Nonpro2"
"ACCT","Legal Envir Of Bus"
"ACCT","Princ & Pract 2"
"ACCT","Seminar in Accounting"
"ACCT","Special Topics"
"ACCT","Survey of Accounting"
"ACCT","Tax Regulation & Strategy"
"ACCT","Taxat Bus Enterpr"
"ACCT","Taxation of Busn Enterprises"
"ACCT","The Legal Environment of Busn"
"ACCT","Thesis Research"
"ACIM","Amer Govt&Pol(Pol51)"
"ACIM","Dev Cmp Wrtg (Eng93)"
"ACIM","Efct Pub Spkg(Spe21)"
"ACIM","Intr Math (Mat R2)"
"ACIM","Th Visual Exp(Art31)"
"AFST","(Re)presenting Black Men"
"AFST","Afic Am Hist To 1865"
"AFST","Afr Amer Hist from 1865"
"AFST","Afr Amer Hist-1865"
"AFST","Afr Amer Humanism"
"AFST","Afr Amer Lit 1930-Pr"
"AFST","Afr Amer Research"
"AFST","Afr Natnl Ldrship"
"AFST","Afr Relig & Culture"
