"cuny_subject","short_title"
"ACCT","Acc Applications On Microcomp"
"ACCT","Acc School Practicum"
"ACCT","Accounting I"
"ACCT","Accounting II"
"ACCT","Accounting III"
"ACCT","Accounting IV"
"ACCT","Accounting Info Sys (Honors)"
"ACCT","Accounting Information Systems"
"ACCT","Accounting Principles I"
"ACCT","Accounting Principles II"
"ACCT","Accounting V"
"ACCT","Cost Accounting I"
"ACCT","Cost Accounting II"
"ACCT","Elementary Acc.Ii"
"ACCT","Elementary Accounting II"
"ACCT","Elementary Accounting Ib"
"ACCT","Elementary Acct I"
"ACCT","Elementary Acct Ia"
"ACCT","Elementary Acct.I"
"ACCT","Forensic Acc & Fraud Analysis"
"ACCT","Gov.Notprofit Acct"
"ACCT","Inter Accounting"
"ACCT","Inter Accounting Practicum"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting I (Hon"
"ACCT","Intermediate Accounting II"
"ACCT","Personal Acc & Fin Literacy"
"ACCT","Survey Of Acct."
"ACCT","Taxation"
"ACCT","Taxation of Business Entities"
"ACCT","Taxation: Federal"
"ACCT","Taxation: Federal (Honors)"
"ACIM","Basic Math for College"
"ACIM","Effective Speaking"
"ACIM","Field Work I"
"ACIM","Field Work Ii"
"ACIM","Field Work Iii"
"ACIM","Field Work Iv"
"ACIM","Field Work Ix"
"ACIM","Field Work V"
"ACIM","Field Work VII"
"ACIM","Field Work VIII"
"ACIM","Field Work Vi"
"ACIM","Field Work Vii"
"ACIM","Field Work Viii"
"ACIM","Field Work X"
"ACIM","High School Equiv"
"ACIM","Indepen Study I"
"ACIM","Indepen Study Ii"
"ACIM","Indepen Study Iii"
"ACIM","Indepen Study Iv"
"ACIM","Indepen Study V"
"ACIM","Indepen Study Vi"
"ACIM","Indepen Study Vii"
"ACIM","Indepen Study Viii"
"ACIM","Indepen Study X"
"ACIM","Independ Study Vii"
"ACIM","Independent Study"
"ACIM","Independent Study II"
"ACIM","Independent Study III"
"ACIM","Independent Study IV"
"ACIM","Independent Study IX"
"ACIM","Independent Study VI"
"ACIM","Life Experience I"
"ACIM","Life Experience II"
"ACIM","Life Experience III"
"ACIM","Life Experience IV"
"ACIM","Life Experience Iii"
"ACIM","Life Experience Iv"
"ACIM","Life Experience Lit"
"ACIM","Life Experience V"
"ACIM","On Permit"
"AFST","20th Cent Afr Devel"
"AFST","Af-Amer His To 1865"
"AFST","Afl Directed Study"
"AFST","Africa 1500 To Pres"
"AFST","African Art (Same as ART 801)"
"AFST","African-American Art"
"AFST","African-American Hist (Honors)"
"AFST","African-American History"
"AFST","Afro-Latino Directed Study"
"AFST","Black Directed Study"
"AFST","Blk Directed Study"
"AFST","Blk Man In Society"
"AFST","Blk Man In Society (Honors)"
"AFST","Blk Women Amer/Cari"
"AFST","Blk Women Amer/Cari (Honors)"
"AFST","Caribbean Black Lit"
"AFST","Caribbean History"
"AFST","Community Problems"
"AFST","Comp.Ethnic Studies"
"AFST","Contemporary Black Writers"
"AFST","Contmp Blk Writers"
"AFST","Dom Rep Econ Devel"
"AFST","Economics of Urban Communities"
"AFST","Haitian History and Culture"
"AFST","Hist Of African Civilizations"
"AFST","History of Black Theater"
"AFST","Hlth Prob Urban Com"
"AFST","Introduction to Ethnic Studies"
"AFST","Mod Blk Pol Thought"
"AFST","Political Eco Carib"
"AFST","Puerto Rican Culture Folklore"
"AFST","Research and Writing Methods"
"AFST","Social Blk Urb Com"
"AFST","The Black Experience in Africa"
"AFST","The Contemporary Black Family"
"AFST","The Roles Of Women"
"AMSL","Intro. American Sign Lang. I"
"AMSL","Intro. American Sign Lang. II"
"ANMG","2D Animation Projects"
"ANMG","3D Animation Projects"
"ANMG","Introduction to 2D Animation"
"ANMG","Introduction to 3D Animations"
"ANMG","Introduction to Video Graphics"
"ANTH","Aging, Health and Culture"
"ANTH","Ant Directed Study"
"ANTH","Anthropology Directed Study"
"ANTH","Blk Women Amer/Cari"
"ANTH","Chinese Culture and Heritage"
"ANTH","Haitian History and Culture"
"ANTH","Introduction to Anthropology"
"ANTH","Language and Culture"
"ANTH","P.R. Culture & Folklore"
"ANTH","Ppls & Cultrs Lat Am & Crbn"
"ANTH","Roles Of Women"
"ARAB","Arabic III"
"ARAB","Arabic IV"
"ARAB","Elem Arab for Speakers of Arab"
"ARAB","Elementary Arabic I"
"ARAB","Elementary Arabic II"
"ARAD","Adv Copy and Layout"
"ARAD","Adv Directed Study"
"ARAD","Adv Ops Radio-T.V."
