"cuny_subject","short_title"
"ACCT","Accounting 100-Level Elective"
"ACCT","Accounting 200-Level Elective"
"ACCT","Accounting 300-Level Elective"
"ACCT","Accounting 400-Level Elective"
"ACCT","Accounting Grad Crd"
"ACCT","Accounting Grad Crdt"
"ACCT","Accounting Graduate Credit"
"ACCT","Accounting Ind Study"
"ACCT","Accounting Independent Study"
"ACCT","Accounting Information Systems"
"ACCT","Accounting Internship"
"ACCT","Accounting Research Course"
"ACCT","Accountng Internship"
"ACCT","Acctg/Mgmt Info Sys"
"ACCT","Advanced Accounting"
"ACCT","CPA Problems/Issues"
"ACCT","Cost Accounting I"
"ACCT","Cost Accounting II"
"ACCT","Federal Income Taxation I"
"ACCT","Federal Income Taxation II"
"ACCT","Fin&Mang Accounting"
"ACCT","Financial Audits"
"ACCT","Financial Statements"
"ACCT","Forensic Accounting"
"ACCT","Gov and Not-For- Profit Acc"
"ACCT","Gov&Nonforprofit Acc"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting II"
"ACCT","International Accounting"
"ACCT","Introduction to Accounting I"
"ACCT","Introduction to Accounting II"
"ACCT","Managerial Accountng"
"ACCT","Medical Accounting"
"ACCT","New York State and Local Taxes"
"ACCT","Survey Of Accounting"
"ACCT","Tax Strt&Bus Dec"
"AFAS","60  Ooo"
"AFST","African Amer Athlete XX Cent"
"AFST","African American Drama"
"AFST","African American Literature"
"AFST","African Diaspora Interdis Pers"
"AFST","African Imperialism"
"AFST","African Literature"
"AFST","African Politics"
"AFST","Afro-Am Ethnmusiclgy"
"AFST","Afro-Am Music Theatr"
"AFST","Afro-Am Stud 300-Level Elec"
"AFST","Afro-Am Stud 400-Level Elec"
"AFST","Afro-Amer History I: 1619-1865"
"AFST","Afro-Amer History II"
"AFST","Afro-Amer Ind Study"
"AFST","Afro-Amer Indep Stdy"
"AFST","Afro-Amer Independent Study"
"AFST","Afro-Amer Internship"
"AFST","Afro-Amer Survey"
"AFST","Americas Slavery"
"AFST","Black Art Movement"
"AFST","Black Dance Workshop"
"AFST","Black Education"
"AFST","Black French Writers"
"AFST","Black Ideology"
"AFST","Black Socialization"
"AFST","Black/Wht Amer Cultr"
"AFST","Civil War Reconstruction"
"AFST","Colonialism & the African Exp"
"AFST","Contemporary African Issues"
"AFST","Garvey And Dubois"
"AFST","Gender in Francophone World"
"AFST","Geography of Africa"
"AFST","History of Africa"
"AFST","History of the Caribbean"
"AFST","Intro to African Diaspora Lit"
