"cuny_subject","short_title"
"ACCT","Principles 1"
"ACCT","Principles 2"
"ACCT","Survey Of Accouting"
"ALBA","Elem Albanian 1"
"ALBA","Elem Albanian 2"
"AMST","Thesis Research"
"ANTH","Afr Am & Carib Food"
"ANTH","African Politics & Performance"
"ANTH","African Prehistor"
"ANTH","African Prehistory"
"ANTH","Afro Cari Relig Spir"
"ANTH","Amer Cult Patterns"
"ANTH","American Cultural Patterns"
"ANTH","Ancnt Civl Mex/Peru"
"ANTH","Anct Mexico & Peru"
"ANTH","Anth & Museum"
"ANTH","Anth & Soc Probl"
"ANTH","Anth Hlth & Healing"
"ANTH","Anth In Sports"
"ANTH","Anth Of Aging"
"ANTH","Anth Of Gender And Sex"
"ANTH","Anth Of Reproduction"
"ANTH","Anth Of Sex Roles"
"ANTH","Anth Theory & Meth"
"ANTH","Anthr Of Asian America"
"ANTH","Anthro & Contmp Soc"
"ANTH","Anthro & Educ"
"ANTH","Anthro Of Dance"
"ANTH","Anthro Of Law"
"ANTH","Anthropolgy Of Food"
"ANTH","Anthropological Genomics"
"ANTH","Anthropological Perspectives o"
"ANTH","Anthropology & Disability Stud"
"ANTH","Anthropology Beyond Academia"
"ANTH","Anthropology Beyond the Univer"
"ANTH","Anthropology Gender"
"ANTH","Anthropology Of Gend"
"ANTH","Anthropology of Childhood"
"ANTH","Anthropology of Disability"
"ANTH","Anthropology of Education"
"ANTH","Anthropology of Gender & Sexua"
"ANTH","Anthropology of Law"
"ANTH","Anthropology of Masculinities"
"ANTH","Anthropology of Masculinity"
"ANTH","Anthropology of Popular Cultur"
"ANTH","Anthropology of Sex Roles"
"ANTH","Anthropology of U.S Blacks"
"ANTH","Anthropology of US Blacks"
"ANTH","Anthropology of Urban Areas"
"ANTH","Anthropology of War & Trauma"
"ANTH","Anthropology of the Climate Cr"
"ANTH","Appld Medical Anth"
"ANTH","Applied Ethnomusicology"
"ANTH","Archaeology"
"ANTH","Archaeology of Democracy & Des"
"ANTH","Archaeology of Displacement an"
"ANTH","Archaeology of New York City"
"ANTH","Asian Cult & People"
"ANTH","Asians In America"
"ANTH","Autoethnography: Cultural Anal"
"ANTH","Bio-Cultural Anthropology"
"ANTH","Bio-Physical Anthropology"
"ANTH","Birthing Justice/ Birth Injust"
"ANTH","Black English"
"ANTH","Black Panther: The World of Wa"
"ANTH","Black Power Women: Autobiograp"
"ANTH","Blacks/Latinas Media"
"ANTH","Blck Popular Culture"
"ANTH","Built Environment"
"ANTH","Carib Immigration"
"ANTH","Caribbean Peoples"
"ANTH","Caribbn People In Us"
