"cuny_subject","short_title"
"ACCT","Accounting Seminar"
"ACCT","Accounting Theory"
"ACCT","Acct/Aud Aspct Comp-Bas Info S"
"ACCT","Advanced Empirical Research"
"ACCT","Auditing"
"ACCT","Coll Acct/Aud Thry/Methodolgy"
"ACCT","Contemp Issues Managerial Acct"
"ACCT","Cost Acct/Thry Prct"
"ACCT","Curr Thry & Probs"
"ACCT","Current Acct Thry & Problems"
"ACCT","Dissertation Seminar"
"ACCT","Dissrt Supervision"
"ACCT","Empirical Research Methods"
"ACCT","Empirical Research in Acct"
"ACCT","Fiduc Incom Tax"
"ACCT","Fin Acty Iii"
"ACCT","Fin Statement Analys/Reporting"
"ACCT","Fin Statemnt Analy & Reportng"
"ACCT","Fin/Mgt Acty Issues"
"ACCT","Finan Accounting Ii"
"ACCT","Financial & Mgmt Accounting"
"ACCT","Financial Accounting"
"ACCT","Financial Accounting I & II"
"ACCT","Intermediate Accounting I"
"ACCT","Manag Acct Thry & Pract"
"ACCT","Manag Acty Contrls"
"ACCT","Management Accounting"
"ACCT","Princip Accountcy I"
"ACCT","Resch/Stand/Policy in Auditng"
"ACCT","Seminar in Cost Accounting"
"ACCT","Spec Topics in Accounting"
"ADVE","Advert Fundamentals"
"ADVE","Advertising Media"
"ADVE","Advertising Prin"
"ADVE","Tba"
"AFST","Africana Studies:Glbl Prspctvs"
"AFST","Intro to Africana Studies"
"AFST","Soc Change in Africa 1750-1945"
"AFST","Topics in Africana Studies"
"AMNH","Biogeographic Analysis"
"AMNH","Consortium Course: AMNH"
"AMNH","Evolution"
"AMNH","GIS Methods & Applications"
"AMNH","Geometric Morphometrics"
"AMNH","Grantmanship, Ethics, Commun"
"AMNH","Grants, Ethics & Communicatn"
"AMNH","Next Generation Seq Inform"
"AMNH","Next Generation Sequencing"
"AMNH","Speciation"
"AMNH","Systematics & Biogeography"
"AMNH","Vertebrate Paleontology"
"AMSL","American Sign Language"
"AMST","Am Frontiers To1860"
"AMST","Amer Politicl Thght"
"AMST","American Realism"
"AMST","Art/Desgn/Soc Chang"
"AMST","Captivty Narratives"
"AMST","Civil War Era Polit"
"AMST","Dissertation Workshop"
"AMST","Ethnic & Amer Cult"
"AMST","Fbi In Am Hist/Cult"
"AMST","Geneology and Methods"
"AMST","Key Questions in Am Studies"
"AMST","Puritans/Pragmatist"
"AMST","Research in American Studies"
"AMST","Roots Mass Culture"
"ANTH","Adapt/Dev Soc Movem"
"ANTH","African Primates: Bio/Evol/Beh"
"ANTH","Afro-America"
"ANTH","Amer So Clas/Cultur"
"ANTH","Analy Lang of Selected Areas"
"ANTH","Ancient Egypt State"
"ANTH","Anth Of Colonialism"
"ANTH","Anth Of Development"
"ANTH","Anth Persp Violence"
"ANTH","Anthr Latin America"
"ANTH","Anthro Demography"
"ANTH","Anthro Of Cities"
"ANTH","Anthro Of Developmt"
"ANTH","Anthro Politic Proc"
"ANTH","Anthro Research"
"ANTH","Anthro Views/Usa Ii"
"ANTH","Anthro of Music & Art"
"ANTH","Anthropolgy Of Work"
"ANTH","Anthropology Of Usa"
"ANTH","Anthropology of Race"
"ANTH","Applied Anthropolgy"
"ANTH","Approc/Urban Commun"
"ANTH","Arch Field Mthds"
"ANTH","Archaeol Of Africa"
"ANTH","Archaeological Field School"
"ANTH","Archaeology as Anthropology"
"ANTH","Archaeology of Mesoamerica"
"ANTH","Archaeology of Selected Areas"
"ANTH","Behavioral Biology & Ecology"
"ANTH","Catarrhine Evolutin"
"ANTH","Class And Culture"
"ANTH","Class/Class Conscio"
"ANTH","Cntmp Anthro Theory"
"ANTH","Cognitive Anthropol"
"ANTH","Commoditization"
"ANTH","Comp Urban:Lang/Soc"
"ANTH","Complex Socty Organ"
"ANTH","Consrvation Archaeo"
"ANTH","Construct Aboriginl"
"ANTH","Contemp Archaeological Theory"
