"cuny_subject","short_title"
"ACCT","Accounting I"
"ACCT","Accounting II"
"ACCT","Accounting Internship Seminar"
"ACCT","College Accounting I"
"ACCT","College Accounting II"
"ACCT","Computerized Accounting"
"ACCT","Cost Accounting I"
"ACCT","Federal Business Income Taxes"
"ACCT","Intermediate Accounting I"
"ACCT","Introduction to Accounting"
"ACCT","Personal Income Tax"
"AMSL","American Sign Language"
"ANTH","Introduction to Anthropology"
"ARVP","Acting I"
"ARVP","Acting I (HONORS)"
"ARVP","Acting II"
"ARVP","Advanced Public Speaking"
"ARVP","Arts & Crafts"
"ARVP","Arts and Civil I:Prehist-1400"
"ARVP","Arts and Civil II:1400-Present"
"ARVP","Chorus"
"ARVP","Color Theory and Design"
"ARVP","Commercial Arts I"
"ARVP","Commercial Arts II"
"ARVP","Digital Photography 2"
"ARVP","Digital Photography I"
"ARVP","Digital Photography I (HONORS)"
"ARVP","Fund Mus Thry Piano II"
"ARVP","Introduction to Art"
"ARVP","Introduction to Film & TV"
"ARVP","Introduction to Theatre"
"ARVP","Modern Art In The City (HONORS"
"ARVP","Modern Art in the City"
"ARVP","Movement for the Actor I"
"ARVP","Movement for the Actor II"
"ARVP","Music Appreciation"
"ARVP","Music Theory"
"ARVP","Music Theory/Keyboard"
"ARVP","Painting and Drawing I"
"ARVP","Painting and Drawing II"
"ARVP","Photography I"
"ARVP","Photography II"
"ARVP","Play & Performance Analysis"
"ARVP","Speaking and Listening"
"ARVP","Still Life Oil Painting"
"ARVP","Twentieth Century Art"
"ARVP","Voice & Diction"
"ARVP","Voice and Diction"
"ASAP","ASAP Common Hour"
"BIOL","Anatomy & Physiology II (HONOR"
"BIOL","Anatomy and Physiology I"
"BIOL","Anatomy and Physiology II"
"BIOL","Botany of Food"
"BIOL","Food Microbiology"
"BIOL","General Biology I"
"BIOL","General Biology I (HONORS)"
"BIOL","General Biology II"
"BIOL","General Biology II (HONORS)"
"BIOL","Human Biology I Laboratory"
"BIOL","Human Biology I Lecture"
"BIOL","Human Biology II Laboratory"
"BIOL","Human Biology II Lecture"
"BIOL","Independent Studies in Biology"
"BIOL","Introduction to Genetics"
"BIOL","Microbiology"
"BIOL","Organismic Biology"
"BIOL","Organismic Biology (HONORS)"
"BIOL","Organismic Biology (Lab)"
"BIOL","Plants & Society (HONORS)"
"BIOL","Plants And Society (Lab)"
"BIOL","Plants and Society"
"BIOL","Principles In Biology (Lab)"
"BIOL","Principles of Biology"
"BIOL","Principles of Biology (HONORS)"
"BLST","African Civilization I"
"BLST","African Civilization I (HONORS"
"BLST","African Civilization II"
"BLST","African Literature"
"BLST","African Spirituality"
"BLST","African-Am & Latino"
"BLST","African-Am Religion"
"BLST","African-American Experience"
"BLST","African-American Literature"
"BLST","African-American Music"
"BLST","Black Rebellion and Resistance"
"BLST","Black-American Art"
"BLST","Diver/Plural In Amer"
"BLST","Ethnicity, Health, and Illness"
"BLST","Harlem Renaissance (HONORS)"
"BLST","Hip-Hop Worldview"
"BLST","History Of Haiti And Dom. Rep."
"BLST","Introduction to Black Studies"
"BLST","Negritude"
"BLST","Social Prob Minority"
"BLST","The Harlem Renaissance"
"BUSI","Business Applications: Excel"
"BUSI","Business Communications"
"BUSI","Business Ethics"
"BUSI","Business Law I"
"BUSI","Business Law II"
"BUSI","Business-Digital Entrepreneur"
"BUSI","Electronic Commerce"
"BUSI","Entrepreneurship"
"BUSI","Introduction to Business"
"BUSI","Personal Financial Planning"
"BUSI","Prin Int’L Business"
"BUSI","Prin Of Market (HONORS)"
"BUSI","Principles of Finance"
"BUSI","Principles of Management"
"BUSI","Principles of Marketing"
"CAPS","Agents of Change"
"CAPS","Bronx Beautiful"
"CAPS","From College to ?Real World"""
"CFMA","College Focus Mathematics"
"CFRW","College Focus ELA"
"CHEM","Chem Engine Thermodynamics I"
"CHEM","Gen Chem I Lab (HONORS)"
"CHEM","General Chemistry I"
"CHEM","General Chemistry I (HONORS)"
"CHEM","General Chemistry II"
"CHEM","General Chemistry II (HONORS)"
"CHEM","Independent Study"
"CHEM","Intro Che Prin Prac"
"CHEM","Intro General Chem"
"CHEM","Introduction to Chemistry"
"CHEM","Organic Chem II Lab"
"CHEM","Organic Chemistry I"
"CHEM","Organic Chemistry I (HONORS)"
"CHEM","Organic Chemistry I Lab"
"CHEM","Organic Chemistry II"
"CHEM","Organic Chemistry II (HONORS)"
"CHEM","Physical Chemistry 1"
"CHEM","Prin Of Organic Che"
"CHEM","Quantitative Analysis"
"CLIP","CLIP - Level 1"
"CLIP","CLIP - Level 2"
"CLIP","CLIP - Level 3"
"CLIP","CLIP - Level 4"
"CMIS","Adv Micro Concepts"
"CMIS","Advanced Networking Concepts"
"CMIS","Basic Networking Concepts"
"CMIS","C++ Programming"
"CMIS","Database Management Systems"
"CMIS","Fund Data Comm & Net"
"CMIS","Help Desk Support"
"CMIS","Internship"
"CMIS","Intro To Info System"
"CMIS","Network Operating Systems"
"CMIS","Object Oriented Programming"
"CMIS","Operating Systems"
"CMIS","Programming Logic & Design"
"CMIS","Sys Anal&Design (HONORS)"
"CMIS","Systems Anaylsis & Design"
"CMSC","Computer Networking"
"CMSC","Computer Science"
"CMSC","Data Structures"
"CMSC","Discrete Mathematics"
"CMSC","Modern Programming"
"CMSC","Object Oriented Programming"
"CMSC","Web & Mobile App Development"
"CODI","CD Freshman Orientation"
"COMM","Fund Public Speaking"
"COMM","Fund Public Speaking (HONORS)"
"COMM","Intercultural Communication"
"COOP","Intro To Career Pract"
"COOP","Work Experience I"
"COOP","Work Experience II"
"CRIM","CJ Policy and Management"
"CRIM","Corrections and Sentencing"
"CRIM","Criminal Justice Careers"
