"cuny_subject","short_title"
"ACCT","Acad Acc Res Meth & Proj"
"ACCT","Accounting & Auditing Research"
"ACCT","Accounting 1"
"ACCT","Accounting II"
"ACCT","Accounting Information Systems"
"ACCT","Advanced Accounting I"
"ACCT","Advanced Accounting II"
"ACCT","Advanced Auditing"
"ACCT","Advanced Federal Income Tax"
"ACCT","Advanced Financial Accounting"
"ACCT","Advanced Managerial Accounting"
"ACCT","Analysis-Financial Statements"
"ACCT","Auditing"
"ACCT","Bus Eths, Comm & Prof Acct Res"
"ACCT","Business Law 2"
"ACCT","Business Law 3"
"ACCT","Business Law I"
"ACCT","Business Taxes"
"ACCT","Computer Accounting Systems"
"ACCT","Federal Income Taxation"
"ACCT","Governmental Accounting"
"ACCT","Intermediate Accounting 2"
"ACCT","Intermediate Accounting I"
"ACCT","Managerial Accounting"
"ACCT","Managerial Economics"
"ACCT","State and Local Taxation"
"AFST","Hist of PR Labor Mvt"
"AFST","In Service"
"AFST","Surv:Asn-Am Exp"
"ANTC","19th Cent Intl Roots Sosci"
"ANTC","AA Mvmt Comm Org"
"ANTC","Africa: Societies and Cultures"
"ANTC","African Influence Cuban Cult"
"ANTC","African Orgn Rel Caribbean"
"ANTC","Afro-American Culture in US"
"ANTC","Afro-New World Lang & Culture"
"ANTC","All American Women"
"ANTC","Analytic Methods  Archaeology"
"ANTC","Anthopology Remote Sensing"
"ANTC","Anthro Perspec-Aging"
"ANTC","Anthro of Black & Latinx Youth"
"ANTC","Anthro:Civil Rights Movemen US"
"ANTC","Anthropol Lks at NYC"
"ANTC","Anthropological Appr Sexuality"
"ANTC","Anthropology & Africa Today"
"ANTC","Anthropology & Education"
"ANTC","Anthropology & Literature"
"ANTC","Anthropology African Col Hist"
"ANTC","Anthropology Cent & South Asia"
"ANTC","Anthropology Contemporary Wars"
"ANTC","Anthropology Demography"
"ANTC","Anthropology and Energy"
"ANTC","Anthropology and History"
"ANTC","Anthropology of Art"
"ANTC","Anthropology of Asian Diaspora"
"ANTC","Anthropology of Black America"
"ANTC","Anthropology of Ethnicity"
"ANTC","Anthropology of Israel"
"ANTC","Anthropology of Media"
"ANTC","Anthropology of Music & Art"
"ANTC","Anthropology of Religion"
"ANTC","Anthropology of Science"
"ANTC","Anthropology of Violence"
"ANTC","Applied Anthropology"
"ANTC","Arch African Diaspora"
"ANTC","Arch Aztec & Mayan"
"ANTC","Archael. of Romn. Br"
"ANTC","Archaeology Europe"
"ANTC","Archaeology Field Techniques"
"ANTC","Archaeology of Africa"
"ANTC","Archaeology of Colonialism"
"ANTC","Archaeology of Mesoamerica"
"ANTC","Archaeology of North America"
"ANTC","Archaeology of South Africa"
"ANTC","Archaeology of South America"
"ANTC","Archaeology of the Near East"
"ANTC","Archaeology: East Cen Euope"
"ANTC","Archaeology: Europe"
"ANTC","Archaeology: Old World"
"ANTC","Archeology of Mesoamer"
"ANTC","Archeology:Mexico & Cent Amer"
"ANTC","Asian-Amer Lit & Eth Imag"
"ANTC","Asian-Amer Movement Comm"
"ANTC","Asians in NYC"
"ANTC","Black Lives Globally"
"ANTC","Black Muslims: World Culture"
"ANTC","Blackness in Latin Amer Carb"
"ANTC","Body & Symb Trans"
"ANTC","Brazil: Peoples & Culture"
"ANTC","Brazil:Race,Class & Gender"
"ANTC","Brders, Badl & Trsntl Org Crme"
"ANTC","Care of Museum Coll"
"ANTC","Carib:Women Work  Reproduction"
"ANTC","Caribbean:Societies & Cultures"
"ANTC","Casual Expl Social Scientists"
"ANTC","Circumpolar Archaeology"
"ANTC","Cmpu Srsh-Res Biblog"
"ANTC","Cntrl Rpro:Glob Comp"
"ANTC","Cntryside & City: Comp Persp"
"ANTC","Cognitive Linguistic"
"ANTC","Colonialism"
"ANTC","Comm & Social Interaction"
"ANTC","Contemp Cuban Cult"
"ANTC","Contemporary Issues"
"ANTC","Cross Culture Asps-Aging"
"ANTC","Cultural Diversity in the US"
"ANTC","Dev & Int Migration"
"ANTC","Dev Pgms:3D Wld Womn"
"ANTC","Disability and Culture"
"ANTC","Discourse Analysis"
"ANTC","Discourse Pragmatics"
"ANTC","Domestication"
"ANTC","Dynamics of Cultural Change"
"ANTC","East Asia:Societies & Cultures"
"ANTC","East Europe in Transition"
"ANTC","Ecol Land Use Settlement"
"ANTC","Economy and Culture"
"ANTC","Education in Africa"
"ANTC","Environmental Archeology"
"ANTC","Environmental Global & Culture"
"ANTC","Ethnicity & Nationalism"
"ANTC","Ethnicity Gender & Disease"
"ANTC","Ethno: Near East"
"ANTC","Ethno:China & E.Asia"
"ANTC","Ethnoarchaeology"
"ANTC","Ethnol of Mediterrn"
"ANTC","Ethnol of the US"
"ANTC","Ethnology of Africa"
"ANTC","Ethnology of Middle East"
"ANTC","Ethnology: South America"
"ANTC","Ethnology:Latin America"
"ANTC","European Race Reltns"
"ANTC","Explorations in Anthropology"
"ANTC","Fam & Household Anthropology"
"ANTC","Faunal Analysis"
"ANTC","Fld Methods Cult Anthropology"
"ANTC","Folk & Traditional Music"
"ANTC","Folklore and Mythology"
"ANTC","Folklore in Translation"
"ANTC","Food and Culture"
"ANTC","Forced Migration"
"ANTC","Future Studies in Anthropology"
"ANTC","Gangs and Criminal Community"
"ANTC","Gender & Development"
"ANTC","Gender and Migration"
"ANTC","Gender in Anthropologl Persp"
"ANTC","Gender in Archaeology"
"ANTC","Gender, Nation & Colonial"
"ANTC","Global Health and Culture"
"ANTC","Globalization and Culture"
"ANTC","Globalizing Women"
"ANTC","Grammatical Analysis & Theory"
"ANTC","Grassroots Mvmts & Soc Chg"
"ANTC","Gypsies of the World"
"ANTC","Haiti: Doctorshp & Dem"
"ANTC","Historical Archeology"
"ANTC","Historical Ecology"
"ANTC","History Archaeology"
"ANTC","History of Jazz"
"ANTC","History of Linguistics"
"ANTC","History:Anthropological Theory"
"ANTC","Honors Projects"
"ANTC","Human Ecology"
"ANTC","Human Rights of Indigenous"
"ANTC","Human Rights:Conflict Africa"
"ANTC","Hunters & Gatherers"
"ANTC","Immigrant Employment NY"
"ANTC","Independ Research-Anthropology"
"ANTC","Independent Research"
"ANTC","Indigenous Mexico Hist Culture"
"ANTC","International  Migration"
"ANTC","International Human Rights"
"ANTC","Internship"
"ANTC","Intro to Cult Anthc"
"ANTC","Intro to Cultural Anthropology"
"ANTC","Intro to Museum Curation"
"ANTC","Intro-Prehistoric Archaeology"
"ANTC","Intro:Community Organizing"
"ANTC","Introduction to Linguistics"
"ANTC","Jewish Diaspora Europe"
"ANTC","Kinship & Social Organization"
"ANTC","Language & Culture"
"ANTC","Language and Body"
"ANTC","Language and Gender"
"ANTC","Language and Nationalism"
"ANTC","Language and Power"
"ANTC","Language and Race"
"ANTC","Language, Health & Medicine"
"ANTC","Language, Sex & Gender"
"ANTC","Languages in Contact"
"ANTC","Latin Amer Migration & Settle"
"ANTC","Latin Amer:Societies & Culture"
"ANTC","Latin America: Change Front"
"ANTC","Latina/o Urban Ethnography"
"ANTC","Law, Justice, Reconciliation"
"ANTC","Magic, Wtchcraft & Religion"
"ANTC","Med Anth:Politics Humanit Aid"
"ANTC","Medical Anthropology"
"ANTC","Men,Women&Work:Afric"
"ANTC","Methods Archaeological Sci"
"ANTC","Methods:Cross Culture Res"
"ANTC","Middle East Prehistory"
"ANTC","Middle East Societies Cultures"
"ANTC","Motherhood: Imagy & Sym"
"ANTC","Mthrhd-X Cult Perspectives"
"ANTC","Mus: Hispanic Caribbean"
"ANTC","Museum Exhibit Prep"
"ANTC","Museum Methodology"
"ANTC","Music Culture of World"
"ANTC","Music and Art in the Caribbean"
"ANTC","Music, Healing and Medicine"
"ANTC","Myth of Equal Access"
"ANTC","Na Indians: Ethnology"
"ANTC","Native North Amer:Societ & Cul"
"ANTC","Nor Amer Indian Lang & Culture"
"ANTC","North America Ind Lang & Cult"
"ANTC","Nutritional Anthropology"
"ANTC","Origins of Agricultrure"
"ANTC","Pandemics & Global Health"
"ANTC","Peasant Society & Rebellions"
"ANTC","People & Cult:Circumpolar Reg"
"ANTC","People & Culture: Europe"
"ANTC","People & Culture: Medit"
"ANTC","People & Culture:Oceania"
"ANTC","People & Culture:South Asia"
"ANTC","People & Envn:Amazonia"
"ANTC","Peoples and Cult:Meso-America"
"ANTC","Phonological Analysis &Theory"
"ANTC","Polan’s Economy Eastern Europe"
"ANTC","Political Ecology"
"ANTC","Politics & Power:Anth Persp"
"ANTC","Politics of Love"
"ANTC","Politics of Memory"
"ANTC","Politics of Reproduction"
"ANTC","Politics:Race & Racism"
"ANTC","Pop Cult:Anthropological Persp"
"ANTC","Popular Culture"
"ANTC","Population & Society"
"ANTC","Post-Colonial Theory"
"ANTC","Postcards to Pinterest:Privacy"
"ANTC","Prac Museum Work"
"ANTC","Pract in Museum Work"
"ANTC","Prehistoric Cultural Ecology"
"ANTC","Prehistory  North Amer Indians"
"ANTC","Primitivism: Lit & Eth"
"ANTC","Problems in Anthropology"
"ANTC","Prod Exchange & Soc"
"ANTC","Psychological Anthropology"
"ANTC","Qualitative Methods:Linguistic"
"ANTC","Quant Data Linguistic Analysis"
"ANTC","Quantitative Linguistics"
"ANTC","Quantitative Methods in Anthro"
"ANTC","Race, Colonialism and Language"
"ANTC","Race, Culture, Power"
"ANTC","Race,Gdr, Colonialism Clim Chg"
"ANTC","Reading Ethnographic"
"ANTC","Refugees & Displaced Popul"
"ANTC","Refugees and Asylum"
"ANTC","Religious Words & Worlds"
"ANTC","Religious Worlds NYC"
"ANTC","Research Design Anthropology"
"ANTC","Rise of Civilization"
"ANTC","Sem Reg Persp Anthro"
"ANTC","Sem S. Eur. Fam Soc"
"ANTC","Sem in Eco Anthropology"
"ANTC","Sem: Creole Language"
"ANTC","Sem: History Archaeology"
"ANTC","Sem: Lithic Analysis"
"ANTC","Sem: Museum Experience"
"ANTC","Sem: New World Archaeology"
"ANTC","Sem: Orig Agriculture"
"ANTC","Sem: Remote Sensing"
"ANTC","Sem: Urban Anthropology"
"ANTC","Sem:Archeo Field Methods"
"ANTC","Sem:Circumpolar Regs"
"ANTC","Sem:Historical Archaeology"
"ANTC","Sem:Hunters & Gatherer"
"ANTC","Sem:Pastoralism"
"ANTC","Semantic Analysis"
"ANTC","Semantic Res Anlsys"
"ANTC","Seminar in Sociobiology"
"ANTC","Seminar in Urban Anthropology"
