"cuny_subject","short_title"
"ACCT","Accounting Information Systems"
"ACCT","Accounting Intrnship"
"ACCT","Accounting Intrnship Intensive"
"ACCT","Accounting Intrnship Intnsv II"
"ACCT","Adv Fin. Rept & Ana."
"ACCT","Advanced Auditing"
"ACCT","Advanced Taxation"
"ACCT","Analytical Methods"
"ACCT","Analytical Methods in Inspecti"
"ACCT","Auditing"
"ACCT","Business Law"
"ACCT","Data Analytics Fraud Examiner"
"ACCT","Digital Forens Fraud"
"ACCT","Digital Forensics"
"ACCT","Fac Mentored Rsrch Exp in Acct"
"ACCT","Fac-Mentored Research in ACC"
"ACCT","Forensic Accounting"
"ACCT","Forensic Acct& Audit"
"ACCT","Fraud Exam & Fin Forensics I"
"ACCT","Fraud Exam & Fin Forensics II"
"ACCT","Independent Study 200-level"
"ACCT","Independent Study 300-level"
"ACCT","Independent Study 400-level"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting II"
"ACCT","Intr Mngr Accounting"
"ACCT","Introduction to Accounting"
"ACCT","Sem in Forensic Fin Analysis"
"ACCT","Strategic Cost Management"
"ACCT","Topics in Fraud & Financ Foren"
"ACIM","Elements Of Writing"
"ACIM","Intr Coll Compos"
"AFAS","African-American Theatre"
"AFST","Afamer Nationalsm"
"AFST","Affirmative Action"
"AFST","Afr Am Women In Art"
"AFST","Afr Amer Comm Pbm"
"AFST","Afr Comjust Practice"
"AFST","Afr-Am Rsrch Seminar"
"AFST","Afr-Amer Exp Lit"
"AFST","Afr-Amer Hist 2"
"AFST","Afr. Amer. Film Exp."
"AFST","Afric Am Culture"
"AFST","Afric Fam&Society"
"AFST","Afric Rev Thought"
"AFST","African Am Film Exp"
"AFST","African Amer Exp in America"
"AFST","African Amer Thought"
"AFST","African American Journeys"
"AFST","African American Women in Art"
"AFST","African Heritage in Caribbean"
"AFST","African History"
"AFST","African Hrtge Carib"
"AFST","African Politics"
"AFST","African-American History I"
"AFST","African-American History II"
"AFST","African-American Literature"
"AFST","African-American Theatre"
"AFST","Africana Communities"
"AFST","Africana Oral Traditions"
"AFST","Africana Philosophy"
"AFST","Africana Thought"
"AFST","Africana Youth &Social Justice"
"AFST","Afro-Am Eco Devel"
"AFST","Afro-Am Poetry"
"AFST","Afro-Am Politics"
"AFST","Afro-Amer Hist 1"
"AFST","Afro-Amer Hist 2"
"AFST","Afro-Amer Military History"
"AFST","Afroamer His Tr Cred"
"AFST","Afroamer Lit Tr Cred"
"AFST","Afroamerican Historical Trend"
"AFST","Art&Just African Con"
"AFST","Arts & Culture Afr Diaspora"
"AFST","Bk Diaspora Lit 2"
"AFST","Bk Her In Carribn"
"AFST","Bk Intell Thought"
"AFST","Bk Lit 1790-Presn"
"AFST","Black Nationalism"
"AFST","Blacks in Latin America"
"AFST","Blk Diaspora Lit"
"AFST","Blks&War On Povty"
"AFST","Carib Migratn-Us"
"AFST","Carib Rac Eth&Gender"
"AFST","Comm Based Justice"
"AFST","Community & Justice"
"AFST","Community-Based Approaches"
"AFST","Comp Afr Pol Syms"
"AFST","Comp Afr Politics"
"AFST","CompPerspect:Crime inCaribbean"
"AFST","Contempry Africa"
"AFST","Crime And Ethnicity"
"AFST","Crime Dev Countries"
"AFST","Crime In Caribbean"
"AFST","Crm In Dev Countries"
"AFST","Dev/Undev In Carb"
"AFST","Drug & Crim In Afric"
"AFST","Drugs and Crime in Africa"
"AFST","Early Afr Civ&Cul"
"AFST","Early Africn Culr"
"AFST","Eco Of Discrmnatn"
"AFST","Environmental Racism"
"AFST","Fac Mentored Research Experien"
"AFST","Famly In Urbn Set"
"AFST","Field Ed Com Organizing I"
"AFST","Field Ed Com Organizing II"
"AFST","Global Identities"
"AFST","Hip Hop Culture"
"AFST","Hip-Hop Justice"
"AFST","His Carib Islands"
"AFST","Hist of Caribb Migration to US"
"AFST","History of Caribbean Islands"
"AFST","Independent Study"
"AFST","Independent Study 200-level"
"AFST","Independent Study 300-level"
"AFST","Independent Study 400-level"
"AFST","Inequality & Wealth"
"AFST","Inequality and Wealth"
"AFST","Institutional Racism"
"AFST","Institutnl Racism"
"AFST","Intro Afrcna Studies"
"AFST","Intro African His"
"AFST","Intro Africana Stud"
"AFST","Intro To African His"
"AFST","Intro to Community Justice"
"AFST","Islam And Politics"
"AFST","Jus/Indiv/Struggle"
"AFST","Justice in the Africana World"
"AFST","Law & Just Africa"
"AFST","Law and Justice in Africa"
"AFST","Lit Afr World"
"AFST","Mcnair Seminar"
"AFST","Men Inter Perspectiv"
"AFST","Men: Masculinities"
"AFST","Migra Us-Ext/Int"
"AFST","Mil Hist & Soc Just"
"AFST","Modern Caribbean Pol"
"AFST","Origins of Contemporary Africa"
"AFST","Origns Contp Afrc"
"AFST","Peace & Justice"
"AFST","Pol&Law In Africa"
"AFST","Police & Ghetto"
"AFST","Police and Law in Africa"
"AFST","Police and Urban Communities"
"AFST","Police&Ghetto"
"AFST","Police&Law In Afr"
"AFST","Polit Eco Racism"
"AFST","Political Economy of Racism"
"AFST","Pro Black Ghetto"
"AFST","Psy Afr Amer Expr"
"AFST","Psy Afr Amer Family"
"AFST","Psy Black Expernc"
"AFST","Psy Of Af Am Family"
"AFST","Psy Of Black Success"
"AFST","Psy Oppression"
"AFST","Psychology of Oppression"
"AFST","Rac Conf:S Africa"
"AFST","Race & Black Athlete"
"AFST","Race & Police Brutal"
"AFST","Race Gender and Wealth"
"AFST","Race and Ethnicity in America"
"AFST","Race and Science"
"AFST","Race and the Urban Community"
"AFST","Race&Urban Situat"
"AFST","Reagnomcs & U/C"
"AFST","Religion/Terrorism/Violence"
"AFST","Reparation Afram Exp"
"AFST","Revolutionary Though"
"AFST","Rsch Mthds: Human Svcs&ComJust"
"AFST","Selected Topics Africana Stud"
"AFST","Soc&Pub Pb-Bk Com"
"AFST","Social Entrepreneurship"
"AFST","Social Strat&Hier"
"AFST","Socl Ordr Minort"
"AFST","Spoken Word Poetry"
"AFST","The Police and the Ghetto"
"AMSL","Intro Amer Sign Lang I"
"AMSL","Intro Amer Sign Lang II"
"AMST","Thematic-Am Study"
"AMST","Thematic-Amr-Std"
"ANTH","Alcohol & Drug Use"
"ANTH","Am Pluralsm & Law"
"ANTH","Anthropgy & Film"
"ANTH","Anthropology and the Abnormal"
"ANTH","Anthropology of Alcohol Use"
"ANTH","Anthropology of Development"
"ANTH","Anthropology of Global Health"
"ANTH","Anthropology of Work"
"ANTH","Applied Anthropology"
"ANTH","ClassRaceEthnGenAnth"
"ANTH","Cult, Psychopatho & Healing"
"ANTH","Culture Contact"
"ANTH","Culture and Crime"
"ANTH","Culture and Personality"
"ANTH","Death Dying&Socty"
"ANTH","Drug Use & Abuse"
"ANTH","Environmental Anthropology"
"ANTH","Ethnograh Res Meth Anthropol"
"ANTH","Ethnographic Writing"
"ANTH","Ethnography & Urban Experience"
"ANTH","Forensic Linguistics"
"ANTH","Independent Study"
"ANTH","Independent Study 200-level"
"ANTH","Independent Study 300-level"
"ANTH","Independent Study 400-level"
"ANTH","Interdisc Ant"
"ANTH","Interdisc Internship"
"ANTH","Intro to Cultural Anthropology"
"ANTH","Introduction to Language"
"ANTH","Language And Law"
"ANTH","Language and Culture"
"ANTH","Law Justice and Injustice"
"ANTH","Maj Wk Dev&Soc Con"
"ANTH","Medical Anthropology"
"ANTH","Police Race & Culture"
"ANTH","Pre-Freshman Anthropology"
"ANTH","R. A. Fieldwork"
"ANTH","Rapid Assessment"
"ANTH","Senior Seminar in Anthropology"
"ANTH","Sex and Culture"
"ANTH","Spirtsm,Rel,Magic"
"ANTH","Structural Violence"
"ANTH","Thematic Anthropolgy"
"ANTH","Thematic-Anthropology"
"ANTH","Thematics Internship"
"ANTH","Theory in Anthropology"
"ANTH","Topics In Anthropology"
"ANTH","Urban Anthropology"
"ANTH","Youth & Justice Nyc"
"ARAB","Arabic 101"
"ARAB","Arabic 2"
"ARAB","Arabic For Law Enforcement"
"ARAB","Arabic III"
"ARAB","Elementary Arabic 2"
"ARAB","Independent Study 200-level"
"ARAB","Independent Study 300-level"
"ARAB","Independent Study 400-level"
"ARAB","Intermed Arabic I"
"ARAB","Intermediate Arabic I"
"ARAB","Intro To Arabic 101"
"ARAB","Modern Std Arabic I Review"
"ARAB","Modern Std Arabic II Review"
"ART","20th Century Art Latin America"
"ART","African American Art"
"ART","African-American Women in Art"
"ART","American Art"
"ART","Art & Culture Of Ghana"
"ART","Art & Myth in Ancient World"
"ART","Art And Law"
"ART","Art in New York"
"ART","Art of the Italian Renaissance"
"ART","Art&Just African Con"
"ART","Body Politics"
"ART","Ceramics I"
"ART","Design and Composition"
"ART","Digital Photography I"
"ART","Digital Photography II"
"ART","Eco Art and Design"
"ART","Fac Mentored Reseach Experien"
"ART","Forensic Drawing"
"ART","Graphic Design"
"ART","Greek Art & Culture"
"ART","Haitian Art"
"ART","History of Photography"
"ART","Independent Study 200-level"
"ART","Independent Study 300-level"
"ART","Independent Study 400-level"
"ART","Interdisc Art"
"ART","Interm Photography"
"ART","Intermediate Drawing"
"ART","Intrmediate Ceramics"
"ART","Intro To Painting"
"ART","Intro to Drawing: Lang of Line"
"ART","Introduction to Art"
"ART","Introduction to Painting"
"ART","Introduction to Sculpture"
"ART","Introduction to World Art I"
"ART","Introduction to World Art II"
"ART","Issues in Art and Crime"
"ART","Korean Art & Culture"
"ART","Latin American Art"
"ART","Life Drawing"
"ART","Modern Art"
"ART","Museum Studies"
"ART","Museum and Curatorial Studies"
"ART","Non-Western Art"
"ART","Non-Western Visual Culture"
"ART","Portrait Sculpture for Beginn"
"ART","Selected Topics in Art"
"ART","Social Activism in Visual Arts"
"ART","Special Topics in Art"
"ART","Thematic-Art"
"BIOL","Anatomy & Physio Lab"
"BIOL","Bio/Gender Sexuality"
"BIOL","Biology Tr Cred"
"BIOL","Cell & Molecular Bio Capstone"
"BIOL","Cell Biology"
"BIOL","Fac Mentored Research Experien"
