"cuny_subject","short_title"
"ACCT","Advanced Federal Taxation"
"ACCT","Cost Accounting"
"ACCT","Cost/Manag Acctng"
"ACCT","Federal Taxation"
"ACCT","Field Exper Acctng"
"ACCT","Financial Investigation"
"ACCT","Fundamentals of Accounting"
"ACCT","Fundamentals of Accounting II"
"ACCT","IS Microcomputer Account Appli"
"ACCT","Independent Study: Accounting"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting II"
"ACCT","Is Adv Federal Tax"
"ACCT","Microcomputer Account Applicat"
"ACCT","New York Taxes"
"ACCT","Principles of Auditing"
"ACCT","Problems In Federal Taxation"
"ACCT","Res In Fed Taxation"
"ACIM","Elig For Eng 024-Nec"
"ACIM","Eligible For Eng 024"
"ACIM","Eng 00400 Placement"
"ACIM","Eng 00400 Plcmt-Nec"
"ACIM","Eng 00400/0w000 Plct"
"ACIM","Eng 00400/0w000-Nec"
"ACIM","Eng 00r00 Placement"
"ACIM","Eng 00r00 Plcmt-Nec"
"ACIM","Eng 01200 Placement"
"ACIM","Eng 01200 Plcmt-Nec"
"ACIM","Eng 091a5 Placement"
"ACIM","Eng 091a5 Plcmt-Nec"
"ACIM","Eng 092a6 Placement"
"ACIM","Eng 092a6 Plcmt-Nec"
"ACIM","Eng 093a5/00r00-Nec"
"ACIM","Eng 093a9 Placement"
"ACIM","Eng 093a9 Plcmt-Nec"
"ACIM","Eng 0w000 Placement"
"ACIM","Eng 0w000 Plcmt-Nec"
"ACIM","Eng 0w000/00r00 Plct"
"ACIM","Eng 0w000/00r00-Nec"
"ACIM","Esl 00700 Plcmt-Nec"
"ACIM","Esl 00700/Advsr Plct"
"ACIM","Esl 00900 Plcmt-Nec"
"ACIM","Esl 00900/Advsr Plct"
"ACIM","Esl 09100/Advsr Plct"
"ACIM","Esl 091a7 Plcmt-Nec"
"ACIM","Ma Plcmt 4/Higher ??"
"ACIM","Mat 00700/00900 Plct"
"ACIM","Mat 0b300 Placement"
"ACIM","Mat 0b3a0 Placement"
