"cuny_subject","short_title"
"ACCT","Accounting 1 Part 1"
"ACCT","Accounting 1 Part 2"
"ACCT","Accounting I Part I"
"ACCT","Accounting I Part II"
"ACCT","Accounts Receivable Financing"
"ACCT","Acct Apl Micro"
"ACCT","Acct Apl Microcomptr"
"ACCT","Administrative Law"
"ACCT","Advanced Tour Planning"
"ACCT","Airline Res Computer"
"ACCT","Airline Reserv 1"
"ACCT","Bankruptcy Law"
"ACCT","Basic Tour Planning"
"ACCT","Basics of Advertising"
"ACCT","Bus Internship"
"ACCT","Business Communications"
"ACCT","Business Law I"
"ACCT","Business Law II"
"ACCT","C-Print I"
"ACCT","C-Print II"
"ACCT","Civil Litigation"
"ACCT","Comp Apps For Paras"
"ACCT","Comp Med Info Mgmt"
"ACCT","Computer Apps Para"
"ACCT","Cost Accounting"
"ACCT","Cost Accounting 2"
"ACCT","Cost Accounting I"
"ACCT","Cost Accounting II"
"ACCT","Criminal Law and Procedure"
"ACCT","Customer Service and Sales"
"ACCT","Ed Prob Sch Sec 1"
"ACCT","Ed Prob Sch Sec 2"
"ACCT","Electronic Office Procedures"
"ACCT","Entrepreneurial Financing"
"ACCT","Essential Computer Skills"
"ACCT","Family Law"
"ACCT","Financial Statement Analysis"
"ACCT","Global Marketing"
"ACCT","Immigration Law"
"ACCT","Independent Study"
"ACCT","Individ Income Tax"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting II"
"ACCT","Internal Auditing"
"ACCT","International Finance"
"ACCT","Intro Credit Mangt"
"ACCT","Intro Para Legal"
"ACCT","Intro Trvl.Tour.Hosp"
"ACCT","Introduction To Business"
"ACCT","Introduction to Business"
"ACCT","Introduction to E-Business"
"ACCT","Int’L Trade Document"
"ACCT","Keyboarding I"
"ACCT","Keyboarding II"
"ACCT","Keyboarding III"
"ACCT","Law Of Busn Enterp"
"ACCT","Law Office Mgt"
"ACCT","Leg Dic&Trans II Mac"
"ACCT","Leg Dic&Trans II Pit"
"ACCT","Leg Dict&Trans I Gr"
"ACCT","Leg Dict&Trans I Mac"
"ACCT","Leg Dict&Trans I Pit"
"ACCT","Leg Dict&Trans II Gr"
"ACCT","Legal Office Tech I"
"ACCT","Legal Office Tech II"
"ACCT","Legal Research and Writing"
"ACCT","Marketing on the Internet"
"ACCT","New Busi Ventures"
"ACCT","Office&Personnel Mgt"
"ACCT","Org&Oper A Small Bus"
"ACCT","Personnel Admin"
"ACCT","Prin Account 1 Pt 1"
"ACCT","Prin Account 1 Pt 2"
"ACCT","Prin Accounting 1"
"ACCT","Prin Accounting 2"
"ACCT","Prin Of Insurance"
"ACCT","Prin Of Int’L Bus"
"ACCT","Principles Of Accounting 3"
"ACCT","Principles of Accounting I"
"ACCT","Principles of Accounting II"
"ACCT","Principles of Finance"
"ACCT","Principles of Management"
"ACCT","Principles of Marketing"
"ACCT","Principles of Personal Selling"
"ACCT","Principles of Real Estate"
"ACCT","Real Estate Law for Paralegals"
"ACCT","Sch Records&Accounts"
"ACCT","Steno I Gregg"
"ACCT","Steno I Machine"
"ACCT","Steno II Gregg"
"ACCT","Steno II Machine"
"ACCT","Steno III ABC"
"ACCT","Steno III Gregg"
"ACCT","Steno III Machine"
"ACCT","Steno III Pitman"
"ACCT","Term Med Off Person"
"ACCT","Trav @ Tour Ind /Stu"
"ACCT","Trav Tour Hosp Law"
"ACCT","Trav Tour Hosp Mktg"
"ACCT","Trav Tr Hosp Tech Sy"
"ACCT","Urb Sty-Profile Bus"
"ACCT","Wills, Trusts and Estates"
"ACCT","Word Processing I"
"ACCT","Word Processing II"
"ACCT","Wrld Trvl & Tour Des"
"ACIM","Academy Cluster"
"ACIM","Bus/Tech Academy"
"ACIM","Business Academy"
"ACIM","Coop Educ Ext-Day"
"ACIM","Liberal Arts Academy"
"ACIM","Writ. Act Prep Intsv"
"ADVI","C.A.S.P. Adv Meet"
"ADVI","College Discovery Orientation"
"ADVI","My First Day-Orientation"
"AMSL","ASL Fingerspelling I"
"AMSL","ASL Fingerspelling II"
"AMSL","American Sign Language 1"
"AMSL","American Sign Language 2"
"AMSL","American Sign Language 3"
"AMSL","American Sign Language 4"
"AMSL","Sign Language Linguistics"
"ARAB","Arab Cinema"
"ARAB","Arab Lit Trans"
"ARAB","Arabic for Heritage Speakers"
"ARAB","Elementary Arabic I"
"ARAB","Elementary Arabic II"
"ARAB","Intermediate Arabic"
"ARAB","Intermediate Arabic 2"
"ARAB","Modern Arabic Literature"
"ARCO","Acting I"
"ARCO","Acting II"
"ARCO","American Film"
"ARCO","American Film Comedy"
"ARCO","Argumentation and Debate"
"ARCO","Art of Theatre"
"ARCO","Comm Non-Native Spkr"
"ARCO","Communication Theory"
"ARCO","Communication and Technology"
"ARCO","Coop Child"
"ARCO","Creative Drama"
"ARCO","Directing for the Stage"
"ARCO","Exp Learn Comm Std"
"ARCO","Film and the Supernatural"
"ARCO","Gender and Communication"
"ARCO","Group Comm."
"ARCO","Health Communication"
"ARCO","Indep Stdy Comm Skills"
"ARCO","Interpersonal Communication"
"ARCO","Intro to Comm"
"ARCO","Introduction to Broadcasting"
"ARCO","Introduction to Media Literacy"
"ARCO","Language Application Workshop"
"ARCO","Literature and Film"
"ARCO","Mass Communication"
"ARCO","Non-Verbal Communication"
"ARCO","Normal Language Development"
"ARCO","Oral Interpretation"
"ARCO","Organizational Communication"
"ARCO","Persuasion"
"ARCO","Phonetics"
"ARCO","Postproduction"
"ARCO","Prin Comm Non-Native"
"ARCO","Professional Communication"
"ARCO","Public Relations"
"ARCO","Public Relations Campaign"
"ARCO","Public Relations Writing"
"ARCO","Public Speaking"
"ARCO","Race and Communication"
"ARCO","Screenwriting"
"ARCO","Small Group Communication"
"ARCO","Spch/Lang/Hear Dsord"
"ARCO","Sports Communication"
"ARCO","The Art of Film"
"ARCO","Theater Profession"
"ARCO","Theatre Production Workshop"
"ARCO","Theatre as Communication"
"ARCO","Video Production Workshop"
"ARCO","Video Production Workshop II"
"ARCO","Voice and Diction"
"ART","2-D Design"
"ART","21st Century Photography"
"ART","Advanced Drawing"
"ART","Alternative Photography"
"ART","Art & Design Wkshp."
"ART","Art Hist Ptr To Goth"
"ART","Art Hist Ren To Mod"
"ART","Art In New York"
"ART","Art and Design Seminar"
"ART","Art of the Twentieth Century"
"ART","Art: Independent Study"
"ART","Beginning Drawing"
"ART","Beginning Painting"
"ART","Beginning Photography"
"ART","Beginning Printmaking"
"ART","Beginning Sculpture"
"ART","CAID"
"ART","Color Darkroom Techniques"
"ART","Color Photography"
"ART","Color Theory"
"ART","Comm Photo Workshop"
"ART","Commercial Photography Seminar"
"ART","Computer Art II"
"ART","Computer Art III"
"ART","Digital Photography I"
"ART","Digital Photography II"
"ART","Digital Prototyping"
"ART","Dominican Arts and Culture"
"ART","Exp Learn FA"
"ART","Exp Learn Photo"
"ART","FYS Fine Arts"
"ART","Form and Structure"
"ART","Graphic Narrative"
"ART","History of Design"
"ART","History of Illustration"
"ART","History of Photography"
"ART","Illustration"
"ART","Independent Study Art"
"ART","Industrial Design Capstone"
"ART","Industrial Design Drawing"
"ART","Industrial Design Studio I"
"ART","Industrial Design Studio II"
"ART","Interm Sculpture"
"ART","Intermediate Drawing"
"ART","Intermediate Painting"
"ART","Intermediate Photography"
"ART","Intermediate Sculpture"
"ART","Introduction to African Art"
"ART","Introduction to Art"
"ART","Introduction to Computer Art"
"ART","Introduction to Design"
"ART","Introduction to Woodworking"
"ART","Introduction to Workshop"
"ART","Latin American Art"
"ART","Life Drawing"
"ART","Manufacturing P & M"
"ART","Modelmaking"
"ART","Photography"
"ART","Renaissance Art"
"ART","Solidworks Essentials"
"ART","Studio Lighting"
"ART","Studio Lighting II"
"ART","The Art of Eastern Asia"
"ART","The View Camera"
"ART","Three Dimensional Design"
"ASAP","ASAP Career Seminar"
"ASAP","ASAP Leadership Seminar"
"ASAP","ASAP Winter Institute"
"BENG","Bengali for Heritage Students"
"BENG","Elementary Bengali 2"
"BENG","Elementary Bengali I"
"BENG","Intermediate Bengali"
"BENG","Modern Bengali Literature"
"BILI","Biling Lang Arts"
"BILI","Bilingual Child"
"BILI","Prin & Prac/Bilng Ed"
"BIOL","Biological Drawing"
"BIOL","Biotechnology I"
"BIOL","Cell Biology"
"BIOL","Ecology"
"BIOL","Food Microbiology"
"BIOL","Fund of Bio 1"
"BIOL","Fund of Bio 2"
"BIOL","Fundamentals of Biotechniques"
"BIOL","Fundamentals of Human Biology"
"BIOL","General Biology Elective"
"BIOL","General Biology I"
"BIOL","General Biology II"
"BIOL","General Microbiology"
"BIOL","Human Anatomy & Physiology 1"
"BIOL","Human Anatomy & Physiology 2"
"BIOL","Human Biology"
"BIOL","Indep Study Physiology"
"BIOL","Introduction to Neuroscience"
"BIOL","Molecular Biology"
"BIOL","Principles of Biology"
"BIOL","Principles of Botany"
"BIOL","Topics in Biological Sciences"
"BIOL","Vert Anat & Phys 1"
"BIOL","Vert Anat & Phys II"
"BIOL","Vertebrate Evolution"
"BUAV","Intro Aviation Bus"
"BUAV","Intro Aviation Mgmt"
"BUAV","Intro Aviation Oper"
"BUIN","B & T Internship Ex"
"BUIN","Business Internship"
"BUIN","Business Internship II"
"BUIN","People, Work and Organizations"
"BUIN","S/A Internship"
"BUMA","Admn. Assnt. Elective"
"BUMA","Bus Org & Mngmt"
"BUMA","Business Admin & Mngmt"
"BUMA","ORG Small Business"
"BUMA","Office & Personnel MNGMT"
"BUMA","Principles of Insurance"
"BUMA","Salesmanship"
"BUSI","Afro American Literature"
"BUSI","Basic Income TAX Proc Bus Tax"
"BUSI","Bus Communications"
"BUSI","Business Law"
"BUSI","Business Law II"
"BUSI","Business and Technology"
"BUSI","Childrens Literature"
"BUSI","Ed Pro Scse"
"BUSI","Elem Typing"
"BUSI","FYS Natural Sciences"
"BUSI","First Year Sem NS"
"BUSI","First Yr Seminar Bus"
"BUSI","Fundamental Writing"
"BUSI","Images Of Women In Lit"
"BUSI","Internt 2.0 & Beyond"
"BUSI","Intro to Word Processing"
"BUSI","Introduction to Business"
"BUSI","Int’L Business"
"BUSI","Lce 299"
"BUSI","Legal Stenography I, Pitman"
"BUSI","Legal Stenography, Pitman"
"BUSI","Legal Vocabulary I"
"BUSI","Literature Of The City"
"BUSI","Personal Selling"
"BUSI","Principles of Accounting I"
"BUSI","Principles of Finance"
"BUSI","Principles of Real Estate"
"BUSI","Short Story"
"BUSI","Stenography 1, gregg"
"BUSI","Stenography II, Machine"
"BUSI","Stenography III, Abc"
"BUSI","Stenography III, Pitman"
"BUSI","Stenography Ii, Abc"
"BUSI","Stenography Iii, Machine"
"BUSI","The Poetic Experience"
"BUSI","Topics In Media Lab"
"BUSI","Transcription I"
"BUSI","Transcription II"
"BUSI","Typing III"
"BUSI","Voices Women"
"BUSI","Writing & Literature"
"BUSI","Writing For Business"
"CADE","Career Development Seminar"
"CADE","Freshman Seminar"
"CFMA","College Focus Mathematics"
"CFRW","College Focus ELA"
"CHEM","Biological Chemistry"
"CHEM","Chemistry of Photography"
"CHEM","Foundations of Chemistry"
"CHEM","Fundamentals of Chemistry 1"
"CHEM","Fundamentals of Chemistry 2"
"CHEM","General Chemistry I"
"CHEM","General Chemistry II"
"CHEM","Introduction to Chemistry"
"CHEM","Organic Chemistry I"
"CHEM","Organic Chemistry II"
"CHEM","Scc 196"
"CHEM","Topics in Chemistry"
"CHIN","Chinese Hrtg Speak II"
"CHIN","Chinese Lit Trans"
"CHIN","Chinese for Community Wellness"
"CHIN","Chinese for Heritage Students"
"CHIN","Classic Chinese Literature"
"CHIN","Cont Chinese Lit"
"CHIN","Elementary Modern Chinese I"
"CHIN","Elementary Modern Chinese II"
"CHIN","Int Elem Chinese 1&2"
"CHIN","Intermediate Chinese"
"CHIN","Intermediate Chinese 2"
"CHIN","Modern Chinese Literature"
"CMIS","Adv Database"
"CMIS","Advanced Network Sec"
"CMIS","Advanced Unix"
"CMIS","Advanced Unix Sys Ad"
"CMIS","Advanced Window Nt"
"CMIS","Assemb Lang Comp Sci"
"CMIS","Assembler Programing Language"
"CMIS","C/C++ Programming"
"CMIS","Cics With Cobol"
"CMIS","Cis Indepedent Study"
"CMIS","Comp Electronics 2"
"CMIS","Comparative Operating Systems"
"CMIS","Comput Interfacing"
"CMIS","Comput Project Lab"
"CMIS","Computer Architecture"
"CMIS","Computer Electronics I"
"CMIS","Computer Electronics II"
"CMIS","Computer Forensics"
"CMIS","Computer Graphics"
"CMIS","Computer Logic 1"
"CMIS","Computer Logic 2"
"CMIS","Computer Repair"
"CMIS","Computer Topics 2"
"CMIS","Computers and Society"
"CMIS","Data Advanced Topics"
"CMIS","Data Base Applications"
"CMIS","Data Center Oper"
"CMIS","Data Communications"
"CMIS","Data Structures"
"CMIS","Databases"
"CMIS","Dbase Concepts&Prog"
"CMIS","Decision Spport Sys"
"CMIS","Dynamic Web Development"
"CMIS","E-Commerce Technology"
"CMIS","Educational Computing"
"CMIS","Fortran Programming"
"CMIS","Global Info. Systems"
