"cuny_subject","short_title"
"LAW","1 Cr. Mat Fee"
"LAW","10 Cr. Mat Fee"
"LAW","11 Cr. Mat Fee"
"LAW","2 Cr. Mat Fee"
"LAW","3 Cr. Mat Fee"
"LAW","4 Cr. Mat Fee"
"LAW","5 Cr. Mat Fee"
"LAW","6 Cr. Mat Fee"
"LAW","7 Cr. Mat Fee"
"LAW","8 Cr. Mat Fee"
"LAW","9 Cr. Mat Fee"
"LAW","Academic Legal Writing"
"LAW","Adv Environmntl Law"
"LAW","Adv Torts: Med Malpr"
"LAW","Adv. Civil Procedure"
"LAW","Adv. Criminal Law"
"LAW","Adv. Criminal Proced"
"LAW","Adv. First Amendment"
"LAW","Advanced Civil Procedure"
"LAW","Advanced Clinical"
"LAW","Advanced Evidence"
"LAW","Advanced Family Law"
"LAW","Advanced Legal Research"
"LAW","Advanced Mediation"
"LAW","Advanced Property"
"LAW","Advanced Torts"
"LAW","Advanced Trial Practice"
"LAW","Anti-Discrimination Law"
"LAW","Antitrust Law"
"LAW","Applied Legal Analysis"
"LAW","Bankruptcy"
"LAW","Business Associations"
"LAW","CED Housing Clinic"
"LAW","CLEAR Clinic"
"LAW","CLEAR Clinic Plenary"
"LAW","Cap Pun & the Courts"
"LAW","Citizenship"
"LAW","Civ Rights 21st Cent-Externsh"
"LAW","Civil Disobed: Theory & Pract"
"LAW","Civil Procedure"
"LAW","Civil Process & Profes Respons"
"LAW","Civil Rights Survey"
"LAW","Com Tops In Leg Anal"
"LAW","Commercial Law"
"LAW","Commun Economic Dev"
"LAW","Comp Aspects of Cons"
"LAW","Comp Hlth Care Liab"
"LAW","Comp Hlth Care Regul"
"LAW","Comparative Law"
"LAW","Computer Crimes"
"LAW","Con. Preventn & Com"
"LAW","Const & Foreign Affr"
"LAW","Constitution & Foreign Affairs"
"LAW","Constitutional Law"
"LAW","Constitutional Structures"
"LAW","Contemplative Practice"
"LAW","Contract Law  Market Economy I"
"LAW","Contracts"
"LAW","Contracts: LME II"
