"cuny_subject","short_title"
"ACCT","Accounting for the S.E.C"
"ACCT","Advanced Accounting"
"ACCT","Advanced Accounting Problems"
"ACCT","Advanced Accounting Theory"
"ACCT","Advanced Auditing"
"ACCT","Advanced Taxation"
"ACCT","Analysis Fin.Statements"
"ACCT","Auditing"
"ACCT","Computer-Based Accounting"
"ACCT","Cost Accounting I"
"ACCT","Cost Accounting II"
"ACCT","Emerging Business Tech Trends"
"ACCT","Estate and Gift Taxation"
"ACCT","Financial Accounting Theory"
"ACCT","Forensic Accounting"
"ACCT","Graduate Seminar in Accounting"
"ACCT","Honors Project in Accounting"
"ACCT","Indep Grad Stdy in Acct"
"ACCT","Indep Study Accting"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting II"
"ACCT","Internship in Accounting"
"ACCT","Intro Federal Taxatn"
"ACCT","Intro to Acc Non-Acc Majors"
"ACCT","Introduction to Blockchain"
"ACCT","Introduction to Cryptocurrency"
"ACCT","Nonprofit & International Acc"
"ACCT","Principles of Accounting I"
"ACCT","Principles of Accounting II"
"ACCT","Taxation of Business Entities"
"AFST","Afr-Amer In Pol Syst"
"AFST","Afr.Am.Relig Mvmt-Us"
"AFST","Africa in Cinema"
"AFST","African & African American Stu"
"AFST","African American Art"
"AFST","African American Autobiography"
"AFST","African American Families"
"AFST","African American Media"
"AFST","African American Poetry"
"AFST","African American Psychology"
"AFST","African American Theatre"
"AFST","African American Women Writers"
"AFST","African Americans and the Law"
"AFST","African Americans in Cinema"
"AFST","African Art"
"AFST","African Civilizations"
"AFST","African History"
"AFST","African Languages"
"AFST","African Literature"
"AFST","African Philosophical Thought"
"AFST","African Women Writers"
"AFST","African-American Literature"
"AFST","Afrofuturism"
"AFST","Ancient Egypt (KMT)"
"AFST","Black Brazil"
"AFST","Black Feminisms"
"AFST","Black Nationalism"
"AFST","Black Panther Women&Gender Pol"
"AFST","Black Women in American Societ"
"AFST","Caribbean In Wld Pol"
"AFST","Caribbean Societies"
"AFST","Community Organization"
"AFST","Contemporary Black Music"
"AFST","Contemporary Urban Community"
"AFST","Fieldwk-Afr.Am.Commu"
"AFST","Fieldwork in Africa"
"AFST","Globalization and Africa"
"AFST","Haitian-Dominican Border"
"AFST","His of Africa 1800-Pres"
"AFST","History of Africa to 1800"
"AFST","History of African Amer Women"
"AFST","History of African American Ed"
"AFST","History of African Americans"
"AFST","Honors Project"
"AFST","Intro Comm Dev&Plan"
"AFST","Intro to African Philosophy"
"AFST","Lit African Diaspora Latin Ame"
"AFST","Lit of Caribbean & Diaspora"
"AFST","Lit of Eng.&Franc. Caribbean"
"AFST","Lits Africa & African Diaspora"
"AFST","Music of the Caribbean"
"AFST","Prison Narratives"
"AFST","Race and Ethnicity in Society"
"AFST","Research Methods"
"AFST","Sem-Afr. His,Pol&Soc"
"AFST","Sem-Slavery New Wrld"
"AFST","Soc & Cultures of Africa"
"AFST","The African-American Economy"
"AFST","The City in Africa"
"AFST","The Civil Rights Movement"
"AFST","The Economics of Poverty"
"AFST","The Harlem Renaissance"
"AFST","Topics in Africana Studies"
"AFST","Tops: Afro Amer Hist & Culture"
"AFST","Tops:Afric His&Poltc"
"AFST","Tops:Carib His,Pol&C"
"AFST","Tutor Afric American"
"AFST","Women in African Society"
"AMST","Amer Cul:Val & Trad"
"AMST","Amer Stdy-Meth/Matls"
"AMST","American Culture-Value&Tradit"
"AMST","American Studies Seminar"
"AMST","Contrib To Amer Stdy"
"AMST","Independent Study"
"AMST","Spec Tops in Amer Studies"
"ANCU","200-300 Level Electives"
"ANCU","Anc Comedy Eng Trans"
"ANCU","Classic Myth & Human Condition"
"ANCU","Clssc Myth&Humn Cond"
"ANCU","English Usage of Latin & Greek"
"ANCU","Greek Daily Life"
"ANCU","Grk & Rom Epic In Eng Trans"
"ANCU","Grk Archlgy Classical Period"
"ANCU","Grk Lit In Translatn"
"ANCU","Grk Rom Trgdy In Eng"
"ANCU","His Biography As Lit"
"ANCU","Intr Grk & Roman Cul"
"ANCU","Literature of Ancient Science"
"ANCU","Philosophy before Socrates"
"ANCU","Rom Lit In Translatn"
"ANCU","Roman Archaeology & Topography"
"ANCU","Roman Daily Life"
"ANCU","The Ancient Romance"
"ANCU","Topics in Ancient Culture"
"ANCU","Tutorial in Ancient Culture"
"ANCU","Vocab Medical & Sci Term"
"ANCU","Women in Antiquity"
"ANTH","Advanced Ethnology"
"ANTH","Advanced Sem Anthropology"
"ANTH","African Archaeology"
"ANTH","Anc Peoples&Culture"
"ANTH","Ancient Peoples & Culture"
"ANTH","Ancient Peoples and Cultures"
"ANTH","Anlyzg Ant Data Quan"
"ANTH","Anth Theory & Method I"
"ANTH","Anth Theory & Method II"
"ANTH","Anthro Of Pol & Law"
"ANTH","Anthro Prspctvs: Women & Men"
"ANTH","Anthro of Complex Societies"
"ANTH","Anthropological Linguistics"
"ANTH","Anthropology & the Museum"
"ANTH","Anthropology and Education"
"ANTH","Anthropology and Human Rights"
"ANTH","Anthropology of Cities"
"ANTH","Archaeolgy South-Wstrn N Amer"
"ANTH","Archaeology of Asia"
"ANTH","Archaeology of the Near East"
"ANTH","Comp Stdy Pr Culture"
"ANTH","Cultural Anthropology"
"ANTH","Culture Change"
"ANTH","Dyn of Cult Chng Glob Context"
"ANTH","Early Civ-S Am&Carib"
"ANTH","Early Civ: Mexico/Central Amer"
"ANTH","Early Soc&Cul N Amer"
"ANTH","Ecol& Politcs-Hunger"
"ANTH","Economic Anthropology"
"ANTH","Emergnce Anc Civlztn"
"ANTH","Ethno India/Pak/Afgn"
"ANTH","Ethnology of Selected Areas"
"ANTH","Evolution of the Primates"
"ANTH","Excavation of Lehman Site"
"ANTH","Excavatn Lehman Site"
"ANTH","Field & Lab Research in Archae"
"ANTH","Fld Tech-Anth Lingui"
"ANTH","Folklore and Oral Traditions"
"ANTH","Forensic Anthropology"
"ANTH","Human Evolutionary Biology"
"ANTH","Human Genetics"
"ANTH","Human Origins"
"ANTH","Human Osteology"
"ANTH","Human Variation"
"ANTH","Humans and the Environment"
"ANTH","Images of Culture"
"ANTH","Indep Res-Anthropol"
"ANTH","Inequalty Cross-Cult Perspect"
"ANTH","Intrnshp Humn Rights & Peace"
"ANTH","Intro To Cult Anthro"
"ANTH","Intro to Human Evolution"
"ANTH","Introd to Human Variation"
"ANTH","Kinship & Social Org"
"ANTH","Language and Culture"
"ANTH","Language, Culture, and Society"
"ANTH","Medical Anthropology"
"ANTH","Method & Theory Archaeology"
"ANTH","Mind and Culture"
"ANTH","Music and Culture"
"ANTH","North American Indian Art"
"ANTH","Peoples And Cultures"
"ANTH","Prehis&Cntmp Subsist"
"ANTH","Primate Behavior and Ecology"
"ANTH","Principles of Anthropology"
"ANTH","Race&Ethn-Lat Am&Car"
"ANTH","Religion: Anthro Perspective"
"ANTH","Scty&Cult - Mideast"
"ANTH","Scty&Cult - Se Asia"
"ANTH","Scty&Cult Of E Asia"
"ANTH","Sel Stds in Soc & Cults-India"
"ANTH","Select Stds Soc & Cultures"
"ANTH","Sem Sel Prb Phys Ant"
"ANTH","Sem Sel Prob Cul Ant"
"ANTH","Sem-Slct Prob Archlg"
"ANTH","Seminar in Field Methods"
"ANTH","Society & Culture - Latin Amer"
"ANTH","Society & Culture of Oceania"
"ANTH","Society and Culture in Europe"
"ANTH","Socty&Culture-Africa"
"ANTH","Spe Top: Humn Rts & Peace Stds"
"ANTH","Survey of Forensic Science"
"ANTH","The Anthropology of Growth"
"ANTH","The Anthropology of Literacy"
"ANTH","The Anthropology of Media"
"ANTH","The Archaeology of Europe"
"ANTH","The Italian-American Community"
"ANTH","Topics in Anthropology"
"ANTH","Uncovering Culture-Early NYC"
"ANTH","Women & Men: Anthro Persp"
"ANTH","Women In Latin Amer"
"ANTH","Women in Latin America"
"ANTH","Women&Men:Anth Persp"
"ARAB","Adv Foreign Language Study"
"ARAB","Advanced Arabic I"
"ARAB","Advanced Arabic II"
"ARAB","Elementary Arabic I"
"ARAB","Elementary Arabic II"
"ARAB","Elementary Arabic III"
"ARAB","Int.Foreignlang Stud"
"ARAB","Intermediate Arabic I"
"ARAB","Intermediate Arabic II"
"ART","2D Design for Digital Media"
"ART","Adv 2d Des-Digtl Med"
"ART","Adv Ceramics III"
"ART","Adv Digital Media 1"
"ART","Adv Digital Media 2"
"ART","Adv Digital Media 4"
"ART","Adv Digital Media III"
"ART","Advanced 2-Dimensional Design"
"ART","Advanced Black-and-White Photo"
"ART","Advanced Ceramic Techniques"
"ART","Advanced Ceramics 1"
"ART","Advanced Ceramics 2"
"ART","Advanced Design"
"ART","Advanced Drawing"
"ART","Advanced Drawing for Animation"
"ART","Advanced Life Drawing"
"ART","Advanced Painting"
"ART","Advanced Painting I"
"ART","Advanced Painting II"
"ART","Advanced Painting III"
"ART","Advanced Painting IV"
"ART","Advanced Photography I"
"ART","Advanced Photography II"
"ART","Advanced Printmaking I"
"ART","Advanced Printmaking II"
"ART","Advanced Printmaking III"
"ART","Advanced Printmaking IV"
"ART","Advanced Printmaking Workshop"
"ART","Advanced Problems in Design I"
"ART","Advanced Problems in Design II"
"ART","Advanced Sculpture"
"ART","Advanced Sculpture I"
"ART","Advanced Sculpture II"
"ART","Advanced Sculpture III"
"ART","Advanced Sculpture IV"
"ART","Advanced Stop Motion Animation"
"ART","Advanced Watercolor"
"ART","App.Imag&Applic-Wwwi"
"ART","Applied Imaging&App to WWW II"
