"cuny_subject","short_title"
"ACCT","Accounting Information Systems"
"ACCT","Acct 217 Workshop"
"ACCT","Acctg Appl.Microcomp"
"ACCT","Adva Fin Acct"
"ACCT","Advanced Accounting I"
"ACCT","Advanced Accounting II"
"ACCT","Auditing"
"ACCT","Auditing Ii"
"ACCT","Contem Acct"
"ACCT","Contemporary Accounting"
"ACCT","Cost Accounting I"
"ACCT","Cost Accounting II"
"ACCT","Cost Acct."
"ACCT","Enrolled Agent"
"ACCT","Ethics: Professional Accntants"
"ACCT","Federal Taxation I"
"ACCT","Federal Taxation II"
"ACCT","Finance Accounting I"
"ACCT","Forensic Accounting"
"ACCT","Foundations Of Cis"
"ACCT","Independent Study"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting II"
"ACCT","Internship & Acctg Software"
"ACCT","Managerial Acct I"
"ACCT","Managerial Acct II"
"ACCT","Municipal Accounting"
"ACCT","Municipal Fund Acct"
"ACCT","Prin Of Aud"
"ACCT","Principles of Accounting I"
"ACCT","Principles of Accounting II"
"ACCT","Quantitative Measure"
"ACCT","Taxation"
"ACCT","Taxation Nyc"
"ACIM","Advanced Reading"
"ACIM","Advanced Writing"
"ACIM","Basic Reading"
"ACIM","Basic Writing"
"ACIM","Critical Literacy"
"ACIM","Developmental Semina"
"ACIM","Fund Manpower"
"ACIM","Info Systems Manpowe"
"ACIM","Intake Counseling"
"ACIM","Intake/Counselng Man"
"ACIM","Intro To Manpower"
"ACIM","Job Development"
"ACIM","Language Structure"
"ACIM","Manpower Planning I"
"ACIM","Manpower Planning II"
"ACIM","Problems In Manpower"
"ACIM","Study Center"
"AFST","Introduction to Africana World"
"AFST","Women in Africa and the Africa"
"ANTH","African Societies and Cultures"
"ANTH","Afro Amer Soc&Cult"
"ANTH","Anthropology & Imper"
"ANTH","Aspects Of Aging"
"ANTH","Intro Biological Anthropology"
"ANTH","Introduction to Anthropology"
"ANTH","Introduction to Archaeology"
"ANTH","Modernization Cultur"
"ANTH","Phys & Cult Evolutio"
"ANTH","Soc. & Cult. Latin-A"
"ANTH","The Anthropology of Latinx"
"ANTH","The Nature of Culture"
"ARAB","Arabic Language Lab"
"ARAB","Intro To The Arabic Language"
"ART","ADVERTISING GRAPHICS"
"ART","Advance Printmaking"
"ART","Advanced Ceramics"
"ART","Advanced Computer Graphics"
"ART","Advanced Printmaking"
"ART","Advertising Design"
"ART","African Art History"
"ART","Afro-American Art History"
"ART","Anct. Egypt Art/Cult"
"ART","Art Appreciation"
"ART","Art Club"
"ART","Art Education for Teachers"
"ART","Art History I"
"ART","Art History II"
"ART","Arts & Crafts"
