"cuny_subject","short_title"
"ACIM","Remedial Math"
"ACIM","Remedial Reading"
"ACIM","Remedial Writing"
"ANTH","Anthropology"
"ANTH","Anthropology of Health & Heal"
"ANTH","Cultures and Peoples of Asia"
"ANTH","North American Indians"
"ANTH","Peoples & Cultures of Caribbea"
"ANTH","Sex & Gendr In Cross-Cultural"
"ARAB","Elementary Arabic I"
"ARAB","Elementary Arabic II"
"ARAB","Intermediate Arabic I"
"ARCH","Advanced Architectrl Modeling"
"ARCH","Architectural Design I"
"ARCH","Architectural Design II"
"ARCH","Architectural Design III"
"ARCH","Building Technology I"
"ARCH","Building Technology II"
"ARCH","Environmental Systems"
"ARCH","Structures I"
"ARCH","Surveying and Site Planning"
"ARCH","Visualization I"
"ARCH","Visualization II"
"ART","Great Music"
"ARTH","American Art"
"ARTH","Art Curating"
"ARTH","Art Institutions & Business"
"ARTH","Contemporary Art"
"ARTH","Gallery Internship I"
"ARTH","Gallery Internship II"
"ARTH","History of African Arts"
"ARTH","History of Art I"
"ARTH","History of Art II"
"ARTH","History of Asian Art"
"ARTH","History of Graphic Design"
"ARTH","History of Photography"
"ARTH","Intro Gallery & Museum Studies"
"ARTH","Introductory Survey of Art"
"ARTH","Modern Art"
"ARTP","Advn Dsgn & Multimed"
"ARTP","Art Conservation"
"ARTP","Interior Design and Decoration"
"ARTS","Advanced Photographic Skills"
"ARTS","Art Methods for K-8 Curric I"
"ARTS","Art Methods for K-8 Curric II"
"ARTS","Artist Apprentice Internship I"
"ARTS","Artist Apprentice Internshp II"
"ARTS","Ceramics I"
"ARTS","Ceramics II"
"ARTS","Color Photography"
"ARTS","Color Theory"
"ARTS","Creating the Documentary Image"
"ARTS","Design for Motion Graphics"
"ARTS","Digital Animation"
"ARTS","Digital Design I"
"ARTS","Digital Design II"
"ARTS","Digital Imaging"
"ARTS","Digital Photography"
"ARTS","Drawing I"
"ARTS","Drawing II"
"ARTS","Illustration"
"ARTS","Illustration & Fashion Photo"
"ARTS","Introduction to Art Therapy"
"ARTS","Introduction to Photography"
"ARTS","Introduction to Video"
"ARTS","Lg Format & St Photography"
"ARTS","Painting I"
"ARTS","Painting II"
"ARTS","Painting III"
"ARTS","Photographing People"
"ARTS","Photography As Fine Art"
"ARTS","Portfolio Project Studio Art"
"ARTS","Printmaking II"
"ARTS","Printmaking: Intaglio"
"ARTS","Printmaking: Relief Stencil"
"ARTS","Sculpture"
"ARTS","Sculpture: Three Dmnsnl Dsgn"
"ARTS","Special Problems Studio Art I"
"ARTS","Special Problems Studio Art II"
"ARTS","Two-Dimensional Design"
"ASAP","ASAP Seminar I"
"ASAP","ASAP Seminar II"
"ASAP","ASAP Seminar III"
"BIOL","Anat& Physio 1 Lab"
"BIOL","Anat& Physio 2 Lab"
"BIOL","Anatomy and Physiology I"
"BIOL","Anatomy and Physiology II"
"BIOL","Applied Biostatistics"
"BIOL","Asst Med Off Lab"
"BIOL","Asst Medical Office: Clin Proc"
"BIOL","Asst Medical Office: Med Proc"
"BIOL","Bio Research Lab"
"BIOL","Bioinformatics/Comptationl Bio"
"BIOL","Biology Seminar"
"BIOL","Biotech Lab"
"BIOL","Biotechnology"
"BIOL","Cell Biology"
"BIOL","Clinical Chem Lab"
"BIOL","Coop Ed in Health Professions"
"BIOL","Current Environmental Issues"
"BIOL","Ecology"
"BIOL","Ekg Lab"
"BIOL","Electrocardiogram Technology"
"BIOL","Envirn Hea Sci Lb"
"BIOL","Environmental Health Science"
"BIOL","Environmental Lab"
"BIOL","Environmental Science"
"BIOL","Evolution and Man"
"BIOL","Field Exp in Medical Assisting"
"BIOL","Fld Exp Med Ass"
"BIOL","Foundations of Biology"
"BIOL","Foundations of Biology: Lab"
"BIOL","Fundamentals of Life Science"
"BIOL","Gen Biology 1 Lab"
"BIOL","Gen Biology 2 Lab"
"BIOL","General Biology I"
"BIOL","General Biology II"
"BIOL","General Epidemiology"
"BIOL","General Micro Lab"
"BIOL","General Microbiology"
"BIOL","Health Sciences Internship"
"BIOL","Hematlgy  Urin Lab"
"BIOL","Hematology and Urinalysis"
"BIOL","Human Anatomy"
"BIOL","Human Phsyolgy Lab"
"BIOL","Human Physiology"
"BIOL","Humn Anat Lb"
"BIOL","Immune Sys in Heath & Disease"
"BIOL","Intro Bio For Science Majors"
"BIOL","Intro to Biological Research"
"BIOL","Introduction to Human Biology"
"BIOL","Introduction to Public Health"
"BIOL","Kinesiology"
"BIOL","Kinesiology Lab"
"BIOL","Laboratory: Plants and People"
"BIOL","Medical Terminology"
"BIOL","Microbiology"
"BIOL","Microbiology Lab"
"BIOL","Myology"
"BIOL","Myology Lab"
"BIOL","Neurophysiology"
"BIOL","Org & Delivery of Health Care"
"BIOL","Pathophysiology"
"BIOL","Patient Care Coordination"
"BIOL","Pharmacology"
"BIOL","Phlebotomy Practice"
"BIOL","Phlebotomy Tch Lb"
"BIOL","Phlebotomy Technology"
"BIOL","Plants and People"
"BIOL","Prin Of Bio. Lab"
"BIOL","Principles Of Genetics"
"BIOL","Principles of Biology"
"BIOL","Principles of Endocrinology"
"BIOL","Prof Physician Asst"
"BIOL","Public Hea Sci Lb"
"BIOL","Public Health Biology"
"BIOL","Research Laboratory Internship"
"BUSI","Admin Office Procedures"
"BUSI","Advanced Microsoft Office"
"BUSI","Advn Type/Kyboard"
"BUSI","BU 500’s  -go to CIS courses"
"BUSI","Business Internships"
"BUSI","Business Law I"
"BUSI","Business Law II"
"BUSI","Business Mathematics"
"BUSI","Business Org & Management"
"BUSI","Business Prgm In C"
"BUSI","Business Wild Card"
"BUSI","Case St In Entrep"
"BUSI","Co-op Ed In Bus: OAT"
"BUSI","Cobol Programming"
"BUSI","Comp Applicatns in Accounting"
"BUSI","Consumer Behavior"
"BUSI","Coop Ed: Acct"
"BUSI","Coop Edu in Business:Mangment"
"BUSI","Coop Educ in Bus: CIS"
"BUSI","Corresponding in Digital World"
"BUSI","Cost Accounting"
"BUSI","Credit Management"
"BUSI","Ed Pro Of Sch Sec II"
"BUSI","Ed Pro Of Sch Seci"
"BUSI","Elements of Marketing"
"BUSI","Elements of Retailing"
"BUSI","Elements of Salesmanship"
"BUSI","Ent I:Start Your Own Business"
"BUSI","Ent II:Manage Bus"
"BUSI","Fund of Microsoft Windows"
"BUSI","Graphic Power Point"
"BUSI","Healthcare Info Management"
"BUSI","Income Taxation"
"BUSI","Insurance I"
"BUSI","Insurance II"
"BUSI","Integrated Marketing Comm"
"BUSI","Intermediate Accounting I"
"BUSI","Intermediate Accounting II"
"BUSI","International Trade"
"BUSI","Intro Manag’L Acct"
"BUSI","Investment Analysis"
"BUSI","Issues In Health Care Admin"
"BUSI","Legal Office Procedures"
"BUSI","Legal Shorthand (Gregg)"
"BUSI","Legal Shorthand (Pitman)"
"BUSI","Marketing Research"
"BUSI","Medical Coding and Billing I"
"BUSI","Medical Coding and Billing II"
"BUSI","Medical Office Procedures"
"BUSI","Personnel Management"
"BUSI","Prep For Mous Cert"
"BUSI","Principles of Accounting I"
"BUSI","Principles of Accounting II"
"BUSI","Principles of Auditing"
"BUSI","Principles of Finance"
"BUSI","Principles of Statistics"
"BUSI","Principles of Transportation"
"BUSI","Prof Bus Career Dev & Virt Off"
"BUSI","Projects in Data Processing"
"BUSI","Real Estate (Salesperson)"
"BUSI","Real Estate I"
"BUSI","Real Estate II"
"BUSI","School Records and Accounts"
"BUSI","Shorthand I (Gregg)"
"BUSI","Shorthand II"
"BUSI","Shorthand for Professional Off"
"BUSI","Syst Anal & Design"
"BUSI","Transcription & Dictation"
"BUSI","Transpt Law&Regul"
"BUSI","Typewriting/Keyboarding"
