"cuny_subject","short_title"
"ACCT","Accounting Information Systems"
"ACCT","Accounting for Financial Model"
"ACCT","Acct For Risk Mgmt"
"ACCT","Acct in International Envirnmt"
"ACCT","Adv Acct Info Systms"
"ACCT","Adv Auditing Theory"
"ACCT","Adv Fin Acct Theory"
"ACCT","Adv Stdy In Bus Law"
"ACCT","Advanced Accounting"
"ACCT","Advanced Accounting Problems"
"ACCT","Appl Dyn Fin Analysis"
"ACCT","Appl Fin Dyn Analy Model"
"ACCT","Auditing I"
"ACCT","Auditing II"
"ACCT","Business Law I"
"ACCT","Business Law II"
"ACCT","Business Law III"
"ACCT","Capstone"
"ACCT","Comm & Ethics for Acct"
"ACCT","Communic & Ethics"
"ACCT","Concepts of Managerial Acct"
"ACCT","Concpt Audit & Comp Audit"
"ACCT","Cost Accounting"
"ACCT","Cost Acct 1"
"ACCT","Cost Acct 2"
"ACCT","Data Analytics for Accountants"
"ACCT","Deferred Comp & Employee Benef"
"ACCT","Estate, Gifts & Trust Taxation"
"ACCT","Fed & NYS Taxes On Income"
"ACCT","Fed & Ny State Tax"
"ACCT","Fed & St Tax"
"ACCT","Fed Taxation of Business Ent"
"ACCT","Fin & Mgr Acct"
"ACCT","Fin Acct Thry& Prac-3"
"ACCT","Fin Acct Thry& Prc -1"
"ACCT","Fin Acct Thry&Prac-2"
"ACCT","Financial Statement Analysis"
"ACCT","Fixed Income Inst"
"ACCT","Gift and Estate Taxation"
"ACCT","Gov & Inst Acc"
"ACCT","Gov & Not for Profit Acct&Aud"
"ACCT","IRS Ethical Tax Prac & Proc"
"ACCT","Int Th & Pr 2"
"ACCT","Int Th & Pr Acc 2"
"ACCT","Int Th & Pr Acct 1"
"ACCT","Int Theory & Pract 1"
"ACCT","Intermediate Accounting II"
"ACCT","Intermediate Accounting l"
"ACCT","International Taxation"
"ACCT","Internship"
"ACCT","Intro Acct 1"
"ACCT","Intro Theo & Prac Acct II"
"ACCT","Intro Thry & Prac of Acct I"
"ACCT","Introduction to Business Law"
"ACCT","Issues In Mgmt Acct"
"ACCT","Microcomputer App"
"ACCT","Microcomputer Applications"
"ACCT","Public Interest Law"
"ACCT","Quant Techniq Pln & Ctrl"
"ACCT","Reorg, Liquidations & Consolid"
"ACCT","Risk Management"
"ACCT","Risk Measurement"
"ACCT","Risk Mgmt 706"
"ACCT","Risk Mgmt-Invest & Mrkt Risk"
"ACCT","Risk Trans To Fin Mkts"
"ACCT","Sem Adv Mngerial Acct Theory"
"ACCT","Seminar in Accounting"
"ACCT","Spec Prob Bus Law"
"ACCT","Special Problems"
"ACCT","Special Problems in Accounting"
"ACCT","State & Local Tax & Tax-Exempt"
"ACCT","Tax & Accounting Communication"
"ACCT","Taxation Partnership & S Corp"
"ACCT","Thry & Prac Acct 1"
"ACCT","Trust and Estate Accounting"
"AFST","Black Women Writers"
"AFST","Caribbean Literature"
"AFST","Courses in Africana Studies"
"AFST","Intro To Carib"
"AFST","Introduction to Black Cultures"
"AFST","Seminar in Africana Studies"
"AFST","Survey African Civ 1"
"AFST","Survey African Civ II"
"AFST","The Black Urban Experience"
"AMST","Advert & Am Cult"
"AMST","American Lives"
"AMST","An American Decade"
"AMST","Gender/Race/Eth/Clas"
"AMST","Intro Amer Soc/Cult"
"AMST","Intro Amer Soc/Culture"
"AMST","Intro Oral Hist"
"AMST","Myths & Ideology in U.S"
"AMST","Native American Hist & Culture"
"AMST","The Popular Arts in America"
"AMST","Us In Global Setting"
"AMST","Vt: Topics In Am Studies"
"AMST","Vt:Selected Topics"
"AMST","Vt:Sem Amer Studies"
"AMST","Writing Tutorial"
"AMST","Writing Workshop"
"ANTH","Antcomplitevil"
"ANTH","Anthro Education"
"ANTH","Anthro Theory"
"ANTH","Anthropology of Development"
"ANTH","Anthropology of Islam"
"ANTH","Anthropology of Memory"
"ANTH","Anthropology of Religion"
"ANTH","Arch New World"
"ANTH","Arch So America"
"ANTH","Archaeology of Europe"
"ANTH","Archaeology of Food"
"ANTH","Archaeology of Mesoamerica"
"ANTH","Archaeology of North America"
"ANTH","Archaeology of South America"
"ANTH","Archaeology of the Near East"
"ANTH","Archeol Method &Theory"
"ANTH","Archeology of Ireland"
"ANTH","Bio Human Disease"
"ANTH","Comp Stud Soc Ind"
"ANTH","Con Pple Cult Lam"
"ANTH","Contemporary Theory"
"ANTH","Cult Property, Heritage & Law"
"ANTH","Cultural Anthro"
