"cuny_subject","short_title"
"ANTH","Crit Issues Internatl Studies"
"ARAB","Intensive Elementary Arabic I"
"FILM","Selected Topics: Film Studies"
"FREN","Intermed Grammar & Comp"
"INTE","Approaches to Life Writing"
"JOUR","Adv Broadcast Prod Wkshp"
"JOUR","Advanced Coding the News"
"JOUR","Advanced Photography"
"JOUR","Advanced Photojournalism"
"JOUR","Advanced Reprting for Soc Jour"
"JOUR","Advanced Social Media"
"JOUR","Art of the Interview"
"JOUR","Arts & Entertainment Reporting"
"JOUR","Audience Engagement and Metric"
"JOUR","Audio Podcasting"
"JOUR","Broadcast Deadline"
"JOUR","Broadcast News Writing/Prod"
"JOUR","Broadcast/Non-Broadcast Majors"
"JOUR","Bus/Eco Rprtng II:Covering Com"
"JOUR","Bus/Eco Rprtng III:Wall Street"
"JOUR","Coding for Journalism"
"JOUR","Coding the News"
"JOUR","Community Engagement"
"JOUR","Community Practicum"
"JOUR","Covering City Govt & Politics"
"JOUR","Covering Culture/Age of Convrg"
"JOUR","Covering Latino Communities"
"JOUR","Covering Markets and Companies"
"JOUR","Covering NYC Economy&Business"
"JOUR","Covering NY’s Social Issues"
"JOUR","Covering the Economy"
"JOUR","Craft Journalism II-Broadcast"
"JOUR","Craft of Journalism"
"JOUR","Craft of Journalism I"
"JOUR","Craft of Journalism II"
"JOUR","Craft of Journalism-Spanish"
"JOUR","Craft2-Advan Interactive Repor"
"JOUR","Craft2-Advan Reporting Spanish"
"JOUR","Craft2-Advan Writing&Reporting"
"JOUR","Craft2-Advanced Video Reportin"
"JOUR","Creating InteractiveJournalism"
"JOUR","Criticism and the Arts"
"JOUR","Cross Cultural Reporting"
"JOUR","Cross-Cultural Reporting"
"JOUR","Cultural Issues"
"JOUR","Cultural Literacy"
"JOUR","Cultural Reporting"
"JOUR","Data Journalism"
"JOUR","Data Skills"
"JOUR","Data-driven Intractive Jrnlsm"
"JOUR","Design and Development"
"JOUR","Documentary Video"
"JOUR","Documentary Video Production"
