"cuny_subject","short_title"
"ACCT","Budgeting/Managerial Account"
"ACCT","Financial Accounting I"
"ACCT","Financial Accounting II"
"ACCT","Intro to Financial Mgmnt"
"AFST","Anthropology  of Africa"
"AMSL","American Sign Language I"
"AMSL","American Sign Language II"
"AMST","American History"
"ANTH","Introduction to Cultural Anth"
"ANTH","Urban Life & Culture"
"ARFI","Arts & Civilization I"
"ARFI","Arts & Civilization II"
"ARFI","Modern Art in the City"
"ARPE","Workplace & The Arts"
"ASTR","Introduction to Astronomy"
"ASTR","The Solar System"
"BIOL","Anatomy & Physiology I"
"BIOL","Anatomy and Physiology II"
"BIOL","Biology of the Human Body"
"BIOL","Diversity Of Fishes"
"BIOL","Ecology"
"BIOL","Evolution"
"BIOL","General Biology"
"BIOL","Genetics, Genomics, Genethics"
"BIOL","In Field - Spiders"
"BIOL","Link-Dinosaurs/Birds"
"BIOL","Marine Biology"
"BIOL","Pathophysiology & Pharmacology"
"BIOL","Sharks & Rays"
"BIOL","The Brain"
"BIOL","Tree of Life: Evolution"
"BUSI","Accounting Fundamentals"
"BUSI","Accounting for Bus Decisions"
"BUSI","Applied Business Research"
"BUSI","Aud Cntrl/Acct Failures"
"BUSI","Bus Law/Ethc DigItal Age"
"BUSI","Business Law I"
"BUSI","Business Law II"
"BUSI","Business Mathematics"
"BUSI","Business Policy"
"BUSI","Contemp Org Struct & Change"
"BUSI","Contemporary Accounting Topics"
"BUSI","Corp & Intnl Finance"
"BUSI","Corporation Finance"
"BUSI","Current Issues in Global Bus"
"BUSI","Econ For Bus Decisions"
"BUSI","Electronic Commerce"
"BUSI","Entreshp-Global Environment"
"BUSI","Essentials of Market Research"
"BUSI","Found Bus Statistics"
"BUSI","Glob Mgmt/Bus Policy"
"BUSI","Global Business"
"BUSI","Global Strategic Management"
"BUSI","Global Virt Enterprs"
"BUSI","Global Virtual Enterprise"
"BUSI","Great ideas in Business"
"BUSI","Human Resource Management"
"BUSI","International Trade"
"BUSI","Internship"
"BUSI","Introduction to Business"
"BUSI","Investments"
"BUSI","Knowledge & Info Systems"
"BUSI","Leadership Development"
"BUSI","Leading Groups and Teams"
"BUSI","Managerial Accounting"
"BUSI","Managerial Economics"
"BUSI","Managing Diversity/Glob Econ"
"BUSI","Negotiation & Conflct Resolutn"
"BUSI","New Media & Elec Commrce"
"BUSI","Operations Management"
"BUSI","Org Behavior & Leadership"
"BUSI","Principles of M I S"
"BUSI","Principles of Management"
"BUSI","Principles of Marketing"
"BUSI","Quantitative Decision-Making"
"BUSI","Real Estate Finance"
"BUSI","Research Methods for Business"
"BUSI","Risk Management"
"BUSI","Small Business Mgt & Entrep"
"BUSI","Special Topics in Business"
"BUSI","Strat Mktg & Soc Resp Practice"
"BUSI","Strategic Electronic Marketing"
"BUSI","Strategic Management"
"BUSI","Sustainability &Green Business"
"BUSI","Thesis"
"BUSI","Virtual Enterprise"
"BUSI","Workplace Values and Happiness"
"CHEM","General Chemistry"
"CHIN","Beginning Chinese I"
"CHIN","Beginning Chinese II"
"CMIS","Intro to Computers"
"CMLI","Cmptr Fundmntls & Applic"
"COMM","Advanced Mass Media Research"
"COMM","Advanced Research Methods"
"COMM","Anlz Org Strct/Chg"
"COMM","Comm & Cult Change"
"COMM","Comm & Cultr Change"
"COMM","Comm & Media Perspect Elect"
"COMM","Comm Theory & Web Design"
"COMM","Communication & Media Capstone"
"COMM","Communication-Cultural Change"
"COMM","Communications & Media"
"COMM","Communications and Media"
"COMM","Corporate Communication"
"COMM","Data Analytics & Visualization"
"COMM","Digital Storytelling"
"COMM","Effective Communication Online"
"COMM","Film History"
"COMM","Film and Television"
"COMM","Global Culture and Diversity"
"COMM","Independent Research"
"COMM","Independent Study"
"COMM","Intro Communications & Media"
"COMM","Intro to Research Methods"
"COMM","Introduction to Design"
"COMM","Ldshp: Org & Personal Vision"
"COMM","Leadership Multicult Workforce"
"COMM","Mass Media Ethics"
"COMM","Org Struct & Change"
"COMM","Personality & Cultur"
"COMM","Personality & Culture"
"COMM","Personality and Culture"
"COMM","Principles of Public Speaking"
"COMM","Research Methods I"
"COMM","Selected Topics"
"COMM","Senior Research Project"
"COMM","Social Media"
"COMM","Speaking & Listening"
"COMM","Studies in Mass Communication"
"COMM","Studies in Urbanization"
"COMM","The Mediated City"
"COMM","The Mediated Globe"
"COMM","Topics-Comm and Media"
"COMM","Visual Communication"
"COMM","Web Design"
"COMM","Writing for Digital Media"
"COPT","College Option"
"DANA","Adv Prog Techniques"
"DANA","Adv Programming Techniques"
"DANA","Adv Stat & Prob Models"
"DANA","Bus Desgn/Workflow"
"DANA","Business Analyt & Data Mining"
"DANA","Business Analytics"
"DANA","Computational Mathematics"
"DANA","Computer Forensics"
"DANA","Computer and Network Security"
"DANA","Current Topics Data Analytics"
"DANA","Data Acquisition & Management"
"DANA","Data Acquisition & Mgmt"
"DANA","Data Acquisition and Mgmt"
"DANA","Data Acquit & Mgmt"
"DANA","Data Analytics Internship"
"DANA","Data Explor & Outlier Analysis"
"DANA","Data Structures and Algorithms"
"DANA","Database Arch & Programming"
"DANA","E-Commerce for I S"
"DANA","Engr Math-Comp Syst"
"DANA","Enterprise Arch/Apps"
"DANA","Foundations of Info Systems"
"DANA","Fund Of Comp Math"
"DANA","Geographic Information Systems"
"DANA","Health Information Technology"
"DANA","Human-Computer Interaction"
"DANA","I S Special Topics"
"DANA","I S Strat/Mgmt/Acquistn"
"DANA","IT Infrastructure and Support"
"DANA","Independent Study"
"DANA","Information  Systems Capstone"
"DANA","Information and Systems"
"DANA","Introduction to Data Science"
"DANA","Knowledge and Visual Analytics"
"DANA","Logistics/Sup Chain Mgmt"
"DANA","Machine Learning and Big Data"
"DANA","Managerial Decision Analytics"
"DANA","Managing Innovation & Strategy"
"DANA","Master’s Research Project"
"DANA","Math Modeling"
"DANA","Math Modeling Techniques"
"DANA","Ntwks & Bus Data Comm"
"DANA","Predictive Analytics"
"DANA","Principles of Informatics"
"DANA","Project Management Concepts"
"DANA","Quantitative Finance"
"DANA","Recommender Systems"
"DANA","Research Methods"
"DANA","Research Project"
"DANA","Sim & Model Technqs"
"DANA","Simulation and Modeling Tech"
"DANA","Social Media"
"DANA","Software App Prog I"
"DANA","Software App Prog II"
"DANA","Stat & Probability"
"DANA","Statistics and Probability"
"DANA","Systems Analysis and Design"
"DANA","Technol For Sustain"
"DANA","Technologies-Sustainability"
"DANA","Technology for Sustainability"
"DANA","Top In Complx Sys Analys"
"DANA","Topics In Data Base Syst"
"DANA","Topics-Data Analytics"
"DANA","Urb Society & Sustain"
"DANA","Urb Sustain-Complx Sys"
"DANA","Urb Sustain-Transportation"
"DANA","Urban Complex Systems"
"DANA","Urban Sustain-Energy"
"DANA","Urban Sustainability: Energy"
"DANA","Urban Sustainability: Transpor"
"DANA","Web Analytics"
"DANA","Web Prog/Mobile App Devl"
"DILI","Digital Literacy"
"DILI","Writing at Work"
"DISB","Accom Outside Classrm"
"DISB","Accomdtns Outside Classroom"
"DISB","Aging And Disability"
"DISB","Aging and Disability"
"DISB","Asperger-Life Cycle"
"DISB","Assistive Technology"
"DISB","Asst Tech-Higher Educ"
"DISB","Autism In Young Peop"
"DISB","Autism Narratives"
"DISB","Autism Spectrum"
"DISB","Behav Hlth Counslng"
"DISB","Capstone"
"DISB","Capstone Course"
"DISB","Commun/Autism Spectrum"
"DISB","Community Mental Health"
"DISB","Crisis Intervention"
"DISB","Directed Fieldwork"
"DISB","Disab Srvcs Admin"
"DISB","Disab-Film & Lit"
"DISB","Disabil & Education"
"DISB","Disability & Family Life Cycle"
"DISB","Disability & the Health Prof"
"DISB","Disability And The Humanities"
"DISB","Disability History"
"DISB","Disability Law and Policy"
"DISB","Disability Narratives"
"DISB","Disability and Diversity"
"DISB","Disability and Embodiment"
"DISB","Disability and Employment"
"DISB","Disability and Families"
"DISB","Disability and Mass Media"
"DISB","Disability and Narrative"
"DISB","Disability and Society"
"DISB","Disability in History"
"DISB","Disability, Music and The Arts"
"DISB","Diversity and Disability"
"DISB","Dsab & Comp Religion"
"DISB","Dsab Evol/Eugenics"
"DISB","Dsab Support In Schs"
"DISB","Dual Diagnosis"
"DISB","Embodiment and Disability"
"DISB","Emerging Populations"
"DISB","Grantwriting Disability Progs"
"DISB","HE Disab Svcs Admin"
"DISB","Inclusion"
"DISB","Independent Study"
"DISB","Internship"
"DISB","Intro to Disability Studies"
"DISB","Intro to Residential Services"
"DISB","Law, Policy and Disability"
"DISB","Legal Aspects-Disability Svcs"
"DISB","Mad People’s History"
"DISB","Media & Disability"
"DISB","Mntl/Bhvr/Dvlmntl Dis"
"DISB","Neurodiverse Students in Col"
"DISB","Peer Wellness and Recovery"
"DISB","Person Center Plan"
"DISB","Psych Cult Polit Asp of Disab"
"DISB","Psych in the Cinema"
"DISB","Research Methods"
"DISB","Selected Topics"
"DISB","Senior Research Project"
"DISB","Special Topics"
"DISB","Students w DSAB in Higher Ed"
"DISB","Supp Studs Psych Disabilities"
"DISB","Support Chld/Adults w Disab"
"DISB","Support Stds on Col Campus"
"DISB","Tchng Strats & Behave Supports"
"DISB","Topics in Disability Services"
"DISB","Trans College-Employment"
"DISB","Transition and Adulthood"
"DISB","Trauma Brain Inj: Cause & Syst"
"DISB","Universal Design in Higher Edu"
"DISB","Using Assessments"
"DISB","War, Veterans, and Disability"
"DRAM","Drama- Special Ed Populations"
"DRAM","Lit, Drama, Writing"
"DRAM","Role Play - Classroom"
"DRAM","Teaching Thru Drama"
"EASC","Climate Change"
"EASC","Earth-Inside & Out"
"EASC","Ecology"
"EASC","Oceanography"
"EASC","The Nature of New York"
"EASC","The Ocean System Integ Science"
"EASC","Water: Environmental Science"
"ECON","Intro to the American Economy"
"ECON","Macroeconomics"
"ECON","Microeconomics"
"EDCD","Curric & Learn Environments"
"EDCD","Development Birth - 5 Years"
"EDCD","Observing Devel Young Chld"
"EDCD","Prog, Prof & Family Dynamics"
"EDEC","Assessment as an Administrator"
"EDEC","Budgets and Accounting"
"EDEC","Ethics/Professional Standards"
"EDEC","Expenses & Resources"
"EDEC","Financial Plan ECE"
"EDEC","Hlth/Safe/Nutr In ECE"
"EDEC","Legal Requirements / ECE Prgms"
"EDEC","Marketing ECEPrograms"
"EDEC","Organizational Management"
"EDEC","Personnel Management"
"EDEC","Program - Chldrn Special Needs"
"EDEC","Program for the Whole Child"
"EDEC","Program for the Whole Family"
"EDEC","Quality Mgmt Systems ECE"
"EDEC","Sem-Child Prg Adm"
"EDEC","Staff Development"
"EDEC","Supv of ECE Teachers"
"EDEC","Tech & Communication In ECE"
"EDUC","Adult Development"
"EDUC","Behavior Support- Disab Child"
"EDUC","Career and Life Planning"
"EDUC","Child Development In Schools"
"EDUC","Devl Prgms for Adult Learners"
"EDUC","Facilitating Adult Learning"
"EDUC","How Adults Learn"
"EDUC","Managing Conflict In Schools"
"EDUC","Phil/Cultr/Work - Educ"
"EDUC","Understanding How Adults Learn"
"ENGL","20th Cnt/Amer Wm Lit"
"ENGL","Advanced Composition"
"ENGL","Amer Lit - Workplace"
"ENGL","College Writing I"
"ENGL","College Writing II"
"ENGL","Contemporary World Literature"
"ENGL","Critical Thinking and Writing"
"ENGL","Folk & Fairy Tales"
"ENGL","Images of Women in Shakespeare"
"ENGL","Introduction to Literature"
"ENGL","Memior Writing"
"ENGL","Memoir Writing"
"ENGL","Professional Writing"
"ENGL","Science Fiction"
"ENGL","Special Topics"
"ENGL","World Literature"
"ENGL","Writ For New Media"
"ENGL","Writing Workshop"
"ENGL","Writing about Race"
"ENGL","Written Communication"
"FILM","Film Literacies"
"FILM","The American Workplace on Film"
"FINA","Consumer and Personal Finance"
"FREN","Francophne Cult Tday"
"GEOG","International Migration & Ethn"
"HEIM","Advanced Coding"
"HEIM","Advanced Topics HIM"
"HEIM","Capstone"
"HEIM","Clin Terms/Classif Systems"
