"cuny_subject","short_title"
"ACCT","Accounting Independent Study 2"
"ACCT","Accounting Independent Study 3"
"ACCT","Accounting Independent Study I"
"ACCT","Accounting Internship"
"ACCT","Adv Topics in Inter Audit"
"ACCT","Advanced Accounting Problems I"
"ACCT","Advanced Financial Accounting"
"ACCT","Advanced Fraud Examination"
"ACCT","Advanced Income Taxation"
"ACCT","Auditing I"
"ACCT","Auditing II"
"ACCT","Budgeting and Comptrollership"
"ACCT","Computer Application in Acc"
"ACCT","Cost Accounting"
"ACCT","Cost Accounting II"
"ACCT","Financial Statement Analysis"
"ACCT","Fraud Examination"
"ACCT","Income Taxation"
"ACCT","Information Systems Audit"
"ACCT","Intermediate Accounting I"
"ACCT","Intermediate Accounting II"
"ACCT","Intermediate Accounting III"
"ACCT","Internal Audit I"
"ACCT","Internal Audit II"
"ACCT","International Accounting"
"ACCT","Introduction to Accounting"
"ACCT","Managerial Accountng"
"ACCT","Principles of Accounting I"
"ACCT","Principles of Accounting II"
"ACCT","Taxation of Trusts and Estates"
"ANTH","Advanced Seminar Anthropology"
"ANTH","Agricul Dev Nations"
"ANTH","Alcohol&Obesity"
"ANTH","Anthropology and City Life"
"ANTH","Anthropology and Education"
"ANTH","Anthropology of Aging"
"ANTH","Anthropology of Puerto Rico"
"ANTH","Anthropology of Religion"
"ANTH","Anthropology of Sex"
"ANTH","Anthropology of Tourism"
"ANTH","Applied Anthropology"
"ANTH","Cult Pop Control"
"ANTH","Culture and Personality"
"ANTH","Ecological Anthropology"
"ANTH","Economic Anthropology"
"ANTH","Environmentl Justice"
"ANTH","Ethnic America"
"ANTH","Ethnol & Ethnog N.A. Indians"
"ANTH","Ethnology Ethnography of Asia"
"ANTH","Ethnology of Africa"
"ANTH","Ethnology of Latin America"
"ANTH","Ethnopsychiatry"
"ANTH","Europe"
"ANTH","Food and Culture"
"ANTH","Heritage, Culture, and Memory"
"ANTH","Independent Study"
"ANTH","Intro Ethnomusicolgy"
"ANTH","Intro to Cultural Anthropology"
"ANTH","Intro to Phys Anthro & Archae"
"ANTH","Medical Anthropology"
"ANTH","Mid East&Medit: Ethnology"
"ANTH","Oceania"
"ANTH","Political Anthropology"
"ANTH","Primitive Social Organization"
"ANTH","Qualitative Research Methods"
"ANTH","Race, Housing, and Community"
"ANTH","Seminar in Anthropology"
"ANTH","Social Movements"
"ANTH","Social Organization"
"ANTH","Social Research Methods I"
"ANTH","Social Research Methods II"
"ANTH","Summer Field Experience"
"ANTH","Tech Cross-Cult Res"
"ANTH","The Archaeology of Early Man"
"ANTH","The Caribbean"
"ANTH","The Rise of Civilization"
"ANTH","Theory & Method"
"ANTH","Understanding Youth in Urban"
"ANTH","Urban Anthropology"
"ARAB","Elementary Arabic I"
"ARAB","Elementary Arabic II"
"ARFI","20th C Trends in Photograph"
"ARFI","Advanced Drawing I"
"ARFI","Advanced Drawing II"
"ARFI","Advanced Studio I"
"ARFI","Advanced Studio II"
"ARFI","African Art"
"ARFI","Afro-American Art"
"ARFI","American Art to 1913"
"ARFI","Ancient Art"
"ARFI","Art and Sound of Video Games"
"ARFI","Art of Asia and the Pacific"
"ARFI","Art of Medieval Europe"
"ARFI","Caribbean Art"
"ARFI","Cathedrals to Contemporary"
"ARFI","Caves to Cathedrals"
"ARFI","Color"
"ARFI","Computer Graphics I"
"ARFI","Computer Graphics II"
"ARFI","Contemporary Art"
"ARFI","Drawing I"
"ARFI","Drawing II"
"ARFI","Film History 1"
"ARFI","Film History 2"
"ARFI","Film Making I"
"ARFI","Film Making II"
"ARFI","Film and the Modern Arts"
"ARFI","Fine Arts Liberal Art Elective"
"ARFI","Foundations of Photography"
"ARFI","Graphic Design I"
"ARFI","Graphic Design II"
"ARFI","Graphics I: Print-Making"
"ARFI","Graphics II: Print-Making"
"ARFI","Hgh Rnssnce Lat 16c"
"ARFI","History of Photography"
"ARFI","Introduction to Fine Arts"
"ARFI","Islamic Art and Architecture"
"ARFI","Latin-American Art"
"ARFI","Media & Visual Arts"
"ARFI","Painting I"
"ARFI","Painting II"
"ARFI","Painting III"
"ARFI","Painting IV"
"ARFI","Painting V"
"ARFI","Painting VI"
"ARFI","Photography I"
"ARFI","Photography II"
"ARFI","Photography III"
"ARFI","Photography IV"
"ARFI","Research in Art History"
"ARFI","Sculpture I"
"ARFI","Sculpture II"
"ARFI","Sculpture III"
"ARFI","Sculpture IV"
"ARFI","Sculpture V"
"ARFI","Sculpture VI"
"ARFI","Spec Stds Sem: Sel Top Art His"
"ARFI","Spec Stud Art Hist"
"ARFI","Special Stud-Sel Studio Area"
"ARFI","Special Stud-Studio"
"ARFI","Twentieth Century Art in US"
"ARFI","Twentieth-Century Art"
"ARFI","Video I"
"ARFI","Video II"
"ARFI","Visual Communication Media I"
"ARFI","Visual Communication Media II"
"ARFI","Visual Design: 3D"
"ARFI","Visual Design: Two Dimensional"
"ARFI","Visual Elements: 2-Dimensional"
"ARFI","Visual Elements: 3-Dimensional"
"ARFI","Women and Art"
"ASTR","Astronomy Laboratory"
"ASTR","Astrophysics I: Planetary Astr"
"ASTR","Astrophysics II: Stellar Astr"
"ASTR","Astrophysics III:Extragalactic"
"ASTR","Independent Study"
"ASTR","Intro Astronomy"
"ASTR","Introduction to Cosmology"
"ASTR","Methods of Scientific Research"
"ASTR","Observational Astronomy"
"ASTR","Stars and the Milky Way"
"ASTR","Stars,Galaxies &Univ"
"ASTR","Sun & Planets"
"ASTR","The Solar System"
"AVIA","Aeronautics"
"AVIA","Air Cargo Management"
"AVIA","Air Traffic Control"
"AVIA","Aircraft Ground Preparation"
"AVIA","Airline Management"
"AVIA","Airport Plan & Mgmt"
"AVIA","Airport and Aviation Security"
"AVIA","Avia Marketing&Strategic Plan"
"AVIA","Aviation Research Methods"
"AVIA","Aviation Safety Management"
"AVIA","Aviation Seminar & Intrnshp"
"AVIA","Commercial Aviation Safety"
"AVIA","Contemporary Aviation Security"
"AVIA","Corporate & Bus. Aviation"
"AVIA","Dispatcher Written (ADX) Prep"
"AVIA","Emergency Plan & Managemnt"
"AVIA","Emergency Plan&Mngmt"
"AVIA","Ethics Issues in Aviation"
"AVIA","Global Logistics &Supply Chain"
"AVIA","Innovative Airline Management"
"AVIA","Instrument Pilot Ground Course"
"AVIA","Intro to the Aviation Bus"
"AVIA","Modern Airport Planning"
"AVIA","Org Behavior & Change Avia Bus"
"AVIA","Private Pilot Ground Course"
"BENG","Bengali for Heritage Speakers"
"BENG","Modern Bengali Literature"
"BIOL","Anat & Phys 2 - Lab"
"BIOL","Anatomy and Physiology I"
"BIOL","Anatomy and Physiology I - Lab"
"BIOL","Anatomy and Physiology II"
"BIOL","Animal Behavior"
"BIOL","Biochemistry"
"BIOL","Biological Principles I"
"BIOL","Biological Principles I - Lab"
"BIOL","Biological Principles II"
"BIOL","Biology of Brain & Behavior"
"BIOL","Biology of Plants"
"BIOL","Biology of the Chordates"
