68720: ACCT,"Accounting Information Systems"
68721: ACCT,"Fundamental Accounting I"
68722: ACCT,"Fundamental Accounting II"
68723: ACCT,"Intermediate Accounting"
68724: ACCT,"Princ of Intermdte Accountg"
68725: ACCT,"Principles of Accounting I"
68726: ACCT,"Principles of Accounting II"
68727: ACIM,"Plato Workshop"
68728: ACIM,"Plato Workshop 2"
68729: ANCM,"Acm Internship"
68730: ANCM,"Animal Care & Management"
68731: ANTH,"Introduction to Anthropology"
68732: ARAB,"Beginning Arabic I"
68733: ARAB,"Beginning Arabic II"
68734: ARAB,"Introduction to Arabic I"
68735: ARAB,"Introduction to Arabic II"
68736: ART,"Art Survey"
68737: ART,"Ceramics: Handbuilding"
68738: ART,"Ceramics: Wheel Throwing"
68739: ART,"Design Basics"
68740: ART,"Design Portfolio"
68741: ART,"Digital Illustration"
68742: ART,"Digital Imaging"
68743: ART,"Digital Photo & Motion Graphic"
68744: ART,"Drawing"
68745: ART,"Drawing II"
68746: ART,"Graphic Design Principles"
68747: ART,"Graphic Design Project"
68748: ART,"Graphics I"
68749: ART,"History of Graphic Design"
68750: ART,"Illustration"
68751: ART,"Intro Art Hist: Afr68752: ART,"Intro to 3D Graphc Animation"
68753: ART,"Introduction to Art History"
68754: ART,"Modern Art"
68755: ART,"Oriental Art"
68756: ART,"Painting"
68757: ART,"Painting II"
68758: ART,"Photography"
68759: ART,"Printmaking"
68760: ART,"Publication Design"
68761: ART,"Typographic Design"
68762: ART,"Typography and Layout"
68763: ART,"User Interface Design"
68764: ART,"Web Design Project"
68765: ART,"Web Interactivity"
68766: ART,"Web Portfolio"
68767: ASAP,"Asap Crit Think Workshop"
68768: ASAP,"Asap Math Workshop"
68769: ASAP,"Asap Review Session"
68770: ASAP,"Asap Seminar I"
68771: ASAP,"Asap Seminar Ii"
68772: ASAP,"Asap Workshop I"
68773: ASAP,"Asap Writing Wkshop"
68774: ASTR,"Lab Exercises In Stellar Astro"
68775: ASTR,"Planetary Astronomy"
68776: ASTR,"Stellar Astronomy"
68777: AUTE,"ACS Technology Internship"
68778: AUTE,"Advanced Vehicle Diagnostics"
68779: AUTE,"Air Brakes and Suspension"
68780: AUTE,"Alternative Fuel Technology"
68781: AUTE,"Auto Transmis & Axle"
68782: AUTE,"Automatic/Manual Transmission"
68783: AUTE,"Brake Systems"
68784: AUTE,"Diesel Engine Performance"
68785: AUTE,"Diesel Technology"
68786: AUTE,"Electrical Systems"
