82955: ACCT,"Accounting 100-Level Elective"
82956: ACCT,"Accounting 200-Level Elective"
82957: ACCT,"Accounting 300-Level Elective"
82958: ACCT,"Accounting 400-Level Elective"
82959: ACCT,"Accounting Grad Crd"
82960: ACCT,"Accounting Grad Crdt"
82961: ACCT,"Accounting Graduate Credit"
82962: ACCT,"Accounting Ind Study"
82963: ACCT,"Accounting Independent Study"
82964: ACCT,"Accounting Information Systems"
82965: ACCT,"Accounting Internship"
82966: ACCT,"Accounting Research Course"
82967: ACCT,"Accountng Internship"
82968: ACCT,"Acctg/Mgmt Info Sys"
82969: ACCT,"Advanced Accounting"
82970: ACCT,"CPA Problems/Issues"
82971: ACCT,"Cost Accounting I"
82972: ACCT,"Cost Accounting II"
82973: ACCT,"Federal Income Taxation I"
82974: ACCT,"Federal Income Taxation II"
82975: ACCT,"Fin&Mang Accounting"
82976: ACCT,"Financial Audits"
82977: ACCT,"Financial Statements"
82978: ACCT,"Forensic Accounting"
82979: ACCT,"Gov and Not-For- Profit Acc"
82980: ACCT,"Gov&Nonforprofit Acc"
82981: ACCT,"Intermediate Accounting I"
82982: ACCT,"Intermediate Accounting II"
82983: ACCT,"International Accounting"
82984: ACCT,"Introduction to Accounting I"
82985: ACCT,"Introduction to Accounting II"
82986: ACCT,"Managerial Accountng"
82987: ACCT,"Medical Accounting"
82988: ACCT,"New York State and Local Taxes"
82989: ACCT,"Survey Of Accounting"
82990: ACCT,"Tax Strt&Bus Dec"
82991: AFAS,"60  Ooo"
82992: AFST,"African Amer Athlete XX Cent"
82993: AFST,"African American Drama"
82994: AFST,"African American Literature"
82995: AFST,"African Diaspora Interdis Pers"
82996: AFST,"African Imperialism"
82997: AFST,"African Literature"
82998: AFST,"African Politics"
82999: AFST,"Afro-Am Ethnmusiclgy"
83000: AFST,"Afro-Am Music Theatr"
83001: AFST,"Afro-Am Stud 300-Level Elec"
83002: AFST,"Afro-Am Stud 400-Level Elec"
83003: AFST,"Afro-Amer History I: 1619-1865"
83004: AFST,"Afro-Amer History II"
83005: AFST,"Afro-Amer Ind Study"
83006: AFST,"Afro-Amer Indep Stdy"
83007: AFST,"Afro-Amer Independent Study"
83008: AFST,"Afro-Amer Internship"
83009: AFST,"Afro-Amer Survey"
83010: AFST,"Americas Slavery"
83011: AFST,"Black Art Movement"
83012: AFST,"Black Dance Workshop"
83013: AFST,"Black Education"
83014: AFST,"Black French Writers"
83015: AFST,"Black Ideology"
83016: AFST,"Black Socialization"
83017: AFST,"Black/Wht Amer Cultr"
83018: AFST,"Civil War Reconstruction"
83019: AFST,"Colonialism & the African Exp"
