62689: ACCT,"Advanced Federal Taxation"
62690: ACCT,"Cost Accounting"
62691: ACCT,"Cost/Manag Acctng"
62692: ACCT,"Federal Taxation"
62693: ACCT,"Field Exper Acctng"
62694: ACCT,"Financial Investigation"
62695: ACCT,"Fundamentals of Accounting"
62696: ACCT,"Fundamentals of Accounting II"
62697: ACCT,"IS Microcomputer Account Appli"
62698: ACCT,"Independent Study: Accounting"
62699: ACCT,"Intermediate Accounting I"
62700: ACCT,"Intermediate Accounting II"
62701: ACCT,"Is Adv Federal Tax"
62702: ACCT,"Microcomputer Account Applicat"
62703: ACCT,"New York Taxes"
62704: ACCT,"Principles of Auditing"
62705: ACCT,"Problems In Federal Taxation"
62706: ACCT,"Res In Fed Taxation"
62707: ACIM,"Elig For Eng 024-Nec"
62708: ACIM,"Eligible For Eng 024"
62709: ACIM,"Eng 00400 Placement"
62710: ACIM,"Eng 00400 Plcmt-Nec"
62711: ACIM,"Eng 00400/0w000 Plct"
62712: ACIM,"Eng 00400/0w000-Nec"
62713: ACIM,"Eng 00r00 Placement"
62714: ACIM,"Eng 00r00 Plcmt-Nec"
62715: ACIM,"Eng 01200 Placement"
62716: ACIM,"Eng 01200 Plcmt-Nec"
62717: ACIM,"Eng 091a5 Placement"
62718: ACIM,"Eng 091a5 Plcmt-Nec"
62719: ACIM,"Eng 092a6 Placement"
62720: ACIM,"Eng 092a6 Plcmt-Nec"
62721: ACIM,"Eng 093a5/00r00-Nec"
62722: ACIM,"Eng 093a9 Placement"
62723: ACIM,"Eng 093a9 Plcmt-Nec"
62724: ACIM,"Eng 0w000 Placement"
62725: ACIM,"Eng 0w000 Plcmt-Nec"
62726: ACIM,"Eng 0w000/00r00 Plct"
62727: ACIM,"Eng 0w000/00r00-Nec"
62728: ACIM,"Esl 00700 Plcmt-Nec"
62729: ACIM,"Esl 00700/Advsr Plct"
62730: ACIM,"Esl 00900 Plcmt-Nec"
62731: ACIM,"Esl 00900/Advsr Plct"
62732: ACIM,"Esl 09100/Advsr Plct"
62733: ACIM,"Esl 091a7 Plcmt-Nec"
62734: ACIM,"Ma Plcmt 4/Higher ??"
62735: ACIM,"Mat 00700/00900 Plct"
62736: ACIM,"Mat 0b300 Placement"
62737: ACIM,"Mat 0b3a0 Placement"
62738: ACIM,"Mat 0b3b0 Placement"
62739: ACIM,"Mat 0m200 Placement"
62740: ACIM,"Mat 0r200 Placement"
62741: ACIM,"Math P Or B62742: ACIM,"No Math Placement"
62743: ACIM,"Placement Mat 6-12"
62744: ACIM,"Placement Mat 6-12 B"
62745: ACIM,"Placement Mat 6-12 C"
62746: ACIM,"Placement Mat 6-12 D"
62747: ACIM,"R/W Pass Or E62748: ACIM,"Satisfied All Engl"
62749: ACIM,"Satisfied Eng-Nec"
62750: ACIM,"See Faculty Advisor"
62751: ADSE,"ASAP Advisement Seminar"
62752: ADSE,"ASAP Advisement Seminar II"
62753: ANTH,"Human Rights"
62754: ANTH,"Introduction to Anthropology"
