81101: ACCT,"Accounting 1 Part 1"
81102: ACCT,"Accounting 1 Part 2"
81103: ACCT,"Accounting I Part I"
81104: ACCT,"Accounting I Part II"
81105: ACCT,"Accounts Receivable Financing"
81106: ACCT,"Acct Apl Micro"
81107: ACCT,"Acct Apl Microcomptr"
81108: ACCT,"Administrative Law"
81109: ACCT,"Advanced Tour Planning"
81110: ACCT,"Airline Res Computer"
81111: ACCT,"Airline Reserv 1"
81112: ACCT,"Bankruptcy Law"
81113: ACCT,"Basic Tour Planning"
81114: ACCT,"Basics of Advertising"
81115: ACCT,"Bus Internship"
81116: ACCT,"Business Communications"
81117: ACCT,"Business Law I"
81118: ACCT,"Business Law II"
81119: ACCT,"C-Print I"
81120: ACCT,"C-Print II"
81121: ACCT,"Civil Litigation"
81122: ACCT,"Comp Apps For Paras"
81123: ACCT,"Comp Med Info Mgmt"
81124: ACCT,"Computer Apps Para"
81125: ACCT,"Cost Accounting"
81126: ACCT,"Cost Accounting 2"
81127: ACCT,"Cost Accounting I"
81128: ACCT,"Cost Accounting II"
81129: ACCT,"Criminal Law and Procedure"
81130: ACCT,"Customer Service and Sales"
81131: ACCT,"Ed Prob Sch Sec 1"
81132: ACCT,"Ed Prob Sch Sec 2"
81133: ACCT,"Electronic Office Procedures"
81134: ACCT,"Entrepreneurial Financing"
81135: ACCT,"Essential Computer Skills"
81136: ACCT,"Family Law"
81137: ACCT,"Financial Statement Analysis"
81138: ACCT,"Global Marketing"
81139: ACCT,"Immigration Law"
81140: ACCT,"Independent Study"
81141: ACCT,"Individ Income Tax"
81142: ACCT,"Intermediate Accounting I"
81143: ACCT,"Intermediate Accounting II"
81144: ACCT,"Internal Auditing"
81145: ACCT,"International Finance"
81146: ACCT,"Intro Credit Mangt"
81147: ACCT,"Intro Para Legal"
81148: ACCT,"Intro Trvl.Tour.Hosp"
81149: ACCT,"Introduction To Business"
81150: ACCT,"Introduction to Business"
81151: ACCT,"Introduction to E-Business"
81152: ACCT,"Int’L Trade Document"
81153: ACCT,"Keyboarding I"
81154: ACCT,"Keyboarding II"
81155: ACCT,"Keyboarding III"
81156: ACCT,"Law Of Busn Enterp"
81157: ACCT,"Law Office Mgt"
81158: ACCT,"Leg Dic&Trans II Mac"
81159: ACCT,"Leg Dic&Trans II Pit"
81160: ACCT,"Leg Dict&Trans I Gr"
81161: ACCT,"Leg Dict&Trans I Mac"
81162: ACCT,"Leg Dict&Trans I Pit"
81163: ACCT,"Leg Dict&Trans II Gr"
