23468: LAW,"1 Cr. Mat Fee"
23469: LAW,"10 Cr. Mat Fee"
23470: LAW,"11 Cr. Mat Fee"
23471: LAW,"2 Cr. Mat Fee"
23472: LAW,"3 Cr. Mat Fee"
23473: LAW,"4 Cr. Mat Fee"
23474: LAW,"5 Cr. Mat Fee"
23475: LAW,"6 Cr. Mat Fee"
23476: LAW,"7 Cr. Mat Fee"
23477: LAW,"8 Cr. Mat Fee"
23478: LAW,"9 Cr. Mat Fee"
23479: LAW,"Academic Legal Writing"
23480: LAW,"Adv Environmntl Law"
23481: LAW,"Adv Torts: Med Malpr"
23482: LAW,"Adv. Civil Procedure"
23483: LAW,"Adv. Criminal Law"
23484: LAW,"Adv. Criminal Proced"
23485: LAW,"Adv. First Amendment"
23486: LAW,"Advanced Civil Procedure"
23487: LAW,"Advanced Clinical"
23488: LAW,"Advanced Evidence"
23489: LAW,"Advanced Family Law"
23490: LAW,"Advanced Legal Research"
23491: LAW,"Advanced Mediation"
23492: LAW,"Advanced Property"
23493: LAW,"Advanced Torts"
23494: LAW,"Advanced Trial Practice"
23495: LAW,"Anti-Discrimination Law"
23496: LAW,"Antitrust Law"
23497: LAW,"Applied Legal Analysis"
23498: LAW,"Bankruptcy"
23499: LAW,"Business Associations"
23500: LAW,"CED Housing Clinic"
23501: LAW,"CLEAR Clinic"
23502: LAW,"CLEAR Clinic Plenary"
23503: LAW,"Cap Pun & the Courts"
23504: LAW,"Citizenship"
23505: LAW,"Civ Rights 21st Cent-Externsh"
23506: LAW,"Civil Disobed: Theory & Pract"
23507: LAW,"Civil Procedure"
23508: LAW,"Civil Process & Profes Respons"
23509: LAW,"Civil Rights Survey"
23510: LAW,"Com Tops In Leg Anal"
23511: LAW,"Commercial Law"
23512: LAW,"Commun Economic Dev"
23513: LAW,"Comp Aspects of Cons"
23514: LAW,"Comp Hlth Care Liab"
23515: LAW,"Comp Hlth Care Regul"
23516: LAW,"Comparative Law"
23517: LAW,"Computer Crimes"
23518: LAW,"Con. Preventn & Com"
23519: LAW,"Const & Foreign Affr"
23520: LAW,"Constitution & Foreign Affairs"
23521: LAW,"Constitutional Law"
23522: LAW,"Constitutional Structures"
23523: LAW,"Contemplative Practice"
23524: LAW,"Contract Law  Market Economy I"
23525: LAW,"Contracts"
23526: LAW,"Contracts: LME II"
