77909: ACCT,"Accounting Information Systems"
77910: ACCT,"Acct 217 Workshop"
77911: ACCT,"Acctg Appl.Microcomp"
77912: ACCT,"Adva Fin Acct"
77913: ACCT,"Advanced Accounting I"
77914: ACCT,"Advanced Accounting II"
77915: ACCT,"Auditing"
77916: ACCT,"Auditing Ii"
77917: ACCT,"Contem Acct"
77918: ACCT,"Contemporary Accounting"
77919: ACCT,"Cost Accounting I"
77920: ACCT,"Cost Accounting II"
77921: ACCT,"Cost Acct."
77922: ACCT,"Enrolled Agent"
77923: ACCT,"Ethics: Professional Accntants"
77924: ACCT,"Federal Taxation I"
77925: ACCT,"Federal Taxation II"
77926: ACCT,"Finance Accounting I"
77927: ACCT,"Forensic Accounting"
77928: ACCT,"Foundations Of Cis"
77929: ACCT,"Independent Study"
77930: ACCT,"Intermediate Accounting I"
77931: ACCT,"Intermediate Accounting II"
77932: ACCT,"Internship & Acctg Software"
77933: ACCT,"Managerial Acct I"
77934: ACCT,"Managerial Acct II"
77935: ACCT,"Municipal Accounting"
77936: ACCT,"Municipal Fund Acct"
77937: ACCT,"Prin Of Aud"
77938: ACCT,"Principles of Accounting I"
77939: ACCT,"Principles of Accounting II"
77940: ACCT,"Quantitative Measure"
77941: ACCT,"Taxation"
77942: ACCT,"Taxation Nyc"
77943: ACIM,"Advanced Reading"
77944: ACIM,"Advanced Writing"
77945: ACIM,"Basic Reading"
77946: ACIM,"Basic Writing"
77947: ACIM,"Critical Literacy"
77948: ACIM,"Developmental Semina"
77949: ACIM,"Fund Manpower"
77950: ACIM,"Info Systems Manpowe"
77951: ACIM,"Intake Counseling"
77952: ACIM,"Intake/Counselng Man"
77953: ACIM,"Intro To Manpower"
77954: ACIM,"Job Development"
77955: ACIM,"Language Structure"
77956: ACIM,"Manpower Planning I"
77957: ACIM,"Manpower Planning II"
77958: ACIM,"Problems In Manpower"
77959: ACIM,"Study Center"
77960: AFST,"Introduction to Africana World"
77961: AFST,"Women in Africa and the Africa"
77962: ANTH,"African Societies and Cultures"
77963: ANTH,"Afro Amer Soc&Cult"
77964: ANTH,"Anthropology & Imper"
77965: ANTH,"Aspects Of Aging"
77966: ANTH,"Intro Biological Anthropology"
77967: ANTH,"Introduction to Anthropology"
77968: ANTH,"Introduction to Archaeology"
77969: ANTH,"Modernization Cultur"
77970: ANTH,"Phys & Cult Evolutio"
77971: ANTH,"Soc. & Cult. Latin-A"
77972: ANTH,"The Anthropology of Latinx"
77973: ANTH,"The Nature of Culture"
77974: ARAB,"Arabic Language Lab"
77975: ARAB,"Intro To The Arabic Language"
77976: ART,"ADVERTISING GRAPHICS"
77977: ART,"Advance Printmaking"
77978: ART,"Advanced Ceramics"
77979: ART,"Advanced Computer Graphics"
77980: ART,"Advanced Printmaking"
77981: ART,"Advertising Design"
77982: ART,"African Art History"
77983: ART,"Afro-American Art History"
77984: ART,"Anct. Egypt Art/Cult"
77985: ART,"Art Appreciation"
77986: ART,"Art Club"
77987: ART,"Art Education for Teachers"
77988: ART,"Art History I"
77989: ART,"Art History II"
77990: ART,"Arts & Crafts"
77991: ART,"Basic Design"
77992: ART,"Ceramics"
77993: ART,"Computer Graphics"
77994: ART,"Copper Relief Sculpt"
77995: ART,"Creative Arts"
77996: ART,"Creative Expres’N VI"
77997: ART,"Digital Photography: Still/vid"
77998: ART,"Drawing I"
77999: ART,"Experimental Psyc"
78000: ART,"Figure Drawing"
78001: ART,"General Crafts"
78002: ART,"History of Visual Communicatio"
78003: ART,"Independent Study"
78004: ART,"Introduction to World Art"
78005: ART,"Lettering and Design"
78006: ART,"Painting I"
78007: ART,"Painting II"
78008: ART,"Painting Techniques"
78009: ART,"Production & Pasteup"
78010: ART,"Sculpture"
78011: ART,"Sculpture/Ceramics"
78012: ART,"Special Projects"
78013: ASTR,"Astronomy"
78014: ASTR,"Intro To Space Sci I"
78015: ASTR,"Space Science I"
78016: ASTR,"Space Science I Lab"
78017: ASTR,"Space Science II"
78018: ASTR,"Space Science II Lab"
78019: ASTR,"Spec Topics In Space"
78020: BIOL,"Adv Animal Studie"
78021: BIOL,"Advanced Techniques of Molecul"
78022: BIOL,"Anat & Phys Hum Syst II Lab"
78023: BIOL,"Anat&Phy Hum Sys II"
78024: BIOL,"Anat/Phys-Hum Sys."
78025: BIOL,"Anatomy & Physiology Lab I"
78026: BIOL,"Anatomy & Physiology Lab II"
78027: BIOL,"Anatomy and Physiology Lab I"
78028: BIOL,"Basic Biology"
78029: BIOL,"Biological Aspects of Aging"
78030: BIOL,"Biology Elective Reviewed"
78031: BIOL,"Biotechnology & Society"
78032: BIOL,"Biotechnology and Society"
78033: BIOL,"Cell Biology"
78034: BIOL,"Cell Biology Lab"
78035: BIOL,"Chordate Devel Lab"
78036: BIOL,"Chordate Development"
78037: BIOL,"Chordate Lab"
78038: BIOL,"Chordate Morphology"
78039: BIOL,"Developmental Biology"
78040: BIOL,"Endocrinology"
78041: BIOL,"Endocrinology Lab"
78042: BIOL,"Environmental   Scie"
78043: BIOL,"Environmental Scienc"
78044: BIOL,"Epigenetics"
78045: BIOL,"Evolution"
78046: BIOL,"Evolution Lab"
78047: BIOL,"General Biology I"
78048: BIOL,"General Biology I La"
78049: BIOL,"General Biology I Lab"
78050: BIOL,"General Biology II"
78051: BIOL,"General Biology II Lab"
78052: BIOL,"Genetics"
78053: BIOL,"Genetics Lab"
78054: BIOL,"Histology"
78055: BIOL,"Histology Lab"
78056: BIOL,"Honors Research"
78057: BIOL,"Human Anatomy & Physiology II"
78058: BIOL,"Human Anatomy and Physiology *"
78059: BIOL,"Human Anatomy and Physiology I"
78060: BIOL,"Human Body Struct & Function"
78061: BIOL,"Human Body Struct & Functn Lab"
78062: BIOL,"Human Genome Project"
78063: BIOL,"Human Genome/Hth/Soc"
78064: BIOL,"Human Physiology"
78065: BIOL,"Human Physiology Lab"
78066: BIOL,"Immun & Path Lab"
78067: BIOL,"Immun&Path Micro"
78068: BIOL,"Immunology"
78069: BIOL,"Immunology Lab"
78070: BIOL,"Independent Research I"
78071: BIOL,"Independent Research II"
78072: BIOL,"Independent Research III"
78073: BIOL,"Independent Study"
78074: BIOL,"Intro Anat.& Phy Lab"
78075: BIOL,"Intro Sci Of Biology"
78076: BIOL,"Intro To Anatomy & Physiology"
78077: BIOL,"Intro To Space Bio"
78078: BIOL,"Intro/Space Bio Lab"
78079: BIOL,"Introduction to Biology"
78080: BIOL,"Invert Zoology Lab"
78081: BIOL,"Invertebrate Zoology"
78082: BIOL,"Laboratory Instrumentation"
78083: BIOL,"Microbial Physiology"
78084: BIOL,"Microbiology"
78085: BIOL,"Microbiology Lab"
78086: BIOL,"Molec Biotech Lab"
78087: BIOL,"Molecular Bio Tech"
78088: BIOL,"Molecular Biology"
78089: BIOL,"Molecular Biology Lab"
78090: BIOL,"Molecular Neurobiology"
78091: BIOL,"Molecular Neurobiology Lab"
78092: BIOL,"Morphology Lab"
78093: BIOL,"Pathogenic MicroBio & Immun"
78094: BIOL,"Pathogenic Microbio & Immun"
78095: BIOL,"Pathophysiology"
