65077: ACCT,"Accounting 100-Level Elective"
65078: ACCT,"Accounting 200-Level Elective"
65079: ACCT,"Accounting 300-Level Elective"
65080: ACCT,"Accounting 400-Level Elective"
65081: ACCT,"Accounting Grad Crd"
65082: ACCT,"Accounting Grad Crdt"
65083: ACCT,"Accounting Graduate Credit"
65084: ACCT,"Accounting Ind Study"
65085: ACCT,"Accounting Independent Study"
65086: ACCT,"Accounting Information Systems"
65087: ACCT,"Accounting Internship"
65088: ACCT,"Accounting Research Course"
65089: ACCT,"Accountng Internship"
65090: ACCT,"Acctg/Mgmt Info Sys"
65091: ACCT,"Advanced Accounting"
65092: ACCT,"CPA Problems/Issues"
65093: ACCT,"Cost Accounting I"
65094: ACCT,"Cost Accounting II"
65095: ACCT,"Federal Income Taxation I"
65096: ACCT,"Federal Income Taxation II"
65097: ACCT,"Fin&Mang Accounting"
65098: ACCT,"Financial Audits"
65099: ACCT,"Financial Statements"
65100: ACCT,"Forensic Accounting"
65101: ACCT,"Gov and Not-For- Profit Acc"
65102: ACCT,"Gov&Nonforprofit Acc"
65103: ACCT,"Intermediate Accounting I"
65104: ACCT,"Intermediate Accounting II"
65105: ACCT,"International Accounting"
65106: ACCT,"Introduction to Accounting I"
65107: ACCT,"Introduction to Accounting II"
65108: ACCT,"Managerial Accountng"
65109: ACCT,"Medical Accounting"
65110: ACCT,"New York State and Local Taxes"
65111: ACCT,"Survey Of Accounting"
65112: ACCT,"Tax Strt&Bus Dec"
65113: AFAS,"60  Ooo"
65114: AFST,"African Amer Athlete XX Cent"
65115: AFST,"African American Drama"
65116: AFST,"African American Literature"
65117: AFST,"African Diaspora Interdis Pers"
65118: AFST,"African Imperialism"
65119: AFST,"African Literature"
65120: AFST,"African Politics"
65121: AFST,"Afro-Am Ethnmusiclgy"
65122: AFST,"Afro-Am Music Theatr"
65123: AFST,"Afro-Am Stud 300-Level Elec"
65124: AFST,"Afro-Am Stud 400-Level Elec"
65125: AFST,"Afro-Amer History I: 1619-1865"
65126: AFST,"Afro-Amer History II"
65127: AFST,"Afro-Amer Ind Study"
65128: AFST,"Afro-Amer Indep Stdy"
65129: AFST,"Afro-Amer Independent Study"
65130: AFST,"Afro-Amer Internship"
65131: AFST,"Afro-Amer Survey"
65132: AFST,"Americas Slavery"
65133: AFST,"Black Art Movement"
65134: AFST,"Black Dance Workshop"
65135: AFST,"Black Education"
65136: AFST,"Black French Writers"
65137: AFST,"Black Ideology"
65138: AFST,"Black Socialization"
65139: AFST,"Black/Wht Amer Cultr"
65140: AFST,"Civil War Reconstruction"
65141: AFST,"Colonialism & the African Exp"
65142: AFST,"Contemporary African Issues"
65143: AFST,"Garvey And Dubois"
65144: AFST,"Gender in Francophone World"
65145: AFST,"Geography of Africa"
65146: AFST,"History of Africa"
65147: AFST,"History of the Caribbean"
65148: AFST,"Intro to African Diaspora Lit"
65149: AFST,"Lit of the African Diaspora"
65150: AFST,"Literature of Social Protest"
65151: AFST,"Pan Africanism"
65152: AFST,"Peoples and Cultures of Africa"
65153: AFST,"Place65154: AFST,"Policing & Mass Incarceration"
65155: AFST,"Race65156: AFST,"Social Move & Social Justice"
65157: AFST,"The African Diasp: Inter Persp"
65158: AFST,"The African Diaspora"
65159: AFST,"The African-Amer Lit Tradition"
65160: AFST,"The Black Experience"
65161: AFST,"Urban America Blacks"
65162: AFST,"Workshop in Black Theater"
65163: AMSL,"ASL Independent Study"
65164: AMSL,"Advanced Communication In ASL"
65165: AMSL,"Am Sign Lnd Ind Stdy"
65166: AMSL,"Am Sign Lnd Ind Study"
65167: AMSL,"Amer Sign Lang 100-Level Elec"
65168: AMSL,"Amer Sign Lang 200-Level Elec"
65169: AMSL,"Amer Sign Lang 300-Level Elec"
65170: AMSL,"American Sign Language I"
65171: AMSL,"American Sign Language II"
65172: AMSL,"American Sign Language III"
65173: AMSL,"American Sign Language IV"
65174: AMSL,"American Sign Lng Ind Study"
65175: AMSL,"Basic American Sign Language I"
65176: AMSL,"Deaf Ppl65177: AMSL,"Linguistics of ASL"
65178: AMST,"Am Cultural Experinc"
65179: AMST,"Amer Culture in Black & White"
65180: AMST,"Amer Film And Myth"
65181: AMST,"Amer Stdies Ind Stdy"
65182: AMST,"Amer Stdies Indep Stdy"
65183: AMST,"Amer Stdies Intrnshp"
65184: AMST,"Amer Stud 100-Level Elective"
65185: AMST,"Amer Stud 200-Level Elective"
65186: AMST,"Amer Stud 300-Level Elec"
65187: AMST,"Amer Stud 400-Level Elective"
65188: AMST,"Amer Studies Credit"
65189: AMST,"America in the World"
65190: AMST,"America: An Introduction"
65191: AMST,"American Art Since 1945"
65192: AMST,"American Arts"
65193: AMST,"American Biography"
65194: AMST,"American Culture I"
65195: AMST,"American Culture II"
65196: AMST,"American Humor"
65197: AMST,"American Ideas"
65198: AMST,"American Minorities"
65199: AMST,"American Musical Theater"
65200: AMST,"American Myths and Realities"
65201: AMST,"American Philosophy"
65202: AMST,"American Studies Internship"
65203: AMST,"Art and Society in America"
65204: AMST,"Art/Society In Amer"
65205: AMST,"Dance Hst: 20th Century Survey"
65206: AMST,"Educ/Amer Society"
65207: AMST,"Geography of the United States"
65208: AMST,"Intro to Latinx"
65209: AMST,"Latina/o Media"
65210: AMST,"Latinas/os In the U.S."
65211: AMST,"Modern Art in Latin America"
65212: AMST,"Music in American Life"
65213: AMST,"Popular Culture & Mass Society"
65214: AMST,"Religion in America"
65215: AMST,"Society/Culture-Us"
65216: AMST,"The African-Amer Lit Tradition"
