17084: ACCT,"Acc Applications On Microcomp"
17085: ACCT,"Acc School Practicum"
17086: ACCT,"Accounting I"
17087: ACCT,"Accounting II"
17088: ACCT,"Accounting III"
17089: ACCT,"Accounting IV"
17090: ACCT,"Accounting Info Sys (Honors)"
17091: ACCT,"Accounting Information Systems"
17092: ACCT,"Accounting Principles I"
17093: ACCT,"Accounting Principles II"
17094: ACCT,"Accounting V"
17095: ACCT,"Cost Accounting I"
17096: ACCT,"Cost Accounting II"
17097: ACCT,"Elementary Acc.Ii"
17098: ACCT,"Elementary Accounting II"
17099: ACCT,"Elementary Accounting Ib"
17100: ACCT,"Elementary Acct I"
17101: ACCT,"Elementary Acct Ia"
17102: ACCT,"Elementary Acct.I"
17103: ACCT,"Forensic Acc & Fraud Analysis"
17104: ACCT,"Gov.Notprofit Acct"
17105: ACCT,"Inter Accounting"
17106: ACCT,"Inter Accounting Practicum"
17107: ACCT,"Intermediate Accounting I"
17108: ACCT,"Intermediate Accounting I (Hon"
17109: ACCT,"Intermediate Accounting II"
17110: ACCT,"Personal Acc & Fin Literacy"
17111: ACCT,"Survey Of Acct."
17112: ACCT,"Taxation"
17113: ACCT,"Taxation of Business Entities"
17114: ACCT,"Taxation: Federal"
17115: ACCT,"Taxation: Federal (Honors)"
17116: ACIM,"Basic Math for College"
17117: ACIM,"Effective Speaking"
17118: ACIM,"Field Work I"
17119: ACIM,"Field Work Ii"
17120: ACIM,"Field Work Iii"
17121: ACIM,"Field Work Iv"
17122: ACIM,"Field Work Ix"
17123: ACIM,"Field Work V"
17124: ACIM,"Field Work VII"
17125: ACIM,"Field Work VIII"
17126: ACIM,"Field Work Vi"
17127: ACIM,"Field Work Vii"
17128: ACIM,"Field Work Viii"
17129: ACIM,"Field Work X"
17130: ACIM,"High School Equiv"
17131: ACIM,"Indepen Study I"
17132: ACIM,"Indepen Study Ii"
17133: ACIM,"Indepen Study Iii"
17134: ACIM,"Indepen Study Iv"
17135: ACIM,"Indepen Study V"
17136: ACIM,"Indepen Study Vi"
17137: ACIM,"Indepen Study Vii"
17138: ACIM,"Indepen Study Viii"
17139: ACIM,"Indepen Study X"
17140: ACIM,"Independ Study Vii"
17141: ACIM,"Independent Study"
17142: ACIM,"Independent Study II"
17143: ACIM,"Independent Study III"
17144: ACIM,"Independent Study IV"
17145: ACIM,"Independent Study IX"
17146: ACIM,"Independent Study VI"
17147: ACIM,"Life Experience I"
17148: ACIM,"Life Experience II"
17149: ACIM,"Life Experience III"
17150: ACIM,"Life Experience IV"
17151: ACIM,"Life Experience Iii"
17152: ACIM,"Life Experience Iv"
17153: ACIM,"Life Experience Lit"
17154: ACIM,"Life Experience V"
17155: ACIM,"On Permit"
17156: AFST,"20th Cent Afr Devel"
17157: AFST,"Af-Amer His To 1865"
17158: AFST,"Afl Directed Study"
17159: AFST,"Africa 1500 To Pres"
17160: AFST,"African Art (Same as ART 801)"
17161: AFST,"African-American Art"
17162: AFST,"African-American Hist (Honors)"
17163: AFST,"African-American History"
17164: AFST,"Afro-Latino Directed Study"
17165: AFST,"Black Directed Study"
17166: AFST,"Blk Directed Study"
17167: AFST,"Blk Man In Society"
17168: AFST,"Blk Man In Society (Honors)"
17169: AFST,"Blk Women Amer/Cari"
17170: AFST,"Blk Women Amer/Cari (Honors)"
17171: AFST,"Caribbean Black Lit"
17172: AFST,"Caribbean History"
17173: AFST,"Community Problems"
17174: AFST,"Comp.Ethnic Studies"
17175: AFST,"Contemporary Black Writers"
17176: AFST,"Contmp Blk Writers"
17177: AFST,"Dom Rep Econ Devel"
17178: AFST,"Economics of Urban Communities"
17179: AFST,"Haitian History and Culture"
17180: AFST,"Hist Of African Civilizations"
17181: AFST,"History of Black Theater"
17182: AFST,"Hlth Prob Urban Com"
17183: AFST,"Introduction to Ethnic Studies"
17184: AFST,"Mod Blk Pol Thought"
17185: AFST,"Political Eco Carib"
17186: AFST,"Puerto Rican Culture Folklore"
17187: AFST,"Research and Writing Methods"
17188: AFST,"Social Blk Urb Com"
17189: AFST,"The Black Experience in Africa"
17190: AFST,"The Contemporary Black Family"
17191: AFST,"The Roles Of Women"
17192: AMSL,"Intro. American Sign Lang. I"
17193: AMSL,"Intro. American Sign Lang. II"
17194: ANMG,"2D Animation Projects"
17195: ANMG,"3D Animation Projects"
17196: ANMG,"Introduction to 2D Animation"
17197: ANMG,"Introduction to 3D Animations"
17198: ANMG,"Introduction to Video Graphics"
17199: ANTH,"Aging17200: ANTH,"Ant Directed Study"
17201: ANTH,"Anthropology Directed Study"
17202: ANTH,"Blk Women Amer/Cari"
17203: ANTH,"Chinese Culture and Heritage"
17204: ANTH,"Haitian History and Culture"
17205: ANTH,"Introduction to Anthropology"
17206: ANTH,"Language and Culture"
17207: ANTH,"P.R. Culture & Folklore"
17208: ANTH,"Ppls & Cultrs Lat Am & Crbn"
17209: ANTH,"Roles Of Women"
17210: ARAB,"Arabic III"
17211: ARAB,"Arabic IV"
17212: ARAB,"Elem Arab for Speakers of Arab"
17213: ARAB,"Elementary Arabic I"
17214: ARAB,"Elementary Arabic II"
17215: ARAD,"Adv Copy and Layout"
17216: ARAD,"Adv Directed Study"
17217: ARAD,"Adv Ops Radio-T.V."
17218: ARAD,"Advanced Agency Ops"
17219: ARAD,"Advanced Directed Study"
17220: ARAD,"Advanced Production"
17221: ARAD,"Essentials of Advertising"
17222: ARAD,"Radio & Tv Advt"
17223: ARAD,"Retail Advertising"
17224: ARAD,"Retail Sles & Promo"
17225: ARAD,"Sales Promo Advertising"
17226: ART,"18th & 19th Century Art"
17227: ART,"3D Design: Materials & Methods"
17228: ART,"3D Design: Methods & Materials"
17229: ART,"Advanced Photography"
17230: ART,"Advertising Design I"
17231: ART,"Advertising Design II"
17232: ART,"Advertising Illustration I"
17233: ART,"Advertising Illustration II"
17234: ART,"African Art"
17235: ART,"African-American Art"
17236: ART,"Ancient Greece & Rome (Honors)"
17237: ART,"Ancient Greece and Rome"
17238: ART,"Art Directed Study"
17239: ART,"Art Survey I"
17240: ART,"Art Survey II"
17241: ART,"Art of the Far East"
17242: ART,"Asian Art History"
17243: ART,"Asian Art History (Honors)"
17244: ART,"Color and Design"
17245: ART,"Color and Design I"
17246: ART,"Comic Art 1"
17247: ART,"Comic Art II"
17248: ART,"Comm Photo & Career Strat"
17249: ART,"Design I"
17250: ART,"Design II"
17251: ART,"Digital Creative Studio"
17252: ART,"Digital Imaging Graphic Design"
17253: ART,"Digital Imaging Studio I"
17254: ART,"Digital-Imaging Post Prod"
17255: ART,"Documentary & Narrative Photo"
17256: ART,"Drawing I"
17257: ART,"Drawing II"
17258: ART,"Drawing Studio I"
17259: ART,"Drawing Studio II"
17260: ART,"Drawing Studio III"
17261: ART,"Figure Sculpture I"
17262: ART,"Filmmaking I"
17263: ART,"Final Lab Project"
17264: ART,"Final Thesis Lab"
17265: ART,"Found Dig Grap Desi"
17266: ART,"Graphic Design I"
17267: ART,"History of Graphic Design"
17268: ART,"Intro His.West Art"
17269: ART,"Intro Visual Story"
17270: ART,"Intro to Latin American Art"
17271: ART,"Introduction to African Art"
17272: ART,"Introduction to Painting"
17273: ART,"Introduction to Sculpture"
17274: ART,"Life Drawing"
17275: ART,"Life Drawing Studio I"
17276: ART,"Life Drawing Studio II"
17277: ART,"Mediev Art:Faith &Mig (Honors)"
17278: ART,"Medieval Art: Faith &Migration"
17279: ART,"Modern Art"
17280: ART,"Modern and Contemporary Art"
17281: ART,"Painting I"
17282: ART,"Painting II"
17283: ART,"Painting Studio I"
17284: ART,"Painting Studio I (Honors)"
17285: ART,"Painting Studio II"
17286: ART,"Painting Studio II (Honors)"
17287: ART,"Painting Studio III"
17288: ART,"Photographic Studio & Light I"
17289: ART,"Photography I"
17290: ART,"Photography I (Honors)"
17291: ART,"Photography II"
17292: ART,"Portrait Drawing"
17293: ART,"Pre-Columbian Art"
17294: ART,"Print Process & Portfolio Lab"
17295: ART,"Renaissance & Baroque Art"
17296: ART,"Sculpture I"
17297: ART,"Sculpture II"
17298: ART,"Sculpture Studio I"
17299: ART,"Sculpture Studio II"
17300: ART,"Sculpture Studio III"
17301: ART,"Survey of Art Hist I (Honors)"
17302: ART,"Survey of Art Hist II (Honors)"
17303: ART,"Survey of Art History I"
17304: ART,"Survey of Art History II"
17305: ART,"Survey of Non-Western Art"
17306: ART,"Typography"
17307: ART,"Typography and Layout"
17308: ART,"Visual Comm & Design"
17309: ARVP,"Budgeting for Television"
17310: ARVP,"Cinematography"
17311: ARVP,"Corporate Media Applications"
17312: ARVP,"Intro Contemp Media"
17313: ARVP,"Intro Video Tech w/ Learn Lab"
17314: ARVP,"Intro to Video Tech"
17315: ARVP,"Lighting for Television"
17316: ARVP,"Remote Prod/Video Editing II"
17317: ARVP,"Remt Prod/Vid Edi I"
17318: ARVP,"Remte Prod/Vid Ed 1"
17319: ARVP,"Script Writing"
17320: ARVP,"Script to Screen"
17321: ARVP,"Sound Perf/D Med I"
17322: ARVP,"Sound Perf/D Med II"
17323: ARVP,"Stud Tv Prod II"
17324: ARVP,"Studio Prod Bus I"
17325: ARVP,"TV Studio Production I"
17326: ARVP,"TV Studio Production II"
17327: ARVP,"Teleconferencing"
17328: ASAM,"Asian Amer. History"
17329: ASAM,"Asian Amer. History (Honors)"
17330: ASAM,"Asian American Literature"
17331: ASAM,"Asian Americans in NYC"
17332: ASAM,"Chinese Culture & Heritage"
17333: ASAM,"Intro to the Mid East (Honors)"
17334: ASAM,"Intro to the Middle East"
17335: ASAP,"ASAP College Experience I"
17336: ASAP,"ASAP College Experience II"
17337: ASTR,"Ast Directed Study"
17338: ASTR,"Astronomy Directed Study"
17339: ASTR,"Astronomy: General Observation"
17340: ASTR,"Astronomy: General Theory"
17341: ASTR,"Astronomy: Observation & Model"
17342: ASTR,"General Astronomy"
17343: ASTR,"General Astronomy (Honors)"
17344: BIOL,"Anat & Phys II Lab"
17345: BIOL,"Anat & Physiol I (Honors)"
17346: BIOL,"Anat & Physiol II (Honors)"
17347: BIOL,"Anatomy and Physiology I"
17348: BIOL,"Anatomy and Physiology II"
17349: BIOL,"Bio Directed Study"
17350: BIOL,"Biology Directed Study"
17351: BIOL,"Biology I"
17352: BIOL,"Biology II"
17353: BIOL,"Biology II (Honors)"
17354: BIOL,"Biology of Aging"
17355: BIOL,"Cell Biology"
17356: BIOL,"Fundamentals of Microbiology"
17357: BIOL,"Gen Anat & Phys"
17358: BIOL,"General Biology"
17359: BIOL,"General Biology Theory"
17360: BIOL,"Genetics"
17361: BIOL,"Human Biology"
17362: BIOL,"Microbiology"
17363: BIOL,"Plant Biology"
17364: BIOT,"Introduction to Biotechnology"
17365: BLST,"Af-Am His To Pres"
17366: BLST,"Af-Amer His To 1865"
17367: BLST,"Africa 1500 To Pres"
17368: BLST,"African Art"
17369: BLST,"African Civiliz"
17370: BLST,"African Literature"
17371: BLST,"African Natl & Soc"
17372: BLST,"African-American Art"
17373: BLST,"Afro-Amer Writing"
17374: BLST,"BLK Directed Study"
17375: BLST,"Black Bus & Mgt"
17376: BLST,"Black Contrib Sci"
17377: BLST,"Black Experience in Africa"
17378: BLST,"Black Literature I"
17379: BLST,"Black Literature II"
17380: BLST,"Black Man"
17381: BLST,"Black Studies Directed Study"
17382: BLST,"Black Theater Workshop I"
17383: BLST,"Black Women"
17384: BLST,"Black Writers"
17385: BLST,"Blk Directed Study"
17386: BLST,"Blk Pol & Soc Thght"
17387: BLST,"Blk Theatre Wkshp 1"
17388: BLST,"Blk Theatre Wkshp 2"
17389: BLST,"Caribbean Black Lit"
17390: BLST,"Caribbean History"
17391: BLST,"Cont Black Family"
17392: BLST,"Contemp Blk Writers"
17393: BLST,"Found Black Psych"
17394: BLST,"Haitian History and Culture"
17395: BLST,"His Black Theatre"
17396: BLST,"Hist Of W Africa"
17397: BLST,"History of Black Theatre"
17398: BLST,"Jazz I"
17399: BLST,"Jazz Ii"
17400: BLST,"Jazz Perf Workshop"
17401: BLST,"Mod Blk Pol Thought"
17402: BLST,"Muslims in African Culture"
17403: BLST,"Natn Bldg In Africa"
17404: BLST,"Soc Found Blk Cult"
17405: BLST,"Sociol Blk Urb Com"
17406: BPRS,"20th Cent Afr Devel"
17407: BPRS,"Afro-Am & Carib Dan"
17408: BPRS,"BPR Directed Study"
17409: BPRS,"Bpr Directed Study"
17410: BPRS,"Caribbean Politics Economy"
17411: BPRS,"Colonial & Neo-Col"
17412: BPRS,"Dom Rep Econ Devel"
17413: BPRS,"Eco Of Urban Commun"
17414: BPRS,"Ethnic Dance"
17415: BPRS,"Latin & Carib Music"
17416: BPRS,"Urban Com Hlth Prob"
17417: BUMA,"Commercial Insurance Principle"
17418: BUMA,"Insurance Operations"
17419: BUMA,"Princ of Risk Mgmt & Insurance"
17420: BUMA,"Prop & Liab Insurance Princ"
17421: BUSE,"Entrprnrshp: Prdct & Srvc Crtn"
17422: BUSE,"International Business"
17423: BUSE,"Small Business Management"
17424: BUSI,"Advertising Copy and Layout"
17425: BUSI,"Advertising Production"
17426: BUSI,"Bus Org & Mgt"
17427: BUSI,"Bus Org & Mgt (Honors)"
17428: BUSI,"Business Analytics & Decision"
17429: BUSI,"Business Communication"
17430: BUSI,"Business Discussion Hour"
17431: BUSI,"Business Law"
17432: BUSI,"Business Law for Digital Media"
17433: BUSI,"Business Methods"
17434: BUSI,"Business Methods (Honors)"
17435: BUSI,"Essent Of Small Bus"
17436: BUSI,"Essentials of Advertising"
17437: BUSI,"Essentials of Real Estate"
17438: BUSI,"Human Resources Management"
17439: BUSI,"Human Resources Mgmt (Honors)"
17440: BUSI,"International Business"
17441: BUSI,"Intro to Bus Admin"
17442: BUSI,"Intro to Business Admin"
17443: BUSI,"Introduction to Business"
17444: BUSI,"Manag Decis Making (Honors)"
17445: BUSI,"Managerial Decision Making"
17446: BUSI,"Money and Banking"
17447: BUSI,"Off Personal Mgt"
17448: BUSI,"Operations Management"
17449: BUSI,"Personal Finance"
17450: BUSI,"Principles of Investment"
17451: BUSI,"Principles of Marketing"
17452: BUSI,"Retail Organization"
17453: BUSI,"SLS Directed Study"
17454: BUSI,"Sales Directed Study"
17455: BUSI,"Sales Management"
17456: BUSI,"Sales Management Ii"
17457: BUSI,"Sales Principles and Practices"
17458: BUSI,"Sales Promotion"
17459: BUSI,"Sls Directed Study"
17460: BUSI,"Soc Entpren Emerging Economics"
17461: BUSI,"Traffic Management"
17462: CHEM,"CHE Directed Study"
17463: CHEM,"Che Directed Study"
