64317: ACCT,"Accounting I"
64318: ACCT,"Accounting II"
64319: ACCT,"Accounting Internship Seminar"
64320: ACCT,"College Accounting I"
64321: ACCT,"College Accounting II"
64322: ACCT,"Computerized Accounting"
64323: ACCT,"Cost Accounting I"
64324: ACCT,"Federal Business Income Taxes"
64325: ACCT,"Intermediate Accounting I"
64326: ACCT,"Introduction to Accounting"
64327: ACCT,"Personal Income Tax"
64328: AMSL,"American Sign Language"
64329: ANTH,"Introduction to Anthropology"
64330: ARVP,"Acting I"
64331: ARVP,"Acting I (HONORS)"
64332: ARVP,"Acting II"
64333: ARVP,"Advanced Public Speaking"
64334: ARVP,"Arts & Crafts"
64335: ARVP,"Arts and Civil I:Prehist-1400"
64336: ARVP,"Arts and Civil II:1400-Present"
64337: ARVP,"Chorus"
64338: ARVP,"Color Theory and Design"
64339: ARVP,"Commercial Arts I"
64340: ARVP,"Commercial Arts II"
64341: ARVP,"Digital Photography 2"
64342: ARVP,"Digital Photography I"
64343: ARVP,"Digital Photography I (HONORS)"
64344: ARVP,"Fund Mus Thry Piano II"
64345: ARVP,"Introduction to Art"
64346: ARVP,"Introduction to Film & TV"
64347: ARVP,"Introduction to Theatre"
64348: ARVP,"Modern Art In The City (HONORS"
64349: ARVP,"Modern Art in the City"
64350: ARVP,"Movement for the Actor I"
64351: ARVP,"Movement for the Actor II"
64352: ARVP,"Music Appreciation"
64353: ARVP,"Music Theory"
64354: ARVP,"Music Theory/Keyboard"
64355: ARVP,"Painting and Drawing I"
64356: ARVP,"Painting and Drawing II"
64357: ARVP,"Photography I"
64358: ARVP,"Photography II"
64359: ARVP,"Play & Performance Analysis"
64360: ARVP,"Speaking and Listening"
64361: ARVP,"Still Life Oil Painting"
64362: ARVP,"Twentieth Century Art"
64363: ARVP,"Voice & Diction"
64364: ARVP,"Voice and Diction"
64365: ASAP,"ASAP Common Hour"
64366: BIOL,"Anatomy & Physiology II (HONOR"
64367: BIOL,"Anatomy and Physiology I"
64368: BIOL,"Anatomy and Physiology II"
64369: BIOL,"Botany of Food"
64370: BIOL,"Food Microbiology"
64371: BIOL,"General Biology I"
64372: BIOL,"General Biology I (HONORS)"
64373: BIOL,"General Biology II"
64374: BIOL,"General Biology II (HONORS)"
64375: BIOL,"Human Biology I Laboratory"
64376: BIOL,"Human Biology I Lecture"
64377: BIOL,"Human Biology II Laboratory"
64378: BIOL,"Human Biology II Lecture"
64379: BIOL,"Independent Studies in Biology"
64380: BIOL,"Introduction to Genetics"
64381: BIOL,"Microbiology"
64382: BIOL,"Organismic Biology"
64383: BIOL,"Organismic Biology (HONORS)"
64384: BIOL,"Organismic Biology (Lab)"
64385: BIOL,"Plants & Society (HONORS)"
64386: BIOL,"Plants And Society (Lab)"
64387: BIOL,"Plants and Society"
64388: BIOL,"Principles In Biology (Lab)"
64389: BIOL,"Principles of Biology"
64390: BIOL,"Principles of Biology (HONORS)"
64391: BLST,"African Civilization I"
64392: BLST,"African Civilization I (HONORS"
64393: BLST,"African Civilization II"
64394: BLST,"African Literature"
64395: BLST,"African Spirituality"
64396: BLST,"African-Am & Latino"
64397: BLST,"African-Am Religion"
64398: BLST,"African-American Experience"
64399: BLST,"African-American Literature"
64400: BLST,"African-American Music"
64401: BLST,"Black Rebellion and Resistance"
64402: BLST,"Black-American Art"
64403: BLST,"Diver/Plural In Amer"
64404: BLST,"Ethnicity64405: BLST,"Harlem Renaissance (HONORS)"
64406: BLST,"Hip-Hop Worldview"
64407: BLST,"History Of Haiti And Dom. Rep."
64408: BLST,"Introduction to Black Studies"
64409: BLST,"Negritude"
64410: BLST,"Social Prob Minority"
64411: BLST,"The Harlem Renaissance"
64412: BUSI,"Business Applications: Excel"
64413: BUSI,"Business Communications"
64414: BUSI,"Business Ethics"
64415: BUSI,"Business Law I"
64416: BUSI,"Business Law II"
64417: BUSI,"Business-Digital Entrepreneur"
64418: BUSI,"Electronic Commerce"
64419: BUSI,"Entrepreneurship"
64420: BUSI,"Introduction to Business"
64421: BUSI,"Personal Financial Planning"
64422: BUSI,"Prin Int’L Business"
64423: BUSI,"Prin Of Market (HONORS)"
64424: BUSI,"Principles of Finance"
64425: BUSI,"Principles of Management"
64426: BUSI,"Principles of Marketing"
64427: CAPS,"Agents of Change"
64428: CAPS,"Bronx Beautiful"
64429: CAPS,"From College to ?Real World"""
64430: CFMA,"College Focus Mathematics"
64431: CFRW,"College Focus ELA"
64432: CHEM,"Chem Engine Thermodynamics I"
64433: CHEM,"Gen Chem I Lab (HONORS)"
64434: CHEM,"General Chemistry I"
64435: CHEM,"General Chemistry I (HONORS)"
64436: CHEM,"General Chemistry II"
64437: CHEM,"General Chemistry II (HONORS)"
64438: CHEM,"Independent Study"
64439: CHEM,"Intro Che Prin Prac"
64440: CHEM,"Intro General Chem"
64441: CHEM,"Introduction to Chemistry"
64442: CHEM,"Organic Chem II Lab"
64443: CHEM,"Organic Chemistry I"
64444: CHEM,"Organic Chemistry I (HONORS)"
64445: CHEM,"Organic Chemistry I Lab"
64446: CHEM,"Organic Chemistry II"
64447: CHEM,"Organic Chemistry II (HONORS)"
64448: CHEM,"Physical Chemistry 1"
64449: CHEM,"Prin Of Organic Che"
64450: CHEM,"Quantitative Analysis"
64451: CLIP,"CLIP - Level 1"
64452: CLIP,"CLIP - Level 2"
64453: CLIP,"CLIP - Level 3"
64454: CLIP,"CLIP - Level 4"
64455: CMIS,"Adv Micro Concepts"
64456: CMIS,"Advanced Networking Concepts"
64457: CMIS,"Basic Networking Concepts"
64458: CMIS,"C++ Programming"
64459: CMIS,"Database Management Systems"
64460: CMIS,"Fund Data Comm & Net"
64461: CMIS,"Help Desk Support"
64462: CMIS,"Internship"
64463: CMIS,"Intro To Info System"
64464: CMIS,"Network Operating Systems"
64465: CMIS,"Object Oriented Programming"
64466: CMIS,"Operating Systems"
64467: CMIS,"Programming Logic & Design"
64468: CMIS,"Sys Anal&Design (HONORS)"
64469: CMIS,"Systems Anaylsis & Design"
64470: CMSC,"Computer Networking"
64471: CMSC,"Computer Science"
64472: CMSC,"Data Structures"
64473: CMSC,"Discrete Mathematics"
64474: CMSC,"Modern Programming"
64475: CMSC,"Object Oriented Programming"
64476: CMSC,"Web & Mobile App Development"
64477: CODI,"CD Freshman Orientation"
64478: COMM,"Fund Public Speaking"
64479: COMM,"Fund Public Speaking (HONORS)"
64480: COMM,"Intercultural Communication"
64481: COOP,"Intro To Career Pract"
64482: COOP,"Work Experience I"
64483: COOP,"Work Experience II"
64484: CRIM,"CJ Policy and Management"
64485: CRIM,"Corrections and Sentencing"
64486: CRIM,"Criminal Justice Careers"
64487: CRIM,"Intro To Crim Just"
64488: CRIM,"Issues in Law Enforcements"
64489: CRIM,"Law and Social Change"
64490: CRIM,"Penal Law of New York State"
64491: CRIM,"Role Of The Police"
64492: DENT,"Adv Clinical Dental Hyg Pract"
64493: DENT,"Adv Den Hyg (HONORS)"
64494: DENT,"Clin Den Hyg I (HONORS)"
64495: DENT,"Clin Den Hyg Prac 2"
64496: DENT,"Clinic I"
64497: DENT,"Clinic II"
64498: DENT,"Clinic III"
64499: DENT,"Clinical Dental Hyg Pract I"
64500: DENT,"Community Dental Health"
64501: DENT,"Dent Radiol 2 Rech I"
64502: DENT,"Dental"
64503: DENT,"Dental Health Education"
64504: DENT,"Dental Materials"
64505: DENT,"Dental Materials (HONORS)"
64506: DENT,"Dental Radiology 1 Bas Conc"
64507: DENT,"Dental Specialties"
64508: DENT,"Ethics Jurisp (HONORS)"
64509: DENT,"Ethics Jurisprud Pra"
64510: DENT,"General & Oral Pathology"
64511: DENT,"Head & Neck Anatomy (HONORS)"
64512: DENT,"Head and Neck Anatomy"
64513: DENT,"Nutrition"
64514: DENT,"Oral Anatomy and Physiology"
64515: DENT,"Oral Emb & His (HONORS)"
64516: DENT,"Oral Embryology & Histology"
64517: DENT,"Oral Microbiology"
64518: DENT,"Periodontology"
64519: DENT,"Pharmacology"
64520: DENT,"Senior Seminar"
64521: DIDE,"2D Computer Animation"
64522: DIDE,"2D Design"
64523: DIDE,"3D Computer Animation I"
64524: DIDE,"3D Computer Animation II"
64525: DIDE,"3D Design"
64526: DIDE,"Animation History"
64527: DIDE,"Color Theory & Design"
64528: DIDE,"Communication Design"
64529: DIDE,"Concepts in Animation"
64530: DIDE,"Digital Illustration I"
64531: DIDE,"Digital Illustration II"
64532: DIDE,"Digital Photography"
64533: DIDE,"Digital Photography for Design"
64534: DIDE,"Digital Toolbox"
64535: DIDE,"Foundation Drawing"
64536: DIDE,"Independent Study"
64537: DIDE,"Introduction to Sound Design"
64538: DIDE,"Introduction to Usable Design"
64539: DIDE,"Media Design"
64540: DIDE,"Motion Graphics and Animation"
64541: DIDE,"Portfolio"
64542: DIDE,"Sound Design in Context"
64543: DIDE,"Special Topics in Animation"
64544: DIDE,"Typography I"
64545: DIDE,"Typography II"
64546: DIDE,"Video Production"
64547: DIDE,"Visual Narrative"
64548: DIDE,"Web Design I"
64549: DIDE,"Web Design II"
64550: ECON,"Contemporary Political Economy"
64551: ECON,"Intro To Pol Economy"
64552: ECON,"Macroeconomics"
64553: ECON,"Microeconomics"
64554: ECON,"Political Eco Lat Am"
64555: ECON,"Political Economy of Africa"
64556: ECON,"The Economics Hum Re"
64557: EDHE,"Aids Per/Imp Hlt"
64558: EDHE,"Bilingual Issues"
64559: EDHE,"Contemporary Health Issues"
64560: EDHE,"Cpr"
64561: EDHE,"Dynamics of Patient Care"
64562: EDHE,"Field Experience in Cmty HLT"
64563: EDHE,"First Aid"
64564: EDHE,"Fldwk With Older Pop"
64565: EDHE,"Health Perspectives"
64566: EDHE,"Health and Human Values"
64567: EDHE,"Health and the Young Child"
64568: EDHE,"Health64569: EDHE,"Human Sexuality"
64570: EDHE,"Int Community Health"
64571: EDHE,"Interpersonal Relations"
64572: EDHE,"Intro To Health Care"
64573: EDHE,"Introduction to Gerontology"
64574: EDHE,"Medical Terminology"
64575: EDHE,"Mental Health"
64576: EDHE,"Nutrition"
64577: EDHE,"Nutrition Education"
64578: EDHE,"Substance Use and Abuse"
64579: EDPH,"Beginner’s Volleyball"
64580: EDPH,"Beginning Fencing"
64581: EDPH,"Beginning Karate"
64582: EDPH,"Beginning Swimming"
64583: EDPH,"Beginning Swimming (HONORS)"
64584: EDPH,"Beginning Tennis"
64585: EDPH,"Beginning Yoga"
64586: EDPH,"Black and Puerto Rican Dance"
64587: EDPH,"Bowling"
64588: EDPH,"First Aid and Safety"
64589: EDPH,"Fitness through Dance"
64590: EDPH,"Independent Study"
64591: EDPH,"Intermediate Swimming"
64592: EDPH,"Intermediate Tennis"
64593: EDPH,"Jogging & Running"
64594: EDPH,"Judo"
64595: EDPH,"Motor Learning and Control"
64596: EDPH,"Nonswimmer"
64597: EDPH,"Personal Fit (HONORS)"
64598: EDPH,"Personal Physical Fitness"
64599: EDPH,"Phys Ed And Rec For"
64600: EDPH,"Principles and Foundation-PED"
64601: EDPH,"Self-Defense for Men and Women"
64602: EDPH,"Senior Life Saving"
64603: EDPH,"Weight Training"
64604: EDPH,"Yoga (HONORS)"
64605: EDUC,"Adolescent Development"
64606: EDUC,"After-School Programs"
64607: EDUC,"Creative Art"
64608: EDUC,"Development of the Young Child"
64609: EDUC,"Field Exp 1"
64610: EDUC,"Field Exp-Youth Stud"
64611: EDUC,"Fieldwork in Parent Edu"
64612: EDUC,"Foundation of Edu (HONORS)"
64613: EDUC,"Foundations of Education"
64614: EDUC,"Home64615: EDUC,"Independent Study"
64616: EDUC,"Instruct Strategies"
64617: EDUC,"Intro Instruct Techn"
64618: EDUC,"Intro to Special Education"
64619: EDUC,"Introduction to Youth Studies"
64620: EDUC,"Lang Arts In Biling"
64621: EDUC,"Language Arts"
64622: EDUC,"Multicult-Multilingu"
64623: EDUC,"Music and Movement"
64624: EDUC,"Science And Math"
64625: EDUC,"Soc Studies In Bilin"
64626: EDUC,"Social Studies"
64627: EDUC,"Teaching Profession"
64628: EDUC,"Writing in School Workplace"
64629: EGCI,"Civ Engineering Data Analysis"
64630: EGCI,"Environmental Impact"
64631: EGCI,"Fluid Mechanics I"
64632: EGCI,"Mechanics of Deformable Bodies"
64633: EGCI,"Structural Mechanics"
64634: EGCI,"Structural and Site Plans"
64635: EGME,"Computer Aided Drafting"
64636: EGME,"Computer Method In Engineering"
64637: EGME,"Engineering Mechanics I"
64638: EGME,"Engineering Mechanics II"
64639: EGME,"Mechanics of Materials"
64640: EGNG,"Computer-Aided Analysis Tools"
64641: EGNG,"Electrical Circuits"
64642: EGNG,"Engineering Design Workshop I"
64643: EGNG,"Engineering Economics"
64644: EGNG,"Intro Earth & Atmospheric Sci"
64645: ENGL,"Accelerated Writing Skills"
64646: ENGL,"Basic Writing I"
64647: ENGL,"Basic Writing II"
64648: ENGL,"Core English"
64649: ENGL,"Core Reading and Writing"
64650: ENGL,"Creative Non-Fiction"
64651: ENGL,"Creative Writing Workshop"
64652: ENGL,"Developmental Rdg"
64653: ENGL,"Expository Writing"
64654: ENGL,"Expository Writing (HONORS)"
64655: ENGL,"Female Detective Novel"
64656: ENGL,"Holocaust in Literature & Film"
64657: ENGL,"Integrated Reading and Comp."
64658: ENGL,"Intro to Children’s Literature"
64659: ENGL,"Intro to LGBTQ Literature"
64660: ENGL,"Language Culture and Identity"
64661: ENGL,"Latin Amer Lit (HONORS)"
64662: ENGL,"Latin American Lit in Trans"
64663: ENGL,"Lit & Composi (HONORS)"
64664: ENGL,"Lit Of Sci-Fi (HONORS)"
64665: ENGL,"Literature and Aging"
64666: ENGL,"Literature and Composition"
64667: ENGL,"Literature and Illness"
64668: ENGL,"Literature and Psychology"
64669: ENGL,"Literature of Black American"
64670: ENGL,"Medieval & Renaissance Lit"
64671: ENGL,"Modern American Novel (HONORS)"
64672: ENGL,"Nation Global Lit. in English"
64673: ENGL,"Reading Film"
64674: ENGL,"Reading Film (HONORS)"
64675: ENGL,"Reading Skills and Composition"
64676: ENGL,"Readings in Poetry"
64677: ENGL,"Science Fiction"
64678: ENGL,"Shakespeare"
64679: ENGL,"Shakespeare (HONORS)"
64680: ENGL,"Skills and Written Composition"
64681: ENGL,"Special Topics - Genre"
64682: ENGL,"Studies in Drama"
64683: ENGL,"Studies in Drama (HONORS)"
64684: ENGL,"Studies in Fiction"
64685: ENGL,"Studies in Fiction (HONORS)"
64686: ENGL,"Technical Writing"
64687: ENGL,"The Bible & Literature (HONORS"
64688: ENGL,"The Bible and Literature"
64689: ENGL,"The Graphic Novel"
64690: ENGL,"The Graphic Novel (HONORS)"
64691: ENGL,"The Modern American Novel"
64692: ENGL,"Tutoring Writing English"
